date,league,review_source,match,team,opponent,actual_taker,actual_role_pre_match,penalties_attempted,penalties_scored,distinct_takers_in_match,primary_pre_match,secondary_pre_match,tertiary_pre_match,primary_lineup_status,secondary_lineup_status,tertiary_lineup_status,active_taker_pre_match,active_slot_pre_match,team_lineup_status,review_type,review_priority,editorial_note,context_generated_at,context_source_path
2026-05-17,la-liga,settled_logs,Levante UD vs RCD Mallorca,Levante,Mallorca,Adrián De la Fuente,secondary,1,0,1,Morales,Adrián De la Fuente,Karl Etta Eyong,unknown,unknown,unknown,,,unknown,expected_backup_shift,medium,Adrián De la Fuente took 1 penalty attempt for Levante vs Mallorca. Primary pre-match: Morales (unknown). Secondary pre-match: Adrián De la Fuente (unknown). Looks like the expected backup took over because the primary was unavailable or inactive.,2026-05-18T19:46:56Z,data/goalscorer/la-liga/penalty-duty-context.json
2026-05-17,la-liga,settled_logs,FC Barcelona vs Real Betis Seville,Real Betis,Barcelona,Isco,none,1,1,1,Juan Camilo Hernández,Ezequiel Ávila,Antony,unknown,unknown,unknown,,,unknown,unranked_taker,high,Isco took 1 penalty attempt for Real Betis vs Barcelona. Primary pre-match: Juan Camilo Hernández (unknown). Secondary pre-match: Ezequiel Ávila (unknown). Strong review flag: the taker was not in the tracked top three.,2026-05-18T19:46:56Z,data/goalscorer/la-liga/penalty-duty-context.json
2026-05-12,la-liga,settled_logs,CA Osasuna vs Atletico Madrid,Atletico Madrid,Osasuna,Ademola Lookman,none,1,1,1,Julián Álvarez,Antoine Griezmann,Alexander Sørloth,unknown,unknown,unknown,,,unknown,unranked_taker,high,Ademola Lookman took 1 penalty attempt for Atletico Madrid vs Osasuna. Primary pre-match: Julián Álvarez (unknown). Secondary pre-match: Antoine Griezmann (unknown). Strong review flag: the taker was not in the tracked top three.,2026-05-18T19:46:56Z,data/goalscorer/la-liga/penalty-duty-context.json
2026-05-09,la-liga,settled_logs,Real Sociedad San Sebastian vs Real Betis Seville,Real Sociedad,Real Betis,Mikel Oyarzabal,primary,1,1,1,Mikel Oyarzabal,Brais Méndez,Takefusa Kubo,unknown,unknown,unknown,,,unknown,needs_manual_review,medium,Mikel Oyarzabal took 1 penalty attempt for Real Sociedad vs Real Betis. Primary pre-match: Mikel Oyarzabal (unknown). Secondary pre-match: Brais Méndez (unknown). Needs manual editorial review.,2026-05-18T19:46:56Z,data/goalscorer/la-liga/penalty-duty-context.json
2026-05-09,la-liga,settled_logs,Elche CF vs Deportivo Alaves,Alaves,Elche,Antonio Martínez,tertiary,1,1,1,Carlos Vicente,Lucas Boyé,Antonio Martínez,unknown,unknown,unknown,,,unknown,expected_backup_shift,medium,Antonio Martínez took 1 penalty attempt for Alaves vs Elche. Primary pre-match: Carlos Vicente (unknown). Secondary pre-match: Lucas Boyé (unknown). Looks like the expected backup took over because the primary was unavailable or inactive.,2026-05-18T19:46:56Z,data/goalscorer/la-liga/penalty-duty-context.json
