team,squad_section,squad_status,squad_count,likely_primary,primary_callup_match,primary_squad_name,likely_secondary,secondary_callup_match,secondary_squad_name,squad_source_urls,squad_note
Haiti,Haiti,final_announced,26,Duckens Nazon,yes,Duckens Nazon,Frantzdy Pierrot,yes,Frantzdy Pierrot,https://www.facebook.com/fhfhaiti/posts/pfbid0sgioyXTC9xmDjdqqPgHtmLPVWu2j7R1KG3hQC8pNZhQgiNRGHixSVMp9aPjKYKxAl ; https://www.bbc.com/sport/football/articles/c242rl3yjp8o,Coach: Sébastien Migné Haiti announced their final squad on May 15.
IR Iran,Iran,final_pending,30,Mehdi Taremi,yes,Mehdi Taremi,Alireza Jahanbakhsh,yes,Alireza Jahanbakhsh,https://the-ffiri.com/fa/news/28384/ ; https://fararu.com/fa/news/971563/%D8%B2%D9%85%D8%A7%D9%86-%D8%A7%D8%B9%D9%84%D8%A7%D9%85-%D9%84%DB%8C%D8%B3%D8%AA-%D9%86%D9%87%D8%A7%DB%8C%DB%8C-%D8%AA%DB%8C%D9%85-%D9%85%D9%84%DB%8C-%D8%A8%D9%87-%D9%81%DB%8C%D9%81%D8%A7-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%87%D8%A7%DB%8C-%D8%AF%D9%88%D8%B3%D8%AA%D8%A7%D9%86%D9%87-%D9%85%D8%B4%D8%AE%D8%B5-%D8%B4%D8%AF,Coach: Amir Ghalenoei Iran announced a 30-man preliminary squad on May 17. Their final squad will be announced on June 1.
Iraq,Iraq,final_pending,34,Amir Al-Ammari,yes,Amir Al-Ammari,Aymen Hussein,yes,Aymen Hussein,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/iraq-preliminary-squad-announcement-graham-arnold ; https://www.instagram.com/p/DYacrgaDfXU/,Coach: Graham Arnold Iraq announced a 34-man preliminary squad on May 19. Their final squad will be announced on June 1.
Japan,Japan,final_announced,26,Ayase Ueda,yes,Ayase Ueda,Koki Ogawa,yes,[[Kōki Ogawa (footballer),https://www.jfa.jp/eng/samuraiblue/news/00036338/ ; https://x.com/jfa_samuraiblue/status/2059455881574789527,Coach: Hajime Moriyasu Japan announced their final squad on May 15.
Jordan,Jordan,preliminary_or_reduced,30,Ali Olwan,yes,Ali Olwan,Musa Al-Taamari,yes,Musa Al-Taamari,https://www.jfa.jo/news.php?id=31152&title=%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D8%A7%D9%84%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%8A%D8%A9-%D9%84%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D8%A7%D9%84%D9%86%D8%B4%D8%A7%D9%85%D9%89-%D8%AA%D8%A3%D9%87%D8%A8%D8%A7-%D9%84%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%AA%D9%8A-%D8%B3%D9%88%D9%8A%D8%B3%D8%B1%D8%A7-%D9%88%D9%83%D9%88%D9%84%D9%88%D9%85%D8%A8%D9%8A%D8%A7-%D9%88%D8%AF%D9%8A%D8%A7,Coach: Jamal Sellami Jordan announced a 30-man preliminary squad on May 17.
Korea Republic,South Korea,final_announced,26,Son Heung-min,yes,Son Heung-min,Hwang Hee-chan,yes,Hwang Hee-chan,https://www.kfa.or.kr/layer_popup/popup_live.php?act=news_tv_detail&idx=27972&div_code=news&check_url=bGF5ZXI=&lang=KOR,Coach: Hong Myung-bo South Korea announced their final squad on May 16.
Mexico,Mexico,final_pending,51,Raul Jimenez,yes,Raúl Jiménez,Santiago Gimenez,yes,Santiago Giménez,https://miseleccion.mx/noticia/6397-La-Selecci%C3%B3n-Nacional-de-M%C3%A9xico-anuncia-Prelista-para-el-Mundial-2026 ; https://bolavip.com/en/world-cup/mexico-trim-their-preliminary-2026-world-cup-squad-by-six-players-win-over-ghana ; https://www.diariodemexico.com/arena-deportiva/javier-aguirre-revela-como-definira-lista-final-mexico-mundial-2026,Coach: Javier Aguirre Mexico announced a 55-man preliminary squad on May 12. The squad was reduced to 51 players on May 23. Their final squad will be announced on June 1.
Morocco,Morocco,final_announced,26,Brahim Diaz,yes,Brahim Díaz,Achraf Hakimi,yes,Achraf Hakimi,https://frmf.ma/fr/articles/coupe-du-monde-2026-de-la-fifa-coach-ouahbi-retient-26-joueurs-liste-finale,"Coach:<!--nationality is Moroccan, per https://inside.fifa.com/en/associations/MAR/organisation--> Mohamed Ouahbi Morocco announced their final squad on May 26."
Netherlands,Netherlands,final_announced,26,Memphis Depay,yes,Memphis Depay,Cody Gakpo,yes,Cody Gakpo,https://www.onsoranje.nl/nieuws/nederlands-elftal-mannen/82598/definitieve-selectie-oranje-m-voor-fifa-world-cup-2026,Coach: Ronald Koeman The Netherlands announced their final squad on May 27.
New Zealand,New Zealand,final_announced,26,Chris Wood,yes,"[[Chris Wood (footballer, born 1991)",Ben Waine,yes,Ben Waine,https://www.nzfootball.co.nz/newsarticle/165753?newsfeedId=1841052,Coach: Darren Bazeley New Zealand announced their final squad on May 14.
