season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2026-2027,La Liga,2026-08-22,Espanyol,Real Madrid,1,14074,Javi Hernández,FW,,78,0,1,0,,0.0,0.0,0.575254,0,0,0,0.0,0,0,1.01908,2.56122
2026-2027,La Liga,2026-08-16,Espanyol,Levante,1,14074,Javi Hernández,AMC,,87,0,1,2,,0.203903,0.203903,0.582357,0,0,0,0.0,0,0,2.0099,0.196262
2026-2027,La Liga,2026-08-31,Barcelona,Rayo Vallecano,1,14129,Xavi Espart,DL,,90,0,1,1,,0.036366,0.036366,0.512394,0,0,0,0.0,0,0,2.9576,1.06614
2026-2027,La Liga,2026-08-27,Barcelona,Athletic Club,1,14129,Xavi Espart,DL,,90,0,0,1,,0.041721,0.041721,0.190318,0,0,0,0.0,0,0,3.9166,0.221962
2026-2027,La Liga,2026-08-23,Barcelona,Elche,0,14129,Xavi Espart,DL,,90,0,1,0,,0.0,0.0,0.494818,0,0,0,0.0,0,0,4.25182,1.17646
2026-2027,La Liga,2026-08-19,Atletico Madrid,Malaga,1,14233,Dani Martinez,DL,,90,0,0,1,,0.47041,0.47041,0.0,1,0,1,0.47041,0,0,1.34391,0.229576
2026-2027,La Liga,2026-08-31,Getafe,Osasuna,0,14387,Zaid Romero,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.09043,1.70503
2026-2027,La Liga,2026-08-23,Getafe,Racing Santander,1,14387,Zaid Romero,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.982608,1.1679
2026-2027,La Liga,2026-08-15,Getafe,Alaves,0,14387,Zaid Romero,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.259705,2.28581
2026-2027,La Liga,2026-08-28,Alaves,Villarreal,1,14392,Ángel Pérez,DR,,72,0,1,2,,0.130473,0.130473,0.558625,0,0,0,0.0,0,0,0.915469,1.45107
2026-2027,La Liga,2026-08-20,Alaves,Rayo Vallecano,0,14392,Ángel Pérez,DR,,83,0,0,1,,0.050688,0.050688,0.685706,0,0,0,0.0,0,0,2.22075,0.566429
2026-2027,La Liga,2026-08-15,Alaves,Getafe,1,14392,Ángel Pérez,DMR,,68,0,0,1,,0.052406,0.052406,0.0,0,0,0,0.0,0,0,2.28581,0.259705
2026-2027,La Liga,2026-08-29,Levante,Real Betis,1,14393,Thiago Fernández,ML,,78,0,0,1,,0.03047,0.03047,0.101414,0,0,0,0.0,0,0,3.0376,1.92286
2026-2027,La Liga,2026-08-24,Levante,Osasuna,0,14393,Thiago Fernández,ML,,78,0,0,1,,0.03958,0.03958,0.0,0,0,0,0.0,0,0,1.27031,0.892536
2026-2027,La Liga,2026-08-28,Alaves,Villarreal,1,14519,Ville Koski,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.915469,1.45107
2026-2027,La Liga,2026-08-20,Alaves,Rayo Vallecano,0,14519,Ville Koski,DC,,83,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,2.22075,0.566429
2026-2027,La Liga,2026-08-15,Alaves,Getafe,1,14519,Ville Koski,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,2.28581,0.259705
2026-2027,La Liga,2026-08-22,Sevilla,Athletic Club,0,14607,Nico Guillén,Sub,,41,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.966795,1.46496
2026-2027,La Liga,2026-08-15,Sevilla,Rayo Vallecano,1,14607,Nico Guillén,DMC,,51,0,0,1,,0.034084,0.034084,0.0,0,0,0,0.0,0,0,2.01841,1.91219
2026-2027,La Liga,2026-08-29,Sevilla,Atletico Madrid,1,14683,Robbie Ure,FW,,90,0,1,4,,0.487779,0.487779,0.079387,1,0,1,0.331694,0,0,1.08053,1.47677
2026-2027,La Liga,2026-08-22,Sevilla,Athletic Club,0,14683,Robbie Ure,FW,,90,0,0,0,,0.0,0.0,0.046587,0,0,0,0.0,0,0,0.966795,1.46496
2026-2027,La Liga,2026-08-15,Sevilla,Rayo Vallecano,1,14683,Robbie Ure,Sub,,39,0,0,1,,0.081195,0.081195,0.089259,0,0,0,0.0,0,0,2.01841,1.91219
2026-2027,La Liga,2026-08-28,Racing Santander,Elche,1,14686,Álvaro Mantilla,DR,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,2.56226,1.07551
2026-2027,La Liga,2026-08-23,Racing Santander,Getafe,0,14686,Álvaro Mantilla,DR,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.1679,0.982608
2026-2027,La Liga,2026-08-16,Racing Santander,Villarreal,1,14686,Álvaro Mantilla,DR,,90,0,0,2,,0.42779,0.42779,0.0,1,0,1,0.344389,0,0,1.96477,0.768799
2026-2027,La Liga,2026-08-28,Racing Santander,Elche,1,14687,Jorge Salinas,DL,,90,0,0,1,,0.123244,0.123244,0.0,0,0,0,0.0,0,0,2.56226,1.07551
2026-2027,La Liga,2026-08-23,Racing Santander,Getafe,0,14687,Jorge Salinas,DL,,90,0,0,0,,0.0,0.0,0.03979,0,0,0,0.0,0,0,1.1679,0.982608
2026-2027,La Liga,2026-08-16,Racing Santander,Villarreal,1,14687,Jorge Salinas,DL,,90,0,0,0,,0.0,0.0,0.135442,0,0,0,0.0,0,0,1.96477,0.768799
2026-2027,La Liga,2026-08-28,Racing Santander,Elche,1,14691,Facu González,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,2.56226,1.07551
2026-2027,La Liga,2026-08-23,Racing Santander,Getafe,0,14691,Facu González,Sub,,1,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.1679,0.982608
2026-2027,La Liga,2026-08-16,Racing Santander,Villarreal,1,14691,Facu González,Sub,,7,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.96477,0.768799
2026-2027,La Liga,2026-08-28,Racing Santander,Elche,1,14692,Manu Hernando,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,2.56226,1.07551
2026-2027,La Liga,2026-08-23,Racing Santander,Getafe,0,14692,Manu Hernando,DC,,90,0,0,1,,0.05655,0.05655,0.0,0,0,0,0.0,0,0,1.1679,0.982608
2026-2027,La Liga,2026-08-16,Racing Santander,Villarreal,1,14692,Manu Hernando,Sub,,75,0,0,1,,0.036594,0.036594,0.0,0,0,0,0.0,0,0,1.96477,0.768799
2026-2027,La Liga,2026-08-30,Deportivo La Coruna,Valencia,1,14706,Lucas Noubi,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.40751,1.01663
2026-2027,La Liga,2026-08-24,Deportivo La Coruna,Malaga,0,14706,Lucas Noubi,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.1297,1.35649
2026-2027,La Liga,2026-08-17,Deportivo La Coruna,Elche,1,14706,Lucas Noubi,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.33987,1.58691
2026-2027,La Liga,2026-08-30,Deportivo La Coruna,Valencia,1,14707,Bright Ede,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.40751,1.01663
2026-2027,La Liga,2026-08-24,Deportivo La Coruna,Malaga,0,14707,Bright Ede,Sub,,15,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.1297,1.35649
2026-2027,La Liga,2026-08-17,Deportivo La Coruna,Elche,1,14707,Bright Ede,DC,,90,0,0,1,,0.027942,0.027942,0.0,0,0,0,0.0,0,0,0.33987,1.58691
2026-2027,La Liga,2026-08-30,Deportivo La Coruna,Valencia,1,14708,Bil Nsongo,FW,,86,0,0,2,,0.209923,0.209923,0.345007,0,0,0,0.0,0,0,1.40751,1.01663
2026-2027,La Liga,2026-08-24,Deportivo La Coruna,Malaga,0,14708,Bil Nsongo,Sub,,4,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.1297,1.35649
2026-2027,La Liga,2026-08-17,Deportivo La Coruna,Elche,1,14708,Bil Nsongo,AMC,,61,0,0,1,,0.011317,0.011317,0.0,0,0,0,0.0,0,0,0.33987,1.58691
2026-2027,La Liga,2026-08-30,Malaga,Real Madrid,0,14724,Alfonso Herrero,GK,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.760169,3.40784
2026-2027,La Liga,2026-08-24,Malaga,Deportivo La Coruna,1,14724,Alfonso Herrero,GK,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.35649,1.1297
2026-2027,La Liga,2026-08-19,Malaga,Atletico Madrid,0,14724,Alfonso Herrero,GK,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.229576,1.34391
2026-2027,La Liga,2026-08-30,Malaga,Real Madrid,0,14725,Carlos Puga,DR,,64,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.760169,3.40784
2026-2027,La Liga,2026-08-24,Malaga,Deportivo La Coruna,1,14725,Carlos Puga,DR,,90,0,0,1,,0.012768,0.012768,0.0,0,0,0,0.0,0,0,1.35649,1.1297
2026-2027,La Liga,2026-08-19,Malaga,Atletico Madrid,0,14725,Carlos Puga,DR,,76,0,0,0,,0.0,0.0,0.057189,0,0,0,0.0,0,0,0.229576,1.34391
2026-2027,La Liga,2026-08-30,Malaga,Real Madrid,0,14726,Einar Galilea,DC,,77,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.760169,3.40784
2026-2027,La Liga,2026-08-24,Malaga,Deportivo La Coruna,1,14726,Einar Galilea,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.35649,1.1297
2026-2027,La Liga,2026-08-19,Malaga,Atletico Madrid,0,14726,Einar Galilea,DC,,84,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.229576,1.34391
2026-2027,La Liga,2026-08-30,Malaga,Real Madrid,0,14727,Ángel Recio,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.760169,3.40784
2026-2027,La Liga,2026-08-24,Malaga,Deportivo La Coruna,1,14727,Ángel Recio,DC,,90,0,0,0,,0.0,0.0,0.020663,0,0,0,0.0,0,0,1.35649,1.1297
2026-2027,La Liga,2026-08-19,Malaga,Atletico Madrid,0,14727,Ángel Recio,DC,,90,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.229576,1.34391
