date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note,named_player_goals,named_player_outcome,super_sub_settlement_policy,super_sub_replacement_chain
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Adrien Thomasson,Lens,OGC Nice,shadow_track,-0.9879,1.5403,0,,0,starter,0.268408,3.7257,Bet365,4.3330,0.163012,high,2026-05-02T19:15:34Z,,3549,Adrien Thomasson,OGC Nice,Racing Club De Lens,MC,MC,6338.0,T1,no_action,non_attacking_role,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score,,,,
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Antoine Mendy,Nice,Racing Club De Lens,shadow_track,-0.4187,0.8148,0,,0,expected_starter,0.098489,10.1534,Bet365,13.0000,0.280357,medium,2026-04-29T20:57:48Z,,9514,Antoine Mendy,OGC Nice,Racing Club De Lens,DC,DC,3054.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score,,,,
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Matthieu Udol,Lens,OGC Nice,shadow_track,-1.4285,1.5403,0,,0,expected_starter,0.188047,5.3178,Bet365,7.0000,0.316329,medium,2026-04-29T20:57:48Z,,5745,Matthieu Udol,OGC Nice,Racing Club De Lens,DML,DML,5393.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score,,,,
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Samson Baidoo,Lens,OGC Nice,shadow_track,-0.9792,1.3559,0,,0,starter,0.133686,7.4802,Bet365,9.5000,0.270017,high,2026-05-02T19:15:34Z,,13732,Samson Baidoo,OGC Nice,Racing Club De Lens,Sub,Sub,1581.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score,,,,
2026-05-02,2026-05-02T19:05:00Z,OGC Nice vs Racing Club De Lens,France - Ligue 1,Tom Louchet,Nice,Racing Club De Lens,shadow_track,-0.2800,0.8518,0,,0,starter,0.162675,6.1472,Bet365,7.0000,0.138725,high,2026-05-02T19:15:34Z,,11515,Tom Louchet,OGC Nice,Racing Club De Lens,Sub,Sub,2339.0,T1,no_action,fair_odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-03T00:16:16Z,-1.0000,played_did_not_score,,,,
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Lassine Sinayoko,Auxerre,Angers SCO,shadow_track,-2.6762,1.0405,0,,0,expected_starter,0.454312,2.2011,Bet365,2.6000,0.181211,medium,2026-04-30T18:05:33Z,,10815,Lassine Sinayoko,AJ Auxerre,Angers SCO,FW,FW,4846.0,T2,no_action,,0,0.1158,0.00,,,,,,,1,1,won,2026-05-04T00:13:01Z,1.6000,scored_1_goals,,,,
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Mohamed Amine Sbai,Angers,AJ Auxerre,shadow_track,-0.2949,0.9403,0,,0,expected_starter,0.192291,5.2004,Bet365,7.0000,0.346037,medium,2026-04-30T18:05:33Z,,14131,Mohamed Amine Sbai,AJ Auxerre,Angers SCO,FW,FW,1729.0,T2,no_action,,0,0.3268,0.00,,,,,,,1,0,lost,2026-05-04T00:13:01Z,-1.0000,played_did_not_score,,,,
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Prosper Peter,Angers,AJ Auxerre,shadow_track,0.4286,0.9403,0,,0,starter,0.215937,4.6310,Bet365,5.0000,0.079685,high,2026-05-03T15:04:43Z,,13604,Prosper Peter,AJ Auxerre,Angers SCO,FW,FW,1142.0,T1,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-04T00:13:01Z,-1.0000,played_did_not_score,,,,
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Sinaly Diomande,Auxerre,Angers SCO,shadow_track,-0.2533,1.0405,0,,0,expected_starter,0.118801,8.4175,Bet365,9.5000,0.128610,medium,2026-04-30T18:05:33Z,,8703,Sinaly Diomande,AJ Auxerre,Angers SCO,DC,DC,4705.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-04T00:13:01Z,-1.0000,played_did_not_score,,,,
2026-05-03,2026-05-03T15:15:00Z,Paris FC vs Stade Brest 29,France - Ligue 1,Marshall Munetsi,Paris FC,Stade Brest 29,shadow_track,0.5523,1.3374,0,,0,expected_starter,0.294393,3.3968,Bet365,3.7500,0.103974,medium,2026-04-30T18:05:33Z,,7908,Marshall Munetsi,Paris FC,Stade Brest 29,AMC,AMC,4710.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-05-04T00:13:01Z,-1.0000,played_did_not_score,,,,
