date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note,fotmob_match_id,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,role_adjustment_factor,role_adjustment_reason
2026-05-09,2026-05-09T13:30:00Z,RB Leipzig vs FC St. Pauli,Germany - Bundesliga,Christoph Baumgartner,RasenBallsport Leipzig,FC St. Pauli,fair_odds_lab,-2.0889,1.2255,1,Xavi Simons,0,starter,0.523229,1.9112,Bet365,2.3750,0.242669,Medium,2026-05-07T19:58:04Z,7422,Christoph Baumgartner,RB Leipzig,FC St. Pauli,MID,MC,5353.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0599,1.00,research,Research only,1,0,lost,2026-05-10T00:13:02Z,-1.0000,played_did_not_score,,,,,,,
2026-05-09,2026-05-09T13:30:00Z,VfB Stuttgart vs Bayer Leverkusen,Germany - Bundesliga,Patrik Schick,Bayer Leverkusen,VfB Stuttgart,fair_odds_lab,-0.1681,1.0188,0,,0,starter,0.560650,1.7836,Bet365,2.2000,0.233430,Medium,2026-05-07T19:58:04Z,1236,Patrik Schick,VfB Stuttgart,Bayer Leverkusen,FW,FW,4562.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.1333,1.00,research,Research only,1,0,lost,2026-05-10T00:13:02Z,-1.0000,played_did_not_score,,,,,,,
2026-05-10,2026-05-10T15:30:00Z,1. FC Cologne vs 1. FC Heidenheim,Germany - Bundesliga,Jakub Kaminski,FC Cologne,1. FC Heidenheim,fair_odds_lab,-1.6047,1.0793,0,,0,starter,0.413020,2.4212,Bet365,2.8750,0.187432,Medium,2026-05-09T09:30:30Z,10732,Jakub Kaminski,1. FC Cologne,1. FC Heidenheim,AM,AMC,4397.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,1,0,lost,2026-05-11T01:24:18Z,-1.0000,played_did_not_score,,,,,,,
2026-05-16,2026-05-16T13:30:00Z,SC Freiburg vs RB Leipzig,Germany - Bundesliga,Christoph Baumgartner,RasenBallsport Leipzig,SC Freiburg,fair_odds_lab,-2.3974,0.9678,1,Xavi Simons,0,starter,0.473032,2.1140,Bet365,3.2000,0.513702,Medium,2026-05-13T15:43:17Z,7422,Christoph Baumgartner,SC Freiburg,RB Leipzig,MID,MC,5443.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0555,1.00,research,Research only,,,,,,,4829616,,,,,,
2026-05-16,2026-05-16T13:30:00Z,SC Freiburg vs RB Leipzig,Germany - Bundesliga,Johan Manzambi,Freiburg,RB Leipzig,fair_odds_lab,-0.3865,0.8411,0,,1,starter,0.291165,3.4345,Bet365,4.3330,0.261618,High,2026-05-16T13:02:32Z,13102,Johan Manzambi,SC Freiburg,RB Leipzig,AM,DMC,2402.0,T1,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,,,,,,,4829616,,,,,1.1000,confirmed_role_delta=+2;usual=DMC;today=AM;weight=1.00
