match,kick_off,league,market,line,side,model_prob,model_prob_raw,model_fair,bookmaker,bookie_odds,edge,stake,stake_label,lambda_h,lambda_a,lambda_h_recent,lambda_a_recent,divergence,consensus,policy_version,file_date
Liverpool vs Chelsea,2026-05-09T11:30:00Z,epl,corners,10.5,under,0.6481,0.7738,1.543,Pinnacle,1.9174,0.1265,0.38,LOW,4.49,3.91,3.94,3.58,0.106,aligned,V3.1,2026-05-05
Torino vs Sassuolo,2026-05-08T18:45:00Z,serie-a,corners,8.5,over,0.6861,0.7542,1.457,Pinnacle,1.7194,0.1045,0.38,TINY,6.3,4.54,5.95,3.7,0.1106,aligned,V3.1,2026-05-05
