date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-05-21,2026-05-24T15:00:00Z,epl,Brighton,Manchester United,4.478,4.438,8.916,4.452,3.842,0.0698,aligned,V3.1,341,455,0.5332,1.875,2.142,0.4015,2.491,1.671,0.2841,3.52,1.397,0.1889,5.294,1.233
2026-05-21,2026-05-24T15:00:00Z,epl,Burnley,Wolverhampton,4.292,3.643,7.935,4.652,3.095,0.0238,aligned,V3.1,341,303,0.3984,2.51,1.662,0.2754,3.631,1.38,0.1778,5.625,1.216,0.1073,9.318,1.12
2026-05-21,2026-05-24T15:00:00Z,epl,Crystal Palace,Arsenal,5.932,5.767,11.699,7.009,4.352,0.0289,aligned,V3.1,455,455,0.8243,1.213,5.691,0.7304,1.369,3.709,0.6205,1.612,2.635,0.5036,1.986,2.015
2026-05-21,2026-05-24T15:00:00Z,epl,Fulham,Newcastle United,5.896,5.125,11.021,5.456,6.176,0.0555,aligned,V3.1,227,417,0.7698,1.299,4.345,0.6617,1.511,2.956,0.5426,1.843,2.186,0.4232,2.363,1.734
2026-05-21,2026-05-24T15:00:00Z,epl,Liverpool,Brentford,6.439,3.206,9.645,6.525,1.916,0.1248,aligned,V3.1,455,189,0.6258,1.598,2.672,0.4969,2.012,1.988,0.3726,2.684,1.594,0.2636,3.793,1.358
2026-05-21,2026-05-24T15:00:00Z,epl,Manchester City,Aston Villa,7.453,2.409,9.862,8.435,2.683,0.1275,aligned,V3.1,455,341,0.6514,1.535,2.869,0.5246,1.906,2.104,0.3997,2.502,1.666,0.2876,3.477,1.404
2026-05-21,2026-05-24T15:00:00Z,epl,Nottingham Forest,Bournemouth,6.065,5.109,11.174,7.211,4.511,0.049,aligned,V3.1,151,341,0.7831,1.277,4.611,0.6781,1.475,3.106,0.5607,1.783,2.276,0.4415,2.265,1.791
2026-05-21,2026-05-24T15:00:00Z,epl,Sunderland,Chelsea,3.422,4.979,8.401,3.083,5.321,0.0003,aligned,V3.1,151,455,0.4633,2.159,1.863,0.3342,2.992,1.502,0.2258,4.428,1.292,0.143,6.992,1.167
2026-05-21,2026-05-24T15:00:00Z,epl,Tottenham Hotspur,Everton,6.783,3.765,10.548,5.588,3.957,0.0951,aligned,V3.1,455,455,0.7254,1.379,3.641,0.6084,1.644,2.554,0.4851,2.061,1.942,0.3669,2.726,1.58
2026-05-21,2026-05-24T15:00:00Z,epl,West Ham United,Leeds United,6.233,4.838,11.071,6.69,3.94,0.0398,aligned,V3.1,455,151,0.7743,1.292,4.43,0.6672,1.499,3.004,0.5486,1.823,2.215,0.4292,2.33,1.752
2026-05-21,2026-05-22T18:45:00Z,serie-a,Fiorentina,Atalanta,3.89,4.194,8.084,3.69,4.272,0.015,aligned,V3.1,455,455,0.4192,2.386,1.722,0.2939,3.403,1.416,0.1925,5.194,1.238,0.1181,8.468,1.134
2026-05-21,2026-05-23T16:00:00Z,serie-a,Bologna,Internazionale,5.142,6.219,11.36,4.738,7.824,0.1058,aligned,V3.1,417,455,0.7984,1.252,4.961,0.6973,1.434,3.303,0.5824,1.717,2.394,0.4637,2.157,1.865
2026-05-21,2026-05-23T18:45:00Z,serie-a,Lazio,Pisa,6.292,2.366,8.658,7.202,1.65,0.0223,aligned,V3.1,455,37,0.4985,2.006,1.994,0.3677,2.72,1.581,0.2543,3.932,1.341,0.1651,6.055,1.198
2026-05-21,2026-05-24T13:00:00Z,serie-a,Parma,Sassuolo,5.348,6.263,11.611,5.141,5.945,0.0452,aligned,V3.1,227,417,0.8178,1.223,5.488,0.722,1.385,3.597,0.6107,1.637,2.569,0.4933,2.027,1.973
2026-05-21,2026-05-24T16:00:00Z,serie-a,Napoli,Udinese,6.803,2.696,9.499,7.76,2.485,0.0787,aligned,V3.1,455,455,0.608,1.645,2.551,0.478,2.092,1.916,0.3545,2.821,1.549,0.2479,4.035,1.33
2026-05-21,2026-05-24T18:45:00Z,serie-a,AC Milan,Cagliari,7.152,3.564,10.716,7.164,3.658,0.0098,aligned,V3.1,455,379,0.7418,1.348,3.873,0.6279,1.593,2.687,0.5058,1.977,2.023,0.3869,2.585,1.631
2026-05-21,2026-05-24T18:45:00Z,serie-a,Cremonese,Como,2.951,4.913,7.864,3.88,5.679,0.2155,divergent,V3.1,75,75,0.3884,2.574,1.635,0.2666,3.751,1.364,0.1708,5.854,1.206,0.1023,9.772,1.114
2026-05-21,2026-05-24T18:45:00Z,serie-a,Hellas Verona,Roma,3.672,5.023,8.695,3.434,4.899,0.0417,aligned,V3.1,379,455,0.5036,1.986,2.014,0.3725,2.684,1.594,0.2585,3.868,1.349,0.1685,5.936,1.203
2026-05-21,2026-05-24T18:45:00Z,serie-a,Lecce,Genoa,4.318,6.66,10.977,5.001,6.273,0.0271,aligned,V3.1,189,417,0.766,1.306,4.273,0.657,1.522,2.915,0.5374,1.861,2.162,0.418,2.392,1.718
2026-05-21,2026-05-24T18:45:00Z,serie-a,Torino,Juventus,3.921,4.587,8.508,3.099,3.854,0.1828,divergent,V3.1,455,455,0.478,2.092,1.916,0.3481,2.873,1.534,0.2375,4.21,1.311,0.152,6.578,1.179
2026-05-21,2026-05-23T19:00:00Z,la-liga,Alaves,Rayo Vallecano,3.382,6.613,9.995,2.66,8.885,0.1551,divergent,V3.1,341,303,0.6666,1.5,3.0,0.5415,1.847,2.181,0.4164,2.402,1.713,0.3027,3.304,1.434
2026-05-21,2026-05-23T19:00:00Z,la-liga,Celta Vigo,Sevilla,5.554,4.121,9.674,6.082,3.866,0.0283,aligned,V3.1,455,455,0.6294,1.589,2.698,0.5007,1.997,2.003,0.3763,2.657,1.603,0.2669,3.747,1.364
2026-05-21,2026-05-23T19:00:00Z,la-liga,Espanyol,Real Sociedad,4.542,5.317,9.859,4.602,5.373,0.0118,aligned,V3.1,379,455,0.6511,1.536,2.866,0.5244,1.907,2.102,0.3994,2.504,1.665,0.2873,3.48,1.403
2026-05-21,2026-05-23T19:00:00Z,la-liga,Getafe,Osasuna,4.392,3.461,7.853,3.15,3.293,0.1795,divergent,V3.1,417,303,0.387,2.584,1.631,0.2654,3.769,1.361,0.1698,5.888,1.205,0.1016,9.84,1.113
2026-05-21,2026-05-23T19:00:00Z,la-liga,Girona,Elche,4.225,4.653,8.878,4.271,5.353,0.084,aligned,V3.1,227,189,0.5282,1.893,2.119,0.3965,2.522,1.657,0.2797,3.576,1.388,0.1853,5.396,1.227
2026-05-21,2026-05-23T19:00:00Z,la-liga,Real Betis,Levante,4.906,6.821,11.727,5.607,9.463,0.285,divergent,V3.1,417,303,0.8263,1.21,5.757,0.733,1.364,3.745,0.6236,1.604,2.656,0.5069,1.973,2.028
