date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-04-24,2026-04-24T19:00:00Z,epl,Sunderland,Nottingham Forest,5.183,5.528,10.71,4.163,6.6,0.005,aligned,V3,147,147,0.7413,1.349,3.865,0.6272,1.594,2.683,0.5051,1.98,2.021,0.3862,2.589,1.629
2026-04-24,2026-04-25T11:30:00Z,epl,Fulham,Aston Villa,5.087,4.582,9.669,5.706,3.958,0.0005,aligned,V3,223,337,0.6287,1.591,2.693,0.5,2.0,2.0,0.3756,2.663,1.601,0.2662,3.756,1.363
2026-04-24,2026-04-25T14:00:00Z,epl,Liverpool,Crystal Palace,6.116,4.504,10.62,5.435,4.44,0.0702,aligned,V3,451,450,0.7325,1.365,3.739,0.6169,1.621,2.61,0.4941,2.024,1.977,0.3755,2.663,1.601
2026-04-24,2026-04-25T14:00:00Z,epl,West Ham United,Everton,6.283,3.868,10.151,6.092,3.474,0.0576,aligned,V3,451,451,0.6839,1.462,3.164,0.5608,1.783,2.277,0.4358,2.294,1.773,0.3205,3.12,1.472
2026-04-24,2026-04-25T14:00:00Z,epl,Wolverhampton,Tottenham Hotspur,5.293,4.564,9.857,7.004,3.789,0.095,aligned,V3,299,451,0.6508,1.537,2.864,0.524,1.908,2.101,0.399,2.506,1.664,0.287,3.484,1.403
2026-04-24,2026-04-25T16:30:00Z,epl,Arsenal,Newcastle United,6.998,4.864,11.863,5.737,6.206,0.0068,aligned,V3,451,413,0.8358,1.197,6.089,0.7454,1.342,3.928,0.6382,1.567,2.764,0.5226,1.914,2.095
2026-04-24,2026-04-27T19:00:00Z,epl,Manchester United,Brentford,6.099,3.412,9.511,6.423,2.273,0.0857,aligned,V3,451,185,0.6095,1.641,2.561,0.4796,2.085,1.922,0.356,2.809,1.553,0.2492,4.013,1.332
2026-04-24,2026-04-24T18:45:00Z,serie-a,Napoli,Cremonese,6.393,2.586,8.979,6.337,3.112,0.0523,aligned,V3,451,71,0.5416,1.846,2.182,0.4099,2.44,1.694,0.2915,3.43,1.412,0.195,5.129,1.242
2026-04-24,2026-04-25T13:00:00Z,serie-a,Parma,Pisa,4.939,3.917,8.856,4.955,3.694,0.0234,aligned,V3,223,33,0.5253,1.904,2.106,0.3937,2.54,1.649,0.2771,3.609,1.383,0.1833,5.456,1.224
2026-04-24,2026-04-25T16:00:00Z,serie-a,Bologna,Roma,4.926,4.294,9.22,5.105,3.916,0.0216,aligned,V3,413,451,0.573,1.745,2.342,0.4416,2.265,1.791,0.3204,3.121,1.471,0.2189,4.569,1.28
2026-04-24,2026-04-25T18:45:00Z,serie-a,Hellas Verona,Lecce,5.672,4.242,9.913,4.731,5.231,0.0049,aligned,V3,375,185,0.6573,1.521,2.918,0.5312,1.883,2.133,0.4061,2.462,1.684,0.2934,3.408,1.415
2026-04-24,2026-04-26T10:30:00Z,serie-a,Fiorentina,Sassuolo,6.281,4.405,10.686,6.177,3.466,0.0977,aligned,V3,451,413,0.739,1.353,3.831,0.6245,1.601,2.663,0.5022,1.991,2.009,0.3834,2.609,1.622
2026-04-24,2026-04-26T13:00:00Z,serie-a,Genoa,Como,4.438,4.098,8.536,5.181,4.663,0.1532,divergent,V3,413,71,0.4818,2.075,1.93,0.3517,2.843,1.543,0.2406,4.156,1.317,0.1544,6.476,1.183
2026-04-24,2026-04-26T16:00:00Z,serie-a,Torino,Internazionale,4.459,6.486,10.945,4.175,7.741,0.0888,aligned,V3,451,451,0.7631,1.311,4.22,0.6534,1.53,2.886,0.5335,1.875,2.144,0.4141,2.415,1.707
2026-04-24,2026-04-26T18:45:00Z,serie-a,AC Milan,Juventus,4.208,4.312,8.521,3.669,3.573,0.15,divergent,V3,451,451,0.4797,2.084,1.922,0.3497,2.859,1.538,0.2389,4.185,1.314,0.1531,6.531,1.181
2026-04-24,2026-04-27T16:30:00Z,serie-a,Cagliari,Atalanta,3.389,5.655,9.044,3.312,5.577,0.0172,aligned,V3,375,451,0.5502,1.818,2.223,0.4184,2.39,1.719,0.2993,3.342,1.427,0.2013,4.968,1.252
2026-04-24,2026-04-27T18:45:00Z,serie-a,Lazio,Udinese,6.765,3.004,9.768,9.585,2.149,0.2012,divergent,V3,451,451,0.6405,1.561,2.782,0.5128,1.95,2.053,0.388,2.577,1.634,0.2772,3.607,1.384
2026-04-24,2026-04-24T19:00:00Z,la-liga,Real Betis,Real Madrid,4.077,6.435,10.512,4.756,7.738,0.1886,divergent,V3,412,450,0.7218,1.385,3.594,0.6042,1.655,2.527,0.4807,2.08,1.926,0.3627,2.757,1.569
2026-04-24,2026-04-25T12:00:00Z,la-liga,Alaves,Mallorca,4.125,4.207,8.332,3.385,5.537,0.0708,aligned,V3,336,222,0.4537,2.204,1.83,0.3253,3.074,1.482,0.2184,4.579,1.279,0.1374,7.28,1.159
2026-04-24,2026-04-25T14:15:00Z,la-liga,Getafe,Barcelona,3.243,6.497,9.74,3.39,8.122,0.182,divergent,V3,412,450,0.6371,1.57,2.756,0.5091,1.964,2.037,0.3844,2.601,1.625,0.274,3.649,1.377
2026-04-24,2026-04-25T16:30:00Z,la-liga,Valencia,Girona,6.986,3.239,10.225,8.554,2.961,0.1262,aligned,V3,450,222,0.6919,1.445,3.246,0.5699,1.755,2.325,0.4451,2.247,1.802,0.3291,3.039,1.491
