match,kick_off,league,market,line,side,model_prob,model_prob_raw,model_fair,bookmaker,bookie_odds,edge,stake,stake_label,lambda_h,lambda_a,file_date
FSV Mainz 05 vs SC Freiburg,2026-04-12T17:30:00Z,bundesliga,corners,8.5,over,0.6654,0.6993,1.503,Pinnacle,2.81,0.3095,2.0,MAX,5.11,5.18,2026-04-12
Como vs Inter Milan,2026-04-12T18:45:00Z,serie-a,corners,8.5,over,0.6159,0.5537,1.624,Pinnacle,2.09,0.1375,0.75,LOW,4.27,4.8,2026-04-12
