date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-04-10,2026-04-10T19:00:00Z,epl,West Ham United,Wolverhampton Wanderers,5.652,4.032,9.684,31,31,0.6305,1.586,2.706,0.5019,1.992,2.008,0.3775,2.649,1.606,0.2679,3.733,1.366
2026-04-10,2026-04-11T11:30:00Z,epl,Arsenal,Bournemouth,7.504,3.262,10.766,31,31,0.7466,1.339,3.946,0.6336,1.578,2.729,0.5119,1.954,2.049,0.3928,2.546,1.647
2026-04-10,2026-04-11T14:00:00Z,epl,Brentford,Everton,5.847,3.598,9.445,31,31,0.6014,1.663,2.509,0.471,2.123,1.89,0.3479,2.875,1.533,0.2422,4.129,1.32
2026-04-10,2026-04-11T14:00:00Z,epl,Burnley,Brighton and Hove Albion,3.388,4.864,8.253,31,31,0.4427,2.259,1.794,0.3152,3.173,1.46,0.21,4.763,1.266,0.131,7.632,1.151
2026-04-10,2026-04-11T16:30:00Z,epl,Liverpool,Fulham,6.922,4.283,11.205,31,31,0.7857,1.273,4.666,0.6813,1.468,3.138,0.5643,1.772,2.295,0.4452,2.246,1.802
2026-04-10,2026-04-12T13:00:00Z,epl,Nottingham Forest,Aston Villa,5.328,4.492,9.82,31,31,0.6465,1.547,2.829,0.5193,1.926,2.08,0.3944,2.536,1.651,0.2829,3.535,1.394
2026-04-10,2026-04-12T13:00:00Z,epl,Crystal Palace,Newcastle United,4.144,5.58,9.724,30,31,0.6353,1.574,2.742,0.5071,1.972,2.029,0.3825,2.614,1.619,0.2723,3.672,1.374
2026-04-10,2026-04-12T13:00:00Z,epl,Sunderland,Tottenham Hotspur,3.951,5.278,9.228,31,31,0.574,1.742,2.348,0.4427,2.259,1.794,0.3214,3.111,1.474,0.2197,4.552,1.282
2026-04-10,2026-04-12T15:30:00Z,epl,Chelsea,Manchester City,5.333,4.313,9.646,31,30,0.626,1.597,2.674,0.4971,2.012,1.989,0.3728,2.682,1.594,0.2638,3.791,1.358
2026-04-10,2026-04-13T19:00:00Z,epl,Manchester United,Leeds United,4.313,4.338,8.651,31,31,0.4975,2.01,1.99,0.3667,2.727,1.579,0.2535,3.945,1.34,0.1645,6.079,1.197
2026-04-10,2026-04-10T18:45:00Z,serie-a,AS Roma,Pisa,6.816,1.497,8.313,31,31,0.451,2.217,1.822,0.3229,3.097,1.477,0.2163,4.623,1.276,0.1358,7.363,1.157
2026-04-10,2026-04-11T13:00:00Z,serie-a,Cagliari,Cremonese,5.126,3.003,8.129,31,31,0.4255,2.35,1.741,0.2995,3.339,1.428,0.1971,5.073,1.246,0.1215,8.233,1.138
2026-04-10,2026-04-11T13:00:00Z,serie-a,Torino,Hellas Verona,4.506,2.158,6.664,31,31,0.2282,4.381,1.296,0.1371,7.293,1.159,0.0764,13.092,1.083,0.0396,25.259,1.041
2026-04-10,2026-04-11T16:00:00Z,serie-a,AC Milan,Udinese,5.121,3.776,8.896,31,31,0.5306,1.885,2.13,0.3989,2.507,1.664,0.2818,3.549,1.392,0.1871,5.346,1.23
2026-04-10,2026-04-11T18:45:00Z,serie-a,Atalanta BC,Juventus,4.478,5.034,9.512,31,31,0.6097,1.64,2.562,0.4798,2.084,1.922,0.3562,2.807,1.553,0.2493,4.011,1.332
2026-04-10,2026-04-12T10:30:00Z,serie-a,Genoa,Sassuolo,3.508,3.585,7.093,31,31,0.2831,3.532,1.395,0.1791,5.584,1.218,0.1053,9.5,1.118,0.0577,17.34,1.061
2026-04-10,2026-04-12T13:00:00Z,serie-a,Parma,Napoli,2.333,4.503,6.836,31,31,0.2498,4.002,1.333,0.1533,6.523,1.181,0.0873,11.453,1.096,0.0463,21.597,1.049
2026-04-10,2026-04-12T16:00:00Z,serie-a,Bologna,Lecce,6.022,2.936,8.958,31,31,0.5388,1.856,2.168,0.407,2.457,1.686,0.289,3.46,1.406,0.1929,5.184,1.239
2026-04-10,2026-04-12T18:45:00Z,serie-a,Como,Inter Milan,2.682,4.393,7.075,31,31,0.2808,3.561,1.39,0.1772,5.642,1.215,0.104,9.619,1.116,0.0568,17.596,1.06
2026-04-10,2026-04-13T18:45:00Z,serie-a,Fiorentina,Lazio,3.475,3.03,6.505,31,31,0.2091,4.783,1.264,0.1231,8.124,1.14,0.0671,14.893,1.072,0.0341,29.36,1.035
2026-04-10,2026-04-10T19:00:00Z,la-liga,Real Madrid,Girona,8.035,2.887,10.922,30,30,0.761,1.314,4.184,0.651,1.536,2.865,0.5308,1.884,2.131,0.4114,2.431,1.699
2026-04-10,2026-04-11T12:00:00Z,la-liga,Real Sociedad,Alavés,6.635,4.23,10.865,30,30,0.7558,1.323,4.096,0.6447,1.551,2.815,0.5239,1.909,2.101,0.4047,2.471,1.68
2026-04-10,2026-04-11T14:15:00Z,la-liga,Elche CF,Valencia,3.783,4.441,8.224,30,30,0.4387,2.28,1.782,0.3115,3.21,1.452,0.2069,4.832,1.261,0.1288,7.766,1.148
2026-04-10,2026-04-11T16:30:00Z,la-liga,Barcelona,Espanyol,7.986,3.777,11.762,30,30,0.8288,1.207,5.84,0.7362,1.358,3.791,0.6274,1.594,2.684,0.511,1.957,2.045
2026-04-10,2026-04-11T19:00:00Z,la-liga,Sevilla,Atlético Madrid,3.987,6.004,9.991,30,30,0.6662,1.501,2.995,0.5409,1.849,2.178,0.4158,2.405,1.712,0.3022,3.309,1.433
2026-04-10,2026-04-12T12:00:00Z,la-liga,CA Osasuna,Real Betis,5.002,3.286,8.288,30,30,0.4476,2.234,1.81,0.3197,3.128,1.47,0.2137,4.68,1.272,0.1338,7.473,1.154
2026-04-10,2026-04-12T14:15:00Z,la-liga,Mallorca,Rayo Vallecano,3.607,8.058,11.665,30,30,0.8218,1.217,5.611,0.7271,1.375,3.665,0.6167,1.621,2.609,0.4996,2.002,1.998
2026-04-10,2026-04-12T16:30:00Z,la-liga,Celta Vigo,Oviedo,6.27,2.879,9.149,30,30,0.5638,1.774,2.293,0.4322,2.314,1.761,0.3118,3.207,1.453,0.2117,4.724,1.269
2026-04-10,2026-04-12T19:00:00Z,la-liga,Athletic Bilbao,Villarreal,5.109,3.481,8.59,30,30,0.4892,2.044,1.958,0.3587,2.788,1.559,0.2466,4.055,1.327,0.1591,6.286,1.189
2026-04-10,2026-04-13T19:00:00Z,la-liga,Levante,Getafe,4.391,5.22,9.611,30,30,0.6218,1.608,2.644,0.4926,2.03,1.971,0.3684,2.714,1.583,0.26,3.847,1.351
2026-04-10,2026-04-10T18:30:00Z,bundesliga,Augsburg,TSG Hoffenheim,4.962,6.235,11.197,28,28,0.785,1.274,4.652,0.6805,1.47,3.129,0.5634,1.775,2.29,0.4442,2.251,1.799
2026-04-10,2026-04-11T13:30:00Z,bundesliga,1. FC Heidenheim,Union Berlin,4.911,3.89,8.801,28,28,0.5179,1.931,2.074,0.3864,2.588,1.63,0.2707,3.694,1.371,0.1782,5.613,1.217
2026-04-10,2026-04-11T13:30:00Z,bundesliga,Borussia Dortmund,Bayer Leverkusen,5.302,4.511,9.813,28,28,0.6458,1.549,2.823,0.5185,1.929,2.077,0.3936,2.541,1.649,0.2822,3.544,1.393
2026-04-10,2026-04-11T13:30:00Z,bundesliga,RB Leipzig,Borussia Monchengladbach,5.843,4.007,9.851,28,28,0.6501,1.538,2.858,0.5233,1.911,2.098,0.3983,2.511,1.662,0.2864,3.492,1.401
2026-04-10,2026-04-11T13:30:00Z,bundesliga,VfL Wolfsburg,Eintracht Frankfurt,3.446,8.046,11.492,28,28,0.8088,1.236,5.23,0.7104,1.408,3.453,0.5973,1.674,2.484,0.4792,2.087,1.92
2026-04-10,2026-04-11T16:30:00Z,bundesliga,FC St. Pauli,Bayern Munich,3.79,6.132,9.922,28,28,0.6583,1.519,2.927,0.5322,1.879,2.138,0.4072,2.456,1.687,0.2944,3.397,1.417
2026-04-10,2026-04-12T13:30:00Z,bundesliga,1. FC Köln,Werder Bremen,5.075,5.476,10.551,28,28,0.7257,1.378,3.646,0.6089,1.642,2.557,0.4856,2.059,1.944,0.3673,2.722,1.581
2026-04-10,2026-04-12T15:30:00Z,bundesliga,VfB Stuttgart,Hamburger SV,7.583,3.314,10.897,28,28,0.7587,1.318,4.144,0.6482,1.543,2.842,0.5277,1.895,2.117,0.4084,2.449,1.69
2026-04-10,2026-04-12T17:30:00Z,bundesliga,FSV Mainz 05,SC Freiburg,4.603,4.158,8.761,28,28,0.5125,1.951,2.051,0.3811,2.624,1.616,0.2661,3.758,1.363,0.1744,5.733,1.211
2026-04-10,2026-04-10T17:00:00Z,ligue-1,Paris FC,AS Monaco,4.733,4.338,9.072,28,28,0.5537,1.806,2.241,0.422,2.37,1.73,0.3025,3.305,1.434,0.204,4.902,1.256
2026-04-10,2026-04-10T19:05:00Z,ligue-1,Marseille,Metz,6.261,3.1,9.361,28,28,0.5909,1.692,2.445,0.4601,2.173,1.852,0.3376,2.962,1.51,0.2334,4.284,1.304
