match,kick_off,league,market,line,side,model_prob,model_prob_raw,model_fair,bookmaker,bookie_odds,edge,stake,stake_label,lambda_h,lambda_a,lambda_h_recent,lambda_a_recent,divergence,consensus,policy_version,file_date
Crystal Palace vs Arsenal,2026-05-24T15:00:00Z,epl,corners,9.5,over,0.5941,0.7304,1.683,Pinnacle,2.09,0.1156,0.19,TINY,5.93,5.77,7.01,4.35,0.0289,aligned,V3.1,2026-05-24
Parma vs Sassuolo,2026-05-24T13:00:00Z,serie-a,corners,8.5,over,0.7134,0.8178,1.402,Pinnacle,1.6329,0.101,0.38,TINY,5.35,6.26,5.14,5.95,0.0452,aligned,V3.1,2026-05-24
