date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-05-06,2026-05-09T11:30:00Z,epl,Liverpool,Chelsea,4.492,3.912,8.404,3.935,3.578,0.106,aligned,V3.1,453,453,0.4637,2.156,1.865,0.3347,2.988,1.503,0.2262,4.421,1.292,0.1433,6.978,1.167
2026-05-06,2026-05-09T14:00:00Z,epl,Brighton,Wolverhampton,4.482,3.776,8.258,4.937,3.708,0.0468,aligned,V3.1,339,301,0.4434,2.255,1.797,0.3159,3.166,1.462,0.2105,4.75,1.267,0.1314,7.608,1.151
2026-05-06,2026-05-09T14:00:00Z,epl,Fulham,Bournemouth,5.845,4.707,10.552,5.049,4.665,0.0794,aligned,V3.1,225,339,0.7258,1.378,3.647,0.609,1.642,2.557,0.4857,2.059,1.944,0.3674,2.722,1.581
2026-05-06,2026-05-09T14:00:00Z,epl,Sunderland,Manchester United,4.272,5.445,9.717,3.793,5.12,0.0827,aligned,V3.1,149,453,0.6344,1.576,2.735,0.5062,1.976,2.025,0.3816,2.621,1.617,0.2715,3.683,1.373
2026-05-06,2026-05-09T16:30:00Z,epl,Manchester City,Brentford,8.741,2.005,10.746,8.569,1.75,0.0398,aligned,V3.1,452,187,0.7447,1.343,3.917,0.6313,1.584,2.713,0.5095,1.963,2.039,0.3905,2.561,1.641
2026-05-06,2026-05-10T13:00:00Z,epl,Burnley,Aston Villa,4.199,3.854,8.052,5.565,2.736,0.0308,aligned,V3.1,339,339,0.4148,2.411,1.709,0.2899,3.449,1.408,0.1894,5.281,1.234,0.1157,8.639,1.131
2026-05-06,2026-05-10T13:00:00Z,epl,Crystal Palace,Everton,7.131,3.506,10.637,8.617,2.916,0.0843,aligned,V3.1,452,453,0.7342,1.362,3.762,0.6188,1.616,2.623,0.4961,2.016,1.985,0.3775,2.649,1.606
2026-05-06,2026-05-10T13:00:00Z,epl,Nottingham Forest,Newcastle United,6.119,5.562,11.68,7.793,5.972,0.1785,divergent,V3.1,149,415,0.8229,1.215,5.646,0.7286,1.373,3.684,0.6184,1.617,2.621,0.5014,1.994,2.006
2026-05-06,2026-05-10T15:30:00Z,epl,West Ham United,Arsenal,5.227,6.363,11.59,4.955,5.184,0.1251,aligned,V3.1,453,453,0.8162,1.225,5.441,0.7199,1.389,3.57,0.6083,1.644,2.553,0.4907,2.038,1.964
2026-05-06,2026-05-11T19:00:00Z,epl,Tottenham Hotspur,Leeds United,6.729,4.709,11.438,6.136,4.488,0.0711,aligned,V3.1,453,149,0.8046,1.243,5.117,0.7051,1.418,3.391,0.5912,1.691,2.446,0.4729,2.115,1.897
