date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-05-24,2026-05-24T18:45:00Z,serie-a,AC Milan,Cagliari,7.152,3.564,10.716,7.164,3.658,0.0098,aligned,V3.1,455,379,0.7418,1.348,3.873,0.6279,1.593,2.687,0.5058,1.977,2.023,0.3869,2.585,1.631
2026-05-24,2026-05-24T18:45:00Z,serie-a,Cremonese,Como,2.951,4.913,7.864,3.88,5.679,0.2155,divergent,V3.1,75,75,0.3884,2.574,1.635,0.2666,3.751,1.364,0.1708,5.854,1.206,0.1023,9.772,1.114
2026-05-24,2026-05-24T18:45:00Z,serie-a,Hellas Verona,Roma,3.672,5.023,8.695,3.434,4.899,0.0417,aligned,V3.1,379,455,0.5036,1.986,2.014,0.3725,2.684,1.594,0.2585,3.868,1.349,0.1685,5.936,1.203
2026-05-24,2026-05-24T18:45:00Z,serie-a,Lecce,Genoa,4.318,6.66,10.977,5.001,6.273,0.0271,aligned,V3.1,189,417,0.766,1.306,4.273,0.657,1.522,2.915,0.5374,1.861,2.162,0.418,2.392,1.718
2026-05-24,2026-05-24T18:45:00Z,serie-a,Torino,Juventus,3.921,4.587,8.508,3.099,3.854,0.1828,divergent,V3.1,455,455,0.478,2.092,1.916,0.3481,2.873,1.534,0.2375,4.21,1.311,0.152,6.578,1.179
2026-05-24,2026-05-24T19:00:00Z,la-liga,Villarreal,Atletico Madrid,3.208,5.745,8.953,2.644,6.046,0.0295,aligned,V3.1,455,455,0.5382,1.858,2.165,0.4064,2.46,1.685,0.2885,3.466,1.405,0.1925,5.196,1.238
2026-05-24,2026-05-25T18:30:00Z,bundesliga,Paderborn,Wolfsburg,7.064,6.388,13.452,4.747,8.373,0.0247,aligned,V3.1,68,408,0.9192,1.088,12.372,0.862,1.16,7.246,0.7851,1.274,4.653,0.691,1.447,3.236
