date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-05-03,2026-05-03T13:00:00Z,epl,Bournemouth,Crystal Palace,5.358,5.392,10.75,5.381,6.184,0.0758,aligned,V3,338,451,0.745,1.342,3.922,0.6317,1.583,2.715,0.5099,1.961,2.04,0.3909,2.558,1.642
2026-05-03,2026-05-03T14:30:00Z,epl,Manchester United,Liverpool,4.991,4.807,9.798,4.017,4.151,0.1663,divergent,V3,452,452,0.644,1.553,2.809,0.5166,1.936,2.069,0.3917,2.553,1.644,0.2805,3.565,1.39
2026-05-03,2026-05-03T18:00:00Z,epl,Aston Villa,Tottenham Hotspur,5.599,4.464,10.063,6.192,4.532,0.0658,aligned,V3,338,452,0.6742,1.483,3.07,0.5499,1.818,2.222,0.4248,2.354,1.739,0.3104,3.222,1.45
2026-05-03,2026-05-04T14:00:00Z,epl,Chelsea,Nottingham Forest,5.892,3.703,9.595,5.436,4.281,0.0126,aligned,V3,452,148,0.6198,1.613,2.63,0.4905,2.039,1.963,0.3665,2.729,1.578,0.2583,3.872,1.348
2026-05-03,2026-05-04T19:00:00Z,epl,Everton,Manchester City,2.204,8.323,10.527,2.333,7.645,0.0522,aligned,V3,452,451,0.7233,1.383,3.614,0.606,1.65,2.538,0.4826,2.072,1.933,0.3644,2.744,1.573
2026-05-03,2026-05-03T10:30:00Z,serie-a,Bologna,Cagliari,7.683,3.635,11.318,6.865,3.987,0.0412,aligned,V3,414,376,0.7951,1.258,4.88,0.693,1.443,3.258,0.5775,1.732,2.367,0.4587,2.18,1.847
2026-05-03,2026-05-03T13:00:00Z,serie-a,Sassuolo,AC Milan,4.982,5.802,10.784,3.997,6.044,0.0689,aligned,V3,414,452,0.7482,1.336,3.972,0.6355,1.573,2.744,0.514,1.945,2.058,0.3949,2.532,1.653
2026-05-03,2026-05-03T16:00:00Z,serie-a,Juventus,Hellas Verona,6.001,2.89,8.89,5.683,2.028,0.1327,aligned,V3,452,376,0.5298,1.887,2.127,0.3981,2.512,1.662,0.2811,3.558,1.391,0.1865,5.362,1.229
2026-05-03,2026-05-03T18:45:00Z,serie-a,Internazionale,Parma,10.429,3.243,13.672,14.525,3.091,0.2886,divergent,V3,452,224,0.9272,1.078,13.74,0.8741,1.144,7.944,0.8015,1.248,5.038,0.7113,1.406,3.464
2026-05-03,2026-05-04T16:30:00Z,serie-a,Cremonese,Lazio,3.453,5.422,8.876,3.139,6.71,0.1097,aligned,V3,72,452,0.5279,1.894,2.118,0.3962,2.524,1.656,0.2794,3.579,1.388,0.1851,5.402,1.227
