date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-05-12,2026-05-13T19:00:00Z,epl,Manchester City,Crystal Palace,8.303,2.817,11.12,7.137,4.055,0.0065,aligned,V3.1,453,453,0.7785,1.285,4.515,0.6724,1.487,3.052,0.5544,1.804,2.244,0.4351,2.298,1.77
2026-05-12,2026-05-15T19:00:00Z,epl,Aston Villa,Liverpool,4.492,4.707,9.199,3.427,5.507,0.0287,aligned,V3.1,340,454,0.5702,1.754,2.327,0.4387,2.279,1.782,0.3178,3.147,1.466,0.2167,4.615,1.277
2026-05-12,2026-05-17T11:30:00Z,epl,Manchester United,Nottingham Forest,6.444,4.623,11.066,5.231,5.267,0.0513,aligned,V3.1,454,150,0.7739,1.292,4.422,0.6667,1.5,3.0,0.548,1.825,2.212,0.4287,2.333,1.75
2026-05-12,2026-05-17T14:00:00Z,epl,Everton,Sunderland,4.483,4.671,9.154,3.798,4.56,0.087,aligned,V3.1,454,150,0.5645,1.771,2.296,0.4329,2.31,1.763,0.3125,3.2,1.454,0.2122,4.712,1.269
2026-05-12,2026-05-17T14:00:00Z,epl,Leeds United,Brighton,4.57,4.857,9.428,3.232,5.877,0.0338,aligned,V3.1,150,340,0.5992,1.669,2.495,0.4688,2.133,1.882,0.3458,2.892,1.529,0.2404,4.16,1.316
2026-05-12,2026-05-17T14:00:00Z,epl,Wolverhampton,Fulham,5.052,4.458,9.51,5.221,4.089,0.021,aligned,V3.1,302,226,0.6095,1.641,2.561,0.4795,2.085,1.921,0.356,2.809,1.553,0.2491,4.014,1.332
2026-05-12,2026-05-17T16:30:00Z,epl,Newcastle United,West Ham United,6.435,4.793,11.227,8.485,4.724,0.1765,divergent,V3.1,416,454,0.7876,1.27,4.708,0.6836,1.463,3.161,0.5669,1.764,2.309,0.4478,2.233,1.811
2026-05-12,2026-05-18T19:00:00Z,epl,Arsenal,Burnley,5.799,3.901,9.7,3.55,4.102,0.2112,divergent,V3.1,454,340,0.6324,1.581,2.72,0.504,1.984,2.016,0.3795,2.635,1.612,0.2697,3.708,1.369
2026-05-12,2026-05-17T10:30:00Z,serie-a,Como,Parma,6.632,2.762,9.394,8.443,3.249,0.2447,divergent,V3.1,74,226,0.5951,1.681,2.469,0.4644,2.153,1.867,0.3417,2.927,1.519,0.2368,4.222,1.31
2026-05-12,2026-05-17T10:30:00Z,serie-a,Genoa,AC Milan,5.64,4.589,10.23,5.409,5.199,0.0369,aligned,V3.1,416,454,0.6924,1.444,3.251,0.5704,1.753,2.328,0.4457,2.244,1.804,0.3296,3.034,1.492
2026-05-12,2026-05-17T10:30:00Z,serie-a,Juventus,Fiorentina,5.188,3.349,8.537,4.215,2.757,0.1833,divergent,V3.1,454,454,0.482,2.075,1.93,0.3518,2.842,1.543,0.2407,4.154,1.317,0.1545,6.472,1.183
2026-05-12,2026-05-17T10:30:00Z,serie-a,Pisa,Napoli,2.619,5.414,8.033,2.226,4.999,0.1007,aligned,V3.1,36,454,0.4121,2.427,1.701,0.2875,3.478,1.404,0.1874,5.335,1.231,0.1143,8.746,1.129
2026-05-12,2026-05-17T10:30:00Z,serie-a,Roma,Lazio,4.557,3.816,8.373,3.248,4.841,0.034,aligned,V3.1,454,454,0.4594,2.177,1.85,0.3306,3.025,1.494,0.2228,4.488,1.287,0.1407,7.106,1.164
