capture_date,captured_at,capture_mode,bookmaker,league,league_name,player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,spread_line,spread_odds1,spread_odds2
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Cap Cana - QF,Miomir Kecmanovic,Adam Walton,1.376,3.26,3.35,22.0,1.855,2.01,-3.5,1.909,1.943
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Cap Cana - QF,Mattia Bellucci,Raphael Collignon,2.23,1.719,3.02,22.5,1.98,1.885,1.5,1.971,1.901
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Cap Cana - QF,Alexander Blockx,Chak Lam Coleman Wong,1.68,2.31,2.81,22.5,1.901,1.971,-2.0,1.962,1.901
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Cap Cana - QF,Mariano Navone,Valentin Royer,2.32,1.662,3.27,22.0,1.901,1.952,2.5,1.893,1.962
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Cherbourg - QF,Clement Tabur,Filippo Romano,1.168,5.81,2.83,20.5,1.935,1.935,-4.5,1.826,2.05
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Cherbourg - QF,Jurij Rodionov,Gauthier Onclin,1.546,2.62,2.85,22.0,2.0,1.87,-3.0,1.943,1.926
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Santiago - QF,Adolfo Daniel Vallejo,Thiago Monteiro,1.562,2.58,2.78,22.5,1.98,1.885,-3.0,2.0,1.877
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Santiago - QF,Nicolas Moreno De Alboran,Genaro Alberto Olivieri,1.437,3.0,2.92,21.5,1.885,1.99,-3.5,1.901,1.962
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,ATP,ATP Indian Wells - SF,Alexander Zverev,Jannik Sinner,5.53,1.18,2.83,21.5,1.855,2.02,4.0,2.11,1.781
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,ATP,ATP Indian Wells - SF,Carlos Alcaraz,Daniil Medvedev,1.225,4.7,2.91,21.5,1.99,1.885,-4.5,2.03,1.847
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Phoenix - QF,Ethan Quinn,Benjamin Bonzi,1.719,2.23,3.02,22.5,1.877,1.99,-1.5,1.917,1.952
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Phoenix - QF,Corentin Moutet,Nikoloz Basilashvili,1.297,3.8,3.42,21.5,1.885,1.971,-4.0,1.909,1.943
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Phoenix - QF,Nuno Borges,Marcos Giron,1.877,1.99,3.53,23.5,2.0,1.862,0.0,1.901,1.952
2026-03-13,2026-03-13T17:42:40.791932+00:00,close,Pinnacle,Challenger,ATP Challenger Phoenix - QF,Billy Harris,Adrian Mannarino,3.25,1.388,2.82,22.0,1.877,2.0,3.5,1.962,1.909
