pick_id,published_at_utc,kickoff_utc,match_id,match_date,league,match,home_team,away_team,team,bookmaker,selection,line,side,model,model_fair_odds,model_implied_prob,book_odds,edge,current_model_would_have_priced,confidence_guard_applied,blocked_reason,result,pnl_units,raw_model_probability,market_fair_probability,model_market_gap,matchday,team_neff,opponent_neff,model_mean,distribution_parameter,signal_status
corners_v3|2026-08-29|ligue-1|auxerre|angers|9.5|under,2026-08-25T12:30:07Z,2026-08-29T18:45:00Z,2026-08-29|ligue-1|auxerre|angers,2026-08-29,ligue-1,Auxerre vs Angers,Auxerre,Angers,,Pinnacle,under 9.5,9.5,under,corners_v3,1.759593,0.568313,1.8264,0.037967,true,false,,,,0.568313,0.521446,0.046867,2,20,20,9.157848,0.01716653,warmup_tracking
corners_v3|2026-08-29|ligue-1|brest|toulouse|9.5|under,2026-08-25T12:30:07Z,2026-08-29T18:45:00Z,2026-08-29|ligue-1|brest|toulouse,2026-08-29,ligue-1,Brest vs Toulouse,Brest,Toulouse,,Pinnacle,under 9.5,9.5,under,corners_v3,1.702015,0.587539,1.8333,0.077135,true,false,,,,0.587539,0.521744,0.065795,2,20,20,9.000783,0.01716653,warmup_tracking
corners_v3|2026-08-29|ligue-1|lorient|troyes|9.5|over,2026-08-26T20:00:06Z,2026-08-29T18:45:00Z,2026-08-29|ligue-1|lorient|troyes,2026-08-29,ligue-1,Lorient vs Troyes,Lorient,Troyes,,Pinnacle,over 9.5,9.5,over,corners_v3,2.14162,0.466936,2.23,0.041268,true,false,,,,0.466936,0.422714,0.044223,2,20,20,9.447994,0.01716653,warmup_tracking
corners_v3|2026-08-29|la-liga|sevilla|ath madrid|8.5|under,2026-08-25T12:30:07Z,2026-08-29T19:30:00Z,2026-08-29|la-liga|sevilla|ath madrid,2026-08-29,la-liga,Sevilla vs Atletico Madrid,Sevilla,Atletico Madrid,,Pinnacle,under 8.5,8.5,under,corners_v3,2.152356,0.464607,2.54,0.180102,true,false,,,,0.464607,0.369758,0.094849,2,20,20,9.003492,0.01716653,warmup_tracking
corners_v3|2026-08-30|ligue-1|paris|nice|8.5|under,2026-08-25T12:30:07Z,2026-08-30T13:00:00Z,2026-08-30|ligue-1|paris|nice,2026-08-30,ligue-1,Paris FC vs Nice,Paris FC,Nice,,Pinnacle,under 8.5,8.5,under,corners_v3,2.424941,0.412381,2.58,0.063944,true,false,,,,0.412381,0.362191,0.05019,2,20,20,9.441245,0.01716653,warmup_tracking
corners_v3|2026-08-30|bundesliga|freiburg|werder bremen|9.5|under,2026-08-25T12:30:07Z,2026-08-30T13:30:00Z,2026-08-30|bundesliga|freiburg|werder bremen,2026-08-30,bundesliga,Freiburg vs Werder Bremen,Freiburg,Werder Bremen,,Pinnacle,under 9.5,9.5,under,corners_v3,1.759937,0.568202,1.8929,0.07555,true,false,,,,0.568202,0.504321,0.063881,1,20,20,9.158757,0.01716653,warmup_tracking
corners_v3|2026-08-30|serie-a|napoli|como|8.5|over,2026-08-25T12:30:07Z,2026-08-30T16:30:00Z,2026-08-30|serie-a|napoli|como,2026-08-30,serie-a,Napoli vs Como,Napoli,Como,,Pinnacle,over 8.5,8.5,over,corners_v3,1.797312,0.556386,1.9524,0.086289,true,false,,,,0.556386,0.490182,0.066205,2,20,20,9.176524,0.01716653,warmup_tracking
corners_v3|2026-08-30|ligue-1|monaco|marseille|8.5|under,2026-08-25T12:30:07Z,2026-08-30T18:45:00Z,2026-08-30|ligue-1|monaco|marseille,2026-08-30,ligue-1,Monaco vs Marseille,Monaco,Marseille,,Pinnacle,under 8.5,8.5,under,corners_v3,2.111941,0.473498,2.48,0.174275,true,false,,,,0.473498,0.377276,0.096223,2,20,20,8.931231,0.01716653,warmup_tracking
corners_v3|2026-08-31|serie-a|lecce|roma|9.5|under,2026-08-25T12:30:07Z,2026-08-31T16:30:00Z,2026-08-31|serie-a|lecce|roma,2026-08-31,serie-a,Lecce vs Roma,Lecce,Roma,,Pinnacle,under 9.5,9.5,under,corners_v3,1.705071,0.586486,1.7692,0.037611,true,false,,,,0.586486,0.536762,0.049724,2,20,20,9.009372,0.01716653,warmup_tracking
corners_v3|2026-08-31|la-liga|osasuna|getafe|9.5|over,2026-08-27T20:00:09Z,2026-08-31T17:30:00Z,2026-08-31|la-liga|osasuna|getafe,2026-08-31,la-liga,Osasuna vs Getafe,Osasuna,Getafe,,Pinnacle,over 9.5,9.5,over,corners_v3,2.145591,0.466072,2.25,0.048662,true,false,,,,0.466072,0.420536,0.045536,2,20,20,9.440833,0.01716653,warmup_tracking
corners_v3|2026-09-03|ligue-1|toulouse|lille|8.5|under,2026-09-01T12:30:05Z,2026-09-03T18:45:00Z,2026-09-03|ligue-1|toulouse|lille,2026-09-03,ligue-1,Toulouse vs Lille,Toulouse,Lille,,Pinnacle,under 8.5,8.5,under,corners_v3,2.292359,0.436232,2.48,0.081855,true,false,,,,0.436232,0.377276,0.058956,2,20,20,9.238248,0.01716653,warmup_tracking
corners_v3|2026-09-04|ligue-1|lyon|auxerre|9.5|under,2026-09-01T12:30:05Z,2026-09-04T17:00:00Z,2026-09-04|ligue-1|lyon|auxerre,2026-09-04,ligue-1,Lyon vs Auxerre,Lyon,Auxerre,,Pinnacle,under 9.5,9.5,under,corners_v3,2.006176,0.498461,2.19,0.091629,true,false,,,,0.498461,0.430222,0.068239,2,20,20,9.737426,0.01716653,warmup_tracking
corners_v3|2026-09-05|bundesliga|hoffenheim|dortmund|9.5|under,2026-09-01T12:30:05Z,2026-09-05T13:30:00Z,2026-09-05|bundesliga|hoffenheim|dortmund,2026-09-05,bundesliga,Hoffenheim vs Borussia Dortmund,Hoffenheim,Borussia Dortmund,,Pinnacle,under 9.5,9.5,under,corners_v3,1.86681,0.535673,2.05,0.09813,true,false,,,,0.535673,0.460796,0.074877,1,20,20,9.426382,0.01716653,warmup_tracking
corners_v3|2026-09-05|epl|brentford|sunderland|9.5|under,2026-09-01T12:30:05Z,2026-09-05T14:00:00Z,2026-09-05|epl|brentford|sunderland,2026-09-05,epl,Brentford vs Sunderland,Brentford,Sunderland,,Pinnacle,under 9.5,9.5,under,corners_v3,1.993831,0.501547,2.12,0.06328,true,false,,,,0.501547,0.447096,0.054451,2,20,20,9.711369,0.01716653,warmup_tracking
corners_v3|2026-09-06|epl|everton|man united|9.5|under,2026-09-01T12:30:05Z,2026-09-06T13:00:00Z,2026-09-06|epl|everton|man united,2026-09-06,epl,Everton vs Manchester United,Everton,Manchester United,,Pinnacle,under 9.5,9.5,under,corners_v3,1.854255,0.5393,2.11,0.137923,true,false,,,,0.5393,0.449,0.0903,2,20,20,9.396381,0.01716653,warmup_tracking
corners_v3|2026-09-06|la-liga|valencia|barcelona|9.5|under,2026-09-01T12:30:05Z,2026-09-06T14:15:00Z,2026-09-06|la-liga|valencia|barcelona,2026-09-06,la-liga,Valencia vs Barcelona,Valencia,Barcelona,,Pinnacle,under 9.5,9.5,under,corners_v3,1.715914,0.58278,2.2,0.282115,true,false,,,,0.58278,0.430391,0.152388,3,20,20,9.039616,0.01716653,warmup_tracking
corners_v3|2026-09-06|ligue-1|angers|rennes|9.5|under,2026-09-01T12:30:05Z,2026-09-06T15:15:00Z,2026-09-06|ligue-1|angers|rennes,2026-09-06,ligue-1,Angers vs Rennes,Angers,Rennes,,Pinnacle,under 9.5,9.5,under,corners_v3,1.68906,0.592045,2.07,0.225534,true,false,,,,0.592045,0.456022,0.136023,2,20,20,8.964035,0.01716653,warmup_tracking
corners_v3|2026-09-06|la-liga|espanol|sevilla|8.5|over,2026-09-01T12:30:05Z,2026-09-06T19:00:00Z,2026-09-06|la-liga|espanol|sevilla,2026-09-06,la-liga,Espanyol vs Sevilla,Espanyol,Sevilla,,Pinnacle,over 8.5,8.5,over,corners_v3,1.837525,0.54421,2.03,0.104747,true,false,,,,0.54421,0.469974,0.074237,3,20,20,9.075737,0.01716653,warmup_tracking
corners_v3|2026-09-07|serie-a|udinese|lazio|9.5|over,2026-09-01T12:30:05Z,2026-09-07T18:45:00Z,2026-09-07|serie-a|udinese|lazio,2026-09-07,serie-a,Udinese vs Lazio,Udinese,Lazio,,Pinnacle,over 9.5,9.5,over,corners_v3,2.048865,0.488075,2.16,0.054242,true,false,,,,0.488075,0.438217,0.049858,2,20,20,9.624123,0.01716653,warmup_tracking
