pick_id,published_at_utc,kickoff_utc,match_id,match_date,league,match,home_team,away_team,team,bookmaker,selection,line,side,model,model_fair_odds,model_implied_prob,book_odds,edge,current_model_would_have_priced,confidence_guard_applied,blocked_reason,result,pnl_units
canonical_form_v3_ema20_nb|2026-04-26|serie-a|fiorentina|sassuolo|sassuolo|10.5|over,2026-04-25T14:05:25Z,2026-04-26T10:30:00Z,2026-04-26|serie-a|fiorentina|sassuolo,2026-04-26,serie-a,ACF Fiorentina vs Sassuolo Calcio,ACF Fiorentina,Sassuolo Calcio,Sassuolo Calcio,Bet365,Sassuolo Calcio over 10.5,10.5,over,canonical_form_v3_ema20_nb,1.68104,0.59487,1.833,0.090396,true,false,,,
canonical_form_v3_ema20_nb|2026-04-26|serie-a|genoa|como|como|13.5|under,2026-04-24T16:02:46Z,2026-04-26T13:00:00Z,2026-04-26|serie-a|genoa|como,2026-04-26,serie-a,Genoa CFC vs Como 1907,Genoa CFC,Como 1907,Como 1907,Bet365,Como 1907 under 13.5,13.5,under,canonical_form_v3_ema20_nb,1.635518,0.611427,1.833,0.120746,true,false,,,
canonical_form_v3_ema20_nb|2026-04-26|bundesliga|stuttgart|werder bremen|stuttgart|16.5|under,2026-04-25T14:05:30Z,2026-04-26T13:30:00Z,2026-04-26|bundesliga|stuttgart|werder bremen,2026-04-26,bundesliga,VfB Stuttgart vs Werder Bremen,VfB Stuttgart,Werder Bremen,VfB Stuttgart,Bet365,VfB Stuttgart under 16.5,16.5,under,canonical_form_v3_ema20_nb,1.583899,0.631353,1.8,0.136436,true,false,,,
canonical_form_v3_ema20_nb|2026-04-26|la-liga|oviedo|elche|elche|11.5|under,2026-04-25T14:05:28Z,2026-04-26T14:15:00Z,2026-04-26|la-liga|oviedo|elche,2026-04-26,la-liga,Real Oviedo vs Elche CF,Real Oviedo,Elche CF,Elche CF,Bet365,Elche CF under 11.5,11.5,under,canonical_form_v3_ema20_nb,1.68973,0.591811,2.0,0.183621,true,false,,,
canonical_form_v3_ema20_nb|2026-04-26|bundesliga|dortmund|freiburg|dortmund|16.5|under,2026-04-25T14:05:30Z,2026-04-26T15:30:00Z,2026-04-26|bundesliga|dortmund|freiburg,2026-04-26,bundesliga,Borussia Dortmund vs SC Freiburg,Borussia Dortmund,SC Freiburg,Borussia Dortmund,Bet365,Borussia Dortmund under 16.5,16.5,under,canonical_form_v3_ema20_nb,1.55102,0.644737,1.909,0.230803,true,false,,,
canonical_form_v3_ema20_nb|2026-04-26|la-liga|osasuna|sevilla|osasuna|12.5|over,2026-04-25T14:05:28Z,2026-04-26T16:30:00Z,2026-04-26|la-liga|osasuna|sevilla,2026-04-26,la-liga,CA Osasuna vs Sevilla FC,CA Osasuna,Sevilla FC,CA Osasuna,Bet365,CA Osasuna over 12.5,12.5,over,canonical_form_v3_ema20_nb,1.821233,0.549079,2.0,0.098157,true,false,,,
canonical_form_v3_ema20_nb|2026-04-26|la-liga|villarreal|celta|villarreal|13.5|under,2026-04-25T14:05:28Z,2026-04-26T19:00:00Z,2026-04-26|la-liga|villarreal|celta,2026-04-26,la-liga,Villarreal CF vs RC Celta de Vigo,Villarreal CF,RC Celta de Vigo,Villarreal CF,Bet365,Villarreal CF under 13.5,13.5,under,canonical_form_v3_ema20_nb,1.701675,0.587656,1.833,0.077174,true,false,,,
canonical_form_v3_ema20_nb|2026-04-27|serie-a|cagliari|atalanta|atalanta|13.5|under,2026-04-26T13:58:49Z,2026-04-27T16:30:00Z,2026-04-27|serie-a|cagliari|atalanta,2026-04-27,serie-a,Cagliari Calcio vs Atalanta BC,Cagliari Calcio,Atalanta BC,Atalanta BC,Bet365,Atalanta BC under 13.5,13.5,under,canonical_form_v3_ema20_nb,1.683338,0.594058,1.833,0.088908,true,false,,,
canonical_form_v3_ema20_nb|2026-04-27|epl|man united|brentford|man united|16.5|under,2026-04-26T13:58:48Z,2026-04-27T19:00:00Z,2026-04-27|epl|man united|brentford,2026-04-27,epl,Manchester United vs Brentford FC,Manchester United,Brentford FC,Manchester United,Bet365,Manchester United under 16.5,16.5,under,canonical_form_v3_ema20_nb,1.666599,0.600024,1.8,0.080044,true,false,,,
canonical_form_v3_ema20_nb|2026-05-01|serie-a|pisa|lecce|lecce|12.5|under,2026-05-01T10:59:57Z,2026-05-01T18:45:00Z,2026-05-01|serie-a|pisa|lecce,2026-05-01,serie-a,Pisa SC vs US Lecce,Pisa SC,US Lecce,US Lecce,Bet365,US Lecce under 12.5,12.5,under,canonical_form_v3_ema20_nb,1.642318,0.608896,1.727,0.051563,false,true,canonical_only_guard,,
canonical_form_v3_ema20_nb|2026-05-02|la-liga|villarreal|levante|villarreal|15.5|under,2026-05-01T15:55:15Z,2026-05-02T12:00:00Z,2026-05-02|la-liga|villarreal|levante,2026-05-02,la-liga,Villarreal CF vs Levante UD,Villarreal CF,Levante UD,Villarreal CF,Bet365,Villarreal CF under 15.5,15.5,under,canonical_form_v3_ema20_nb,1.587352,0.62998,1.833,0.154753,true,false,,,
canonical_form_v3_ema20_nb|2026-05-02|serie-a|udinese|torino|torino|10.5|over,2026-05-01T15:55:14Z,2026-05-02T13:00:00Z,2026-05-02|serie-a|udinese|torino,2026-05-02,serie-a,Udinese Calcio vs Torino FC,Udinese Calcio,Torino FC,Torino FC,Bet365,Torino FC over 10.5,10.5,over,canonical_form_v3_ema20_nb,1.713831,0.583488,1.909,0.113879,true,false,,,
canonical_form_v3_ema20_nb|2026-05-02|bundesliga|bayern munich|heidenheim|heidenheim|9.5|over,2026-05-01T15:55:16Z,2026-05-02T13:30:00Z,2026-05-02|bundesliga|bayern munich|heidenheim,2026-05-02,bundesliga,Bayern Munich vs 1. FC Heidenheim,Bayern Munich,1. FC Heidenheim,1. FC Heidenheim,Bet365,1. FC Heidenheim over 9.5,9.5,over,canonical_form_v3_ema20_nb,1.408859,0.709794,1.727,0.225814,true,false,,,
canonical_form_v3_ema20_nb|2026-05-02|bundesliga|werder bremen|augsburg|augsburg|10.5|over,2026-05-01T15:55:16Z,2026-05-02T13:30:00Z,2026-05-02|bundesliga|werder bremen|augsburg,2026-05-02,bundesliga,Werder Bremen vs FC Augsburg,Werder Bremen,FC Augsburg,FC Augsburg,Bet365,FC Augsburg over 10.5,10.5,over,canonical_form_v3_ema20_nb,1.429414,0.699588,1.727,0.208188,true,false,,,
canonical_form_v3_ema20_nb|2026-05-02|bundesliga|werder bremen|augsburg|augsburg|11.5|over,2026-04-30T20:43:38Z,2026-05-02T13:30:00Z,2026-05-02|bundesliga|werder bremen|augsburg,2026-05-02,bundesliga,Werder Bremen vs FC Augsburg,Werder Bremen,FC Augsburg,FC Augsburg,Bet365,FC Augsburg over 11.5,11.5,over,canonical_form_v3_ema20_nb,1.600932,0.624636,1.8,0.124345,false,true,canonical_only_guard,,
canonical_form_v3_ema20_nb|2026-05-02|serie-a|como|napoli|como|12.5|over,2026-05-01T15:55:14Z,2026-05-02T16:00:00Z,2026-05-02|serie-a|como|napoli,2026-05-02,serie-a,Como 1907 vs SSC Napoli,Como 1907,SSC Napoli,Como 1907,Bet365,Como 1907 over 12.5,12.5,over,canonical_form_v3_ema20_nb,1.620422,0.617123,1.8,0.110822,true,false,,,
