league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
serie-a,2020-2021,19/09/2020,Fiorentina,Torino,1,0,17,6,8,3,4,1,17,20,3,1,0,0,H,0,0,D,1.83,3.75,4.2,1.91,3.7,3.9,1.9,3.45,4.1,1.8,2,1.91,2.02,1.8,4,4,1.85,3.75,4.1,1.9,3.5,4.1,1.72,2.1,1.86,2.07
serie-a,2020-2021,19/09/2020,Verona,Roma,0,0,9,15,7,7,0,6,19,20,2,0,0,0,D,0,0,D,3.75,3.5,1.95,3.6,3.5,2,3.85,3.45,1.95,1.8,2,1.94,1.99,4.33,4,1.75,4.5,3.9,1.75,4.4,3.7,1.75,1.72,2.1,1.89,2.04
serie-a,2020-2021,20/09/2020,Parma,Napoli,0,2,4,12,2,7,4,2,16,12,4,1,0,0,A,0,0,D,5.25,4.2,1.61,5,4.1,1.65,5,3.95,1.65,1.61,2.3,1.75,2.05,6.5,4.75,1.44,6.25,4.4,1.5,6.75,4.2,1.5,1.72,2.1,2.05,1.75
serie-a,2020-2021,20/09/2020,Genoa,Crotone,4,1,10,11,8,5,6,4,13,14,4,2,0,0,H,3,1,H,1.9,3.6,4,1.91,3.6,4,1.95,3.4,4,1.9,1.9,1.94,1.99,2.37,3.4,3,2.35,3.3,3.1,2.5,3,3,2,1.8,2.13,1.81
serie-a,2020-2021,20/09/2020,Sassuolo,Cagliari,1,1,21,8,10,4,7,3,9,18,1,3,0,0,D,0,0,D,1.95,3.75,3.75,1.95,3.9,3.6,1.97,3.6,3.6,1.57,2.37,1.98,1.95,1.65,4.33,4.5,1.7,4.2,4.5,1.7,3.85,4.8,1.66,2.2,1.84,2.09
serie-a,2020-2021,20/09/2020,Juventus,Sampdoria,3,0,14,10,9,2,6,4,15,9,1,1,0,0,H,1,0,H,1.28,5.5,10.5,1.28,6,10,1.3,6.25,9.5,1.57,2.37,1.89,2.01,1.44,4.33,7.5,1.4,4.75,8.25,1.37,4.8,9,1.93,1.97,1.72,2.07
serie-a,2020-2021,21/09/2020,Milan,Bologna,2,0,14,6,6,5,7,4,13,17,3,5,0,1,H,1,0,H,1.57,4.33,5.5,1.57,4.25,5.5,1.6,4.1,5.5,1.57,2.37,1.96,1.94,1.44,4.75,6.5,1.48,4.5,6.5,1.5,4.4,6.5,1.53,2.5,2.1,1.83
serie-a,2020-2021,26/09/2020,Torino,Atalanta,2,4,5,12,5,7,2,6,11,12,1,2,0,0,A,2,3,A,4.75,4.4,1.61,4.6,4.25,1.67,4.9,4,1.65,1.57,2.37,2.08,1.85,4.75,4.5,1.6,5,4.1,1.65,4.9,4,1.65,1.53,2.5,1.77,2.02
serie-a,2020-2021,26/09/2020,Cagliari,Lazio,0,2,9,9,3,7,3,6,8,13,1,1,0,0,A,0,1,A,5,4,1.66,4.75,4,1.7,4.9,3.85,1.7,1.66,2.2,2.05,1.88,5.5,4.33,1.55,6,4.2,1.55,6,4,1.57,1.72,2.1,1.9,2.03
serie-a,2020-2021,26/09/2020,Sampdoria,Benevento,2,3,5,11,4,6,6,4,17,12,3,1,0,0,A,2,1,H,2,3.6,3.6,2,3.6,3.7,2.05,3.35,3.65,1.8,2,2.04,1.89,1.72,3.8,4.75,1.75,3.9,4.6,1.73,3.6,4.9,1.9,1.9,1.98,1.95
