league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2019-2020,09/08/2019,Liverpool,Norwich,4,1,15,12,7,5,11,2,9,9,0,2,0,0,H,4,0,H,M Oliver,1.14,10,19,1.14,8.25,18.5,1.15,8,18,1.4,3,1.96,1.94,1.14,9.5,21,1.14,9,20,1.15,8,18,1.3,3.5,1.91,1.99
epl,2019-2020,10/08/2019,West Ham,Man City,0,5,5,14,3,9,1,1,6,13,2,2,0,0,A,0,1,A,M Dean,12,6.5,1.22,11.5,5.75,1.26,11,6.1,1.25,1.44,2.75,2,1.9,12,7,1.25,11,6,1.26,11,6.1,1.25,1.4,3,1.95,1.95
epl,2019-2020,10/08/2019,Bournemouth,Sheffield United,1,1,13,8,3,3,3,4,10,19,2,1,0,0,D,0,0,D,K Friend,1.95,3.6,3.6,1.95,3.6,3.9,1.97,3.55,3.8,1.9,1.9,2.01,1.89,1.95,3.7,4.2,1.95,3.6,3.9,1.97,3.55,3.85,1.9,1.9,1.95,1.95
epl,2019-2020,10/08/2019,Burnley,Southampton,3,0,10,11,4,3,2,7,6,12,0,0,0,0,H,0,0,D,G Scott,2.62,3.2,2.75,2.65,3.2,2.75,2.65,3.2,2.75,2.1,1.72,1.92,1.98,2.7,3.25,2.9,2.65,3.1,2.85,2.6,3.2,2.85,2.1,1.72,1.87,2.03
epl,2019-2020,10/08/2019,Crystal Palace,Everton,0,0,6,10,2,3,6,2,16,14,2,1,0,1,D,0,0,D,J Moss,3,3.25,2.37,3.2,3.2,2.35,3.1,3.2,2.4,2.2,1.66,1.85,2.05,3.4,3.5,2.25,3.3,3.3,2.25,3.4,3.3,2.2,2.2,1.66,1.82,2.08
epl,2019-2020,10/08/2019,Watford,Brighton,0,3,11,5,3,3,5,2,15,11,0,1,0,0,A,0,1,A,C Pawson,1.9,3.4,4,1.9,3.4,4.33,1.93,3.4,4.25,2.1,1.72,1.95,1.95,2.1,3.25,4.2,2.1,3.1,4,2.05,3.2,4,2.1,1.72,2.04,1.86
epl,2019-2020,10/08/2019,Tottenham,Aston Villa,3,1,31,7,7,4,14,0,13,9,1,0,0,0,H,0,1,A,C Kavanagh,1.3,5.25,10,1.3,5.5,10,1.3,5.5,9.6,1.66,2.2,1.97,1.93,1.36,5.5,9,1.35,5,9,1.3,5.5,9.6,1.57,2.37,2.1,1.7
epl,2019-2020,11/08/2019,Leicester,Wolves,0,0,15,8,1,2,12,3,3,13,0,2,0,0,D,0,0,D,A Marriner,2.2,3.2,3.4,2.25,3.3,3.3,2.2,3.25,3.45,2.2,1.66,1.9,2,2.4,3.25,3.3,2.35,3.2,3.3,2.35,3.15,3.2,2.3,1.61,2.07,1.83
epl,2019-2020,11/08/2019,Newcastle,Arsenal,0,1,9,8,2,2,5,3,12,7,1,3,0,0,A,0,0,D,M Atkinson,4.5,3.75,1.72,4.5,3.75,1.78,4.4,3.85,1.77,1.8,2,1.85,2.05,3.4,3.6,2.2,3.3,3.5,2.2,3.25,3.5,2.2,1.8,2,1.99,1.91
epl,2019-2020,11/08/2019,Man United,Chelsea,4,0,11,18,5,7,3,5,15,13,3,4,0,0,H,1,0,H,A Taylor,2.1,3.3,3.5,2.15,3.3,3.5,2.15,3.35,3.4,2,1.8,1.9,2,2.05,3.5,4,2.1,3.3,3.8,2.05,3.3,3.85,2,1.8,2.02,1.88
epl,2019-2020,17/08/2019,Arsenal,Burnley,2,1,16,18,9,5,10,7,13,11,2,1,0,0,H,1,1,D,M Dean,1.3,5.5,10,1.3,5.5,10,1.3,5.6,9.5,1.57,2.37,2.02,1.91,1.33,5.25,9,1.33,5.5,9.25,1.3,5.6,9.5,1.61,2.3,2.11,1.82
epl,2019-2020,17/08/2019,Aston Villa,Bournemouth,1,2,22,12,7,4,10,5,10,13,0,2,0,0,A,0,2,A,M Atkinson,2.3,3.4,3.1,2.25,3.5,3.1,2.3,3.45,3.05,1.8,2,2.02,1.91,2.2,3.6,3.1,2.25,3.6,3.1,2.25,3.6,3.05,1.61,2.3,2.01,1.92
epl,2019-2020,17/08/2019,Brighton,West Ham,1,1,16,8,4,3,8,6,11,10,0,2,0,0,D,0,0,D,A Taylor,2.55,3.25,2.87,2.5,3.3,2.9,2.5,3.3,2.85,1.9,1.9,2.07,1.72,2.2,3.4,3.3,2.25,3.3,3.4,2.2,3.4,3.3,1.9,1.9,1.91,2.02
epl,2019-2020,17/08/2019,Everton,Watford,1,0,12,8,2,2,4,7,11,11,2,3,0,0,H,1,0,H,L Mason,1.72,3.8,4.75,1.67,4,5,1.7,3.9,4.65,1.72,2.1,1.97,1.96,1.8,3.6,4.5,1.83,3.75,4.5,1.83,3.65,4.35,1.72,2.1,2.11,1.82
epl,2019-2020,17/08/2019,Norwich,Newcastle,3,1,15,10,8,3,7,5,9,11,1,3,0,0,H,1,0,H,S Attwell,2.25,3.3,3.3,2.25,3.3,3.3,2.2,3.35,3.35,1.9,1.9,1.93,2,2.1,3.4,3.5,2.15,3.4,3.5,2.15,3.35,3.5,1.9,1.9,1.84,2.09
epl,2019-2020,17/08/2019,Southampton,Liverpool,1,2,14,15,3,6,5,9,10,6,2,1,0,0,A,0,1,A,A Marriner,6.5,4.75,1.44,6.25,4.75,1.48,7.5,4.8,1.4,1.66,2.2,1.86,2.07,6.5,4.5,1.45,6.5,4.5,1.5,7,4.5,1.45,1.61,2.3,2.07,1.86
epl,2019-2020,17/08/2019,Man City,Tottenham,2,2,30,3,10,2,13,2,14,4,1,0,0,0,D,2,1,H,M Oliver,1.36,5.25,8,1.35,5.5,7.75,1.35,5.3,8,1.53,2.5,2.03,1.9,1.33,5.5,8,1.36,5.5,8.25,1.35,5.3,8,1.5,2.62,2.05,1.88
epl,2019-2020,18/08/2019,Sheffield United,Crystal Palace,1,0,15,6,3,4,8,4,16,11,3,1,0,0,H,0,0,D,D Coote,2.55,3.1,2.9,2.55,3.2,2.9,2.55,3.1,2.95,2.3,1.61,2.15,1.67,2.45,3.3,2.9,2.5,3.25,3,2.45,3.15,3,2.1,1.72,2.02,1.77
epl,2019-2020,18/08/2019,Chelsea,Leicester,1,1,14,12,5,3,4,5,9,14,1,0,0,0,D,1,0,H,O Langford,1.7,3.75,5,1.72,3.7,5,1.73,3.75,4.9,1.9,1.9,1.97,1.96,1.7,3.75,5,1.72,3.8,5,1.7,3.8,5,1.8,2,1.93,1.97
epl,2019-2020,19/08/2019,Wolves,Man United,1,1,6,9,2,2,4,6,17,8,2,2,0,0,D,0,1,A,J Moss,3.3,3.3,2.25,3.3,3.25,2.3,3.25,3.3,2.25,2.1,1.72,1.93,2,2.87,3.3,2.45,3,3.3,2.45,3.1,3.3,2.35,2.1,1.72,1.75,2.2
epl,2019-2020,23/08/2019,Aston Villa,Everton,2,0,7,12,3,1,0,6,10,18,2,3,0,0,H,1,0,H,M Oliver,3.25,3.5,2.15,3.1,3.5,2.25,3.1,3.5,2.25,1.72,2.1,1.93,2,3,3.4,2.37,3,3.4,2.4,2.9,3.4,2.4,1.8,2,1.86,2.07
epl,2019-2020,24/08/2019,Norwich,Chelsea,2,3,6,23,5,8,1,8,9,9,1,1,0,0,A,2,2,D,M Atkinson,4.33,3.75,1.8,4.33,3.8,1.8,4.05,3.95,1.8,1.53,2.5,1.86,2.07,4.33,3.75,1.8,4.2,3.9,1.8,4.2,3.8,1.8,1.57,2.37,1.97,1.82
epl,2019-2020,24/08/2019,Brighton,Southampton,0,2,12,12,3,4,8,5,9,10,1,3,1,0,A,0,0,D,K Friend,2.4,3.3,3,2.4,3.2,3.1,2.4,3.25,3.05,2.1,1.72,2.08,1.85,2.3,3.25,3.3,2.4,3.3,3.1,2.25,3.3,3.25,2,1.8,2.02,1.91
epl,2019-2020,24/08/2019,Man United,Crystal Palace,1,2,22,5,3,3,8,1,8,18,2,4,0,0,A,0,1,A,P Tierney,1.33,5.25,9,1.36,5,8.5,1.36,4.95,8.6,1.72,2.1,2.05,1.75,1.33,5.25,9,1.35,5.25,9,1.3,5.5,9.6,1.61,2.3,2.02,1.91
epl,2019-2020,24/08/2019,Sheffield United,Leicester,1,2,8,10,3,2,7,4,11,6,1,0,0,0,A,0,1,A,A Madley,3.3,3.3,2.25,3.5,3.2,2.2,3.4,3.15,2.25,2.3,1.61,1.99,1.94,3.25,3.3,2.25,3.3,3.3,2.3,3.2,3.2,2.35,2.2,1.66,1.84,2.09
epl,2019-2020,24/08/2019,Watford,West Ham,1,3,23,16,3,10,8,7,12,11,1,1,0,0,A,1,1,D,C Kavanagh,2.05,3.5,3.5,2.1,3.6,3.4,2.1,3.6,3.4,1.72,2.1,1.77,2.02,2.15,3.5,3.3,2.2,3.5,3.3,2.2,3.45,3.25,1.66,2.2,1.97,1.96
epl,2019-2020,24/08/2019,Liverpool,Arsenal,3,1,25,9,5,3,6,4,8,5,1,1,0,0,H,1,0,H,A Taylor,1.5,4.6,6,1.48,4.75,6,1.5,4.7,5.7,1.44,2.75,2.03,1.87,1.45,5,6,1.45,5,6.5,1.5,4.7,5.7,1.36,3.2,1.96,1.94
epl,2019-2020,25/08/2019,Bournemouth,Man City,1,3,10,19,7,5,4,5,7,13,1,3,0,0,A,1,2,A,A Marriner,15,7.5,1.16,13.5,7,1.2,15,6.5,1.2,1.36,3.2,2.06,1.87,17,7.5,1.16,16.5,8,1.17,15,7.5,1.17,1.3,3.5,1.92,2.01
epl,2019-2020,25/08/2019,Tottenham,Newcastle,0,1,17,8,2,3,6,6,10,5,2,2,0,0,A,0,1,A,M Dean,1.2,6.5,14,1.22,6.5,13.5,1.22,6.2,13.5,1.53,2.5,1.98,1.95,1.25,6,11,1.28,6,11,1.25,6.1,11,1.57,2.37,1.93,2
epl,2019-2020,25/08/2019,Wolves,Burnley,1,1,17,13,2,4,4,3,9,11,0,2,0,0,D,0,1,A,C Pawson,1.85,3.4,4.5,1.83,3.5,4.6,1.85,3.4,4.7,2.3,1.61,1.86,2.07,1.75,3.4,5.25,1.8,3.4,5.25,1.75,3.6,5,2.2,1.66,2.05,1.88
epl,2019-2020,31/08/2019,Southampton,Man United,1,1,10,21,2,8,2,3,17,7,1,2,1,0,D,0,1,A,M Dean,3.8,3.3,2.05,3.7,3.4,2.05,3.65,3.35,2.1,1.9,1.9,2.05,1.75,4,3.5,1.9,4,3.6,1.95,3.9,3.5,1.95,1.9,1.9,1.94,1.99
