league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
ligue-1,2018-2019,10/08/2018,Marseille,Toulouse,4,0,23,5,10,1,5,1,7,20,1,3,0,0,H,1,0,H,1.4,4.5,8,1.4,4.5,8.75,1.45,4,7
ligue-1,2018-2019,11/08/2018,Angers,Nimes,3,4,21,14,7,5,5,1,20,12,2,2,0,1,A,1,1,D,2.3,3.2,3.3,2.3,3.1,3.4,2.2,3.2,3.2
ligue-1,2018-2019,11/08/2018,Lille,Rennes,3,1,15,8,6,2,2,6,12,13,1,0,0,0,H,1,1,D,2.5,3.1,3.1,2.55,3.1,2.95,2.4,3.15,2.9
ligue-1,2018-2019,11/08/2018,Montpellier,Dijon,1,2,16,9,7,4,4,2,15,21,2,2,0,0,A,1,0,H,1.72,3.5,5.5,1.7,3.6,5.5,1.75,3.4,4.65
ligue-1,2018-2019,11/08/2018,Nantes,Monaco,1,3,16,11,4,6,7,2,8,15,1,0,0,0,A,0,0,D,3.2,3.25,2.3,3.1,3.25,2.4,3.1,3.1,2.3
ligue-1,2018-2019,11/08/2018,Nice,Reims,0,1,19,5,1,3,10,2,13,14,1,2,0,0,A,0,1,A,1.85,3.5,4.5,1.83,3.5,4.5,1.85,3.4,4.1
ligue-1,2018-2019,11/08/2018,St Etienne,Guingamp,2,1,11,11,6,5,6,9,14,11,3,1,0,0,H,1,0,H,1.8,3.5,4.75,1.85,3.4,4.6,1.8,3.4,4.35
ligue-1,2018-2019,12/08/2018,Bordeaux,Strasbourg,0,2,5,17,2,6,3,10,6,12,1,0,1,0,A,0,0,D,1.7,3.6,5,1.7,3.8,5,1.75,3.4,4.65
ligue-1,2018-2019,12/08/2018,Lyon,Amiens,2,0,15,10,7,1,10,1,9,17,0,2,0,0,H,1,0,H,1.2,7,13,1.22,6.75,12,1.25,5.5,10
ligue-1,2018-2019,12/08/2018,Paris SG,Caen,3,0,11,5,8,1,6,3,13,7,1,0,0,0,H,2,0,H,1.08,12,23,1.11,9.75,23,1.12,8.5,16
ligue-1,2018-2019,17/08/2018,Reims,Lyon,1,0,7,19,2,5,0,4,11,10,2,0,0,0,H,1,0,H,4.75,4,1.7,5,3.8,1.7,4.9,3.8,1.7
ligue-1,2018-2019,18/08/2018,Amiens,Montpellier,1,2,11,7,2,3,6,2,15,15,1,3,0,0,A,0,0,D,3.2,3,2.5,3.1,2.95,2.55,2.85,3.1,2.6
ligue-1,2018-2019,18/08/2018,Caen,Nice,1,1,13,16,4,5,5,10,22,11,2,2,0,0,D,0,0,D,2.75,3.1,2.75,2.75,3.1,2.75,2.5,3.1,3
ligue-1,2018-2019,18/08/2018,Dijon,Nantes,2,0,14,7,7,0,3,4,18,13,0,1,0,1,H,1,0,H,2.6,3.25,2.8,2.65,3.1,2.85,2.7,3.15,2.7
ligue-1,2018-2019,18/08/2018,Guingamp,Paris SG,1,3,11,17,3,7,4,7,15,16,0,1,0,0,A,1,0,H,13,7,1.2,12.5,6.5,1.22,13,6.5,1.22
ligue-1,2018-2019,18/08/2018,Monaco,Lille,0,0,10,13,1,4,8,4,10,14,0,0,0,0,D,0,0,D,1.5,4.33,6.5,1.53,4.33,6,1.45,4.4,7.2
ligue-1,2018-2019,18/08/2018,Rennes,Angers,1,0,5,7,2,0,3,0,8,11,1,2,0,0,H,0,0,D,1.9,3.3,4.5,1.87,3.4,4.6,1.85,3.4,4.5
ligue-1,2018-2019,19/08/2018,Nimes,Marseille,3,1,14,10,7,5,6,7,11,11,3,1,0,0,H,1,0,H,4.75,3.8,1.72,4.6,3.8,1.75,4.9,3.8,1.7
ligue-1,2018-2019,19/08/2018,Strasbourg,St Etienne,1,1,11,9,5,2,7,2,11,7,1,2,0,1,D,0,0,D,2.6,3.2,2.8,2.7,3.3,2.65,2.85,3.1,2.6
ligue-1,2018-2019,19/08/2018,Toulouse,Bordeaux,2,1,13,15,5,8,1,2,10,11,1,1,0,0,H,1,0,H,2.6,3.1,2.9,2.6,3.1,2.9,2.5,3.1,3
ligue-1,2018-2019,24/08/2018,Lyon,Strasbourg,2,0,22,9,10,1,5,4,13,13,1,2,0,0,H,1,0,H,1.28,5.75,11,1.28,5.75,10.5,1.33,5.3,8.8
ligue-1,2018-2019,25/08/2018,Amiens,Reims,4,1,14,7,8,3,4,2,18,17,1,1,0,1,H,1,0,H,2.6,3.25,2.8,2.7,3,2.85,2.6,3.05,2.9
ligue-1,2018-2019,25/08/2018,Montpellier,St Etienne,0,0,14,9,1,2,6,3,12,14,3,0,0,0,D,0,0,D,2.4,3.1,3.2,2.4,3.1,3.2,2.4,3.15,3.1
ligue-1,2018-2019,25/08/2018,Nantes,Caen,1,1,16,3,3,2,3,1,16,16,2,3,0,1,D,0,1,A,1.95,3.25,4.33,1.95,3.2,4.5,2,3.25,4
ligue-1,2018-2019,25/08/2018,Nice,Dijon,0,4,16,9,3,5,5,3,11,19,2,3,0,0,A,0,0,D,1.9,3.4,4.33,1.87,3.6,4.2,1.9,3.4,4.3
ligue-1,2018-2019,25/08/2018,Paris SG,Angers,3,1,13,11,5,6,9,1,10,2,2,0,0,0,H,1,1,D,1.07,13,26,1.08,11.5,29,1.07,12,27
ligue-1,2018-2019,25/08/2018,Toulouse,Nimes,1,0,10,9,5,0,3,3,17,21,1,3,0,0,H,0,0,D,2.3,3.2,3.3,2.3,3.3,3.2,2.2,3.2,3.5
ligue-1,2018-2019,26/08/2018,Bordeaux,Monaco,2,1,14,15,6,5,5,8,10,14,1,2,0,0,H,0,0,D,3.1,3.3,2.37,2.95,3.25,2.45,2.9,3.3,2.45
ligue-1,2018-2019,26/08/2018,Lille,Guingamp,3,0,13,13,7,4,4,4,13,13,2,1,0,1,H,2,0,H,2,3.4,3.9,1.95,3.6,3.9,2.1,3.3,3.6
ligue-1,2018-2019,26/08/2018,Marseille,Rennes,2,2,8,7,3,2,8,4,16,15,1,1,0,0,D,0,2,A,1.5,4.33,6.5,1.5,4.33,6.5,1.5,4.2,6.7
ligue-1,2018-2019,31/08/2018,Lyon,Nice,0,1,29,8,9,1,10,5,6,14,0,2,0,0,A,0,0,D,1.33,5.25,9.5,1.34,5.25,8.75,1.45,4.4,7.2
ligue-1,2018-2019,01/09/2018,Angers,Lille,1,0,6,17,3,4,4,5,14,8,0,1,1,0,H,0,0,D,2.45,3.25,3,2.5,3.3,2.85,2.5,3.2,2.95
ligue-1,2018-2019,01/09/2018,Dijon,Caen,0,2,15,9,2,4,9,5,11,13,0,3,0,0,A,0,1,A,1.9,3.4,4.33,1.9,3.4,4.33,2,3.3,4
ligue-1,2018-2019,01/09/2018,Guingamp,Toulouse,1,2,23,5,5,4,11,4,12,13,3,2,0,1,A,1,2,A,2.04,3.4,3.75,2.05,3.4,3.75,2.2,3.3,3.4
ligue-1,2018-2019,01/09/2018,Nimes,Paris SG,2,4,14,7,6,5,3,4,12,11,1,3,1,1,A,0,2,A,11,7,1.22,12.5,7.5,1.19,12.5,6.5,1.22
ligue-1,2018-2019,01/09/2018,Reims,Montpellier,0,1,21,9,6,3,5,5,11,11,0,0,0,0,A,0,0,D,2.6,3.1,2.9,2.65,2.95,3,2.6,3.2,2.8
ligue-1,2018-2019,01/09/2018,Strasbourg,Nantes,2,3,10,14,5,5,1,3,12,12,1,2,0,0,A,1,2,A,2.3,3.1,3.4,2.25,3.1,3.5,2.1,3.25,3.7
ligue-1,2018-2019,02/09/2018,Monaco,Marseille,2,3,8,15,4,5,1,5,11,16,1,1,0,0,A,0,1,A,2.8,3.3,2.54,2.7,3.5,2.55,2.6,3.4,2.7
ligue-1,2018-2019,02/09/2018,Rennes,Bordeaux,2,0,16,8,8,1,6,5,12,14,0,3,0,0,H,2,0,H,2.1,3.3,3.75,2.1,3.25,3.7,2.15,3.3,3.5
ligue-1,2018-2019,02/09/2018,St Etienne,Amiens,0,0,19,9,5,2,14,1,11,12,3,2,0,0,D,0,0,D,1.61,3.75,6,1.62,3.75,6,1.65,3.8,5.4
ligue-1,2018-2019,14/09/2018,Nice,Rennes,2,1,13,10,4,3,3,2,10,19,4,1,0,0,H,0,0,D,2.5,3.25,2.8,2.6,3.1,2.95,2.65,3.1,2.85
ligue-1,2018-2019,14/09/2018,Paris SG,St Etienne,4,0,16,11,9,2,7,4,12,13,1,1,0,0,H,1,0,H,1.25,6,11,1.25,6.25,11,1.25,6.1,11
ligue-1,2018-2019,15/09/2018,Amiens,Lille,2,3,8,18,4,9,3,3,12,21,1,2,0,0,A,0,1,A,3.4,3.1,2.3,3.4,3.1,2.3,3.3,3.1,2.35
ligue-1,2018-2019,15/09/2018,Caen,Lyon,2,2,18,17,4,6,2,4,15,13,1,2,2,0,D,0,1,A,5.5,3.75,1.64,5.5,3.8,1.65,5.2,3.8,1.67
ligue-1,2018-2019,15/09/2018,Dijon,Angers,1,3,11,13,3,6,4,6,11,13,2,2,0,0,A,1,3,A,2.14,3.4,3.4,2.15,3.25,3.6,2.1,3.4,3.55
ligue-1,2018-2019,15/09/2018,Montpellier,Strasbourg,1,1,10,7,3,1,5,5,15,14,1,2,0,0,D,0,0,D,1.95,3.4,4.2,1.9,3.3,4.5,1.9,3.35,4.4
ligue-1,2018-2019,15/09/2018,Toulouse,Monaco,1,1,13,12,6,2,6,3,17,17,2,3,0,0,D,0,0,D,3,3.3,2.4,2.8,3.4,2.5,2.85,3.4,2.45
ligue-1,2018-2019,16/09/2018,Bordeaux,Nimes,3,3,15,14,4,5,8,3,12,9,2,0,0,0,D,1,2,A,1.83,3.4,4.5,1.85,3.5,4.5,1.8,3.6,4.45
ligue-1,2018-2019,16/09/2018,Marseille,Guingamp,4,0,17,2,6,0,8,1,7,9,1,1,0,0,H,0,0,D,1.28,5.75,10,1.33,5.5,8.75,1.3,5.7,9.1
ligue-1,2018-2019,16/09/2018,Nantes,Reims,0,0,12,7,6,0,7,7,13,12,3,4,0,0,D,0,0,D,1.9,3.25,4.33,1.95,3.3,4.25,1.93,3.35,4.2
ligue-1,2018-2019,21/09/2018,Monaco,Nimes,1,1,15,9,4,2,5,5,15,15,1,2,0,0,D,1,1,D,1.75,4,4.33,1.75,3.8,4.6,1.6,4,5.5
ligue-1,2018-2019,22/09/2018,Angers,Toulouse,0,0,16,7,4,0,4,4,14,14,1,2,0,0,D,0,0,D,2.14,3.2,3.6,2.2,3.2,3.5,2.15,3.25,3.55
ligue-1,2018-2019,22/09/2018,Lille,Nantes,2,1,11,11,8,4,4,1,15,12,3,4,0,0,H,1,0,H,1.85,3.5,4.5,1.83,3.5,4.6,1.87,3.5,4.35
ligue-1,2018-2019,22/09/2018,Montpellier,Nice,1,0,12,9,5,2,6,5,14,11,3,2,0,0,H,1,0,H,2.2,3,3.75,2.25,3.1,3.5,2.3,3,3.55
ligue-1,2018-2019,22/09/2018,Reims,Dijon,0,0,11,6,2,0,9,3,15,14,1,1,0,0,D,0,0,D,2.04,3.3,3.8,2.2,3.25,3.5,2.1,3.35,3.55
ligue-1,2018-2019,22/09/2018,St Etienne,Caen,2,1,23,9,7,2,9,6,3,20,2,3,0,0,H,0,1,A,1.64,3.5,6.5,1.65,3.6,6,1.67,3.6,5.5
ligue-1,2018-2019,22/09/2018,Strasbourg,Amiens,3,1,13,8,6,3,1,1,16,13,1,4,0,0,H,0,1,A,1.8,3.3,5.25,1.8,3.5,4.75,1.8,3.35,5
ligue-1,2018-2019,23/09/2018,Guingamp,Bordeaux,1,3,18,11,5,6,6,4,14,17,1,4,0,0,A,0,0,D,2.25,3.1,3.5,2.5,3.2,3,2.4,3.2,3.1
ligue-1,2018-2019,23/09/2018,Lyon,Marseille,4,2,17,9,5,3,3,7,7,12,1,2,0,1,H,1,1,D,1.95,3.5,3.8,2.1,3.7,3.25,2,3.8,3.45
ligue-1,2018-2019,23/09/2018,Rennes,Paris SG,1,3,14,15,4,6,9,4,11,17,2,3,0,0,A,1,1,D,7.5,4.5,1.4,8,5.25,1.36,6.8,5,1.42
ligue-1,2018-2019,25/09/2018,Monaco,Angers,0,1,7,6,0,3,5,4,13,12,1,2,0,0,A,0,1,A,1.75,3.8,4.75,1.75,3.7,4.75,1.8,3.5,4.7
ligue-1,2018-2019,25/09/2018,Nantes,Nice,1,2,10,12,3,5,8,8,12,15,1,2,0,0,A,0,1,A,2.4,3.2,3.1,2.4,3.1,3.2,2.3,3.2,3.25
ligue-1,2018-2019,25/09/2018,Toulouse,St Etienne,2,3,20,14,6,8,4,2,13,14,1,2,0,0,A,0,1,A,2.6,3,3,2.45,3.1,3.1,2.6,3.1,2.9
ligue-1,2018-2019,26/09/2018,Amiens,Rennes,2,1,12,15,3,2,9,6,11,18,0,2,0,1,H,0,0,D,3.25,3.1,2.4,3.2,3.2,2.35,3.2,3.15,2.35
ligue-1,2018-2019,26/09/2018,Bordeaux,Lille,1,0,7,15,3,6,3,4,13,19,1,3,0,1,H,1,0,H,2.45,3.2,3,2.5,3.1,3.1,2.45,3.2,3
ligue-1,2018-2019,26/09/2018,Caen,Montpellier,2,2,11,16,3,6,4,6,10,14,2,2,0,1,D,1,1,D,3,3,2.6,2.9,3,2.7,3,3,2.6
ligue-1,2018-2019,26/09/2018,Dijon,Lyon,0,3,30,16,6,5,8,2,12,11,2,2,1,1,A,0,3,A,5.75,4.2,1.57,5.5,4.1,1.6,5.3,3.8,1.67
ligue-1,2018-2019,26/09/2018,Marseille,Strasbourg,3,2,13,9,5,5,3,2,12,13,3,3,1,0,H,2,1,H,1.44,4.5,7.5,1.42,4.75,7.5,1.45,4.5,7
ligue-1,2018-2019,26/09/2018,Nimes,Guingamp,0,0,7,9,2,3,4,3,11,12,3,3,0,0,D,0,0,D,1.95,3.6,3.8,1.95,3.6,3.9,1.93,3.65,3.9
