league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
bundesliga,2018-2019,22/09/2018,Hertha,M'gladbach,4,2,16,17,7,4,8,7,9,13,2,2,0,0,H,2,1,H,2.37,3.3,3.1,2.5,3.3,2.9,2.6,3.3,2.75
bundesliga,2018-2019,22/09/2018,Hoffenheim,Dortmund,1,1,17,8,5,2,4,4,12,10,2,1,0,1,D,1,0,H,2.62,3.75,2.4,2.7,3.5,2.55,2.85,3.5,2.4
bundesliga,2018-2019,22/09/2018,Nurnberg,Hannover,2,0,14,9,6,3,9,3,16,7,3,1,0,1,H,0,0,D,2.5,3.25,2.9,2.45,3.4,2.85,2.5,3.3,2.85
bundesliga,2018-2019,22/09/2018,Schalke 04,Bayern Munich,0,2,10,14,2,7,0,8,12,11,2,1,0,0,A,0,1,A,8,4.5,1.4,8.5,5,1.36,7,4.5,1.45
bundesliga,2018-2019,22/09/2018,Wolfsburg,Freiburg,1,3,17,12,9,8,7,7,12,17,0,3,0,0,A,0,2,A,1.72,3.6,5.25,1.7,3.8,5,1.65,3.9,5.3
bundesliga,2018-2019,23/09/2018,Ein Frankfurt,RB Leipzig,1,1,8,9,5,2,4,2,14,8,1,1,0,0,D,1,0,H,2.9,3.4,2.35,3.1,3.4,2.3,2.9,3.4,2.4
bundesliga,2018-2019,23/09/2018,Leverkusen,Mainz,1,0,18,12,5,5,7,4,12,13,2,2,0,0,H,0,0,D,1.57,4.33,5.5,1.57,4.25,5.5,1.7,3.8,5
bundesliga,2018-2019,25/09/2018,Bayern Munich,Augsburg,1,1,16,12,8,4,8,4,6,15,3,2,0,0,D,0,0,D,1.1,10,23,1.11,9.5,21,1.12,9,20
bundesliga,2018-2019,25/09/2018,Freiburg,Schalke 04,1,0,15,15,4,3,3,3,12,11,2,4,0,0,H,0,0,D,3.5,3.2,2.14,3.4,3.3,2.2,2.95,3.3,2.4
bundesliga,2018-2019,25/09/2018,Hannover,Hoffenheim,1,3,17,17,8,9,8,5,12,13,2,2,0,0,A,0,1,A,3.5,3.6,2.04,3.4,3.75,2.05,3.4,3.5,2.1
bundesliga,2018-2019,25/09/2018,Werder Bremen,Hertha,3,1,14,12,6,2,2,3,13,9,1,3,0,0,H,2,0,H,2,3.5,3.8,2.1,3.5,3.5,2,3.4,3.8
bundesliga,2018-2019,26/09/2018,Dortmund,Nurnberg,7,0,19,4,10,1,4,5,6,10,0,2,0,0,H,2,0,H,1.3,5.5,10,1.3,5.25,11,1.3,5.8,9
bundesliga,2018-2019,26/09/2018,Fortuna Dusseldorf,Leverkusen,1,2,16,6,4,3,7,5,6,12,2,2,0,0,A,0,0,D,3.75,3.75,1.95,3.9,3.7,1.91,3.7,3.5,2
bundesliga,2018-2019,26/09/2018,Mainz,Wolfsburg,0,0,11,12,2,4,5,11,13,15,1,2,0,0,D,0,0,D,2.6,3.25,2.8,2.6,3.4,2.7,2.65,3.4,2.65
bundesliga,2018-2019,26/09/2018,M'gladbach,Ein Frankfurt,3,1,21,12,9,2,9,6,7,11,0,0,0,0,H,0,0,D,1.75,3.8,4.75,1.78,3.75,4.5,1.8,3.7,4.4
bundesliga,2018-2019,26/09/2018,RB Leipzig,Stuttgart,2,0,18,9,8,0,4,2,11,8,2,3,0,0,H,1,0,H,1.72,3.8,4.75,1.72,3.7,5,1.75,3.7,4.7
bundesliga,2018-2019,28/09/2018,Hertha,Bayern Munich,2,0,6,25,4,5,1,14,14,10,3,1,0,0,H,2,0,H,10,5.75,1.28,9.75,5.75,1.3,7.5,4.8,1.4
bundesliga,2018-2019,29/09/2018,Hoffenheim,RB Leipzig,1,2,13,18,6,7,4,8,4,14,1,3,0,0,A,0,0,D,2.04,3.75,3.4,2.1,3.75,3.25,2.1,3.5,3.4
bundesliga,2018-2019,29/09/2018,Leverkusen,Dortmund,2,4,14,16,6,10,6,8,11,12,1,1,0,0,A,2,0,H,2.8,3.5,2.4,2.8,3.5,2.45,2.75,3.5,2.5
bundesliga,2018-2019,29/09/2018,Nurnberg,Fortuna Dusseldorf,3,0,10,13,6,4,4,4,10,9,0,2,0,0,H,1,0,H,2.14,3.4,3.4,2.05,3.4,3.7,2.15,3.4,3.4
bundesliga,2018-2019,29/09/2018,Schalke 04,Mainz,1,0,15,15,2,5,4,5,22,21,2,2,0,0,H,1,0,H,1.64,3.75,5.5,1.65,3.8,5.5,1.75,3.7,4.7
bundesliga,2018-2019,29/09/2018,Stuttgart,Werder Bremen,2,1,18,14,5,3,6,8,15,14,3,4,0,1,H,1,0,H,2.7,3.25,2.7,2.65,3.4,2.65,2.75,3.3,2.6
bundesliga,2018-2019,29/09/2018,Wolfsburg,M'gladbach,2,2,13,10,3,3,6,3,6,14,2,2,0,0,D,1,1,D,2.3,3.4,3.1,2.35,3.4,3,2.4,3.4,2.9
bundesliga,2018-2019,30/09/2018,Augsburg,Freiburg,4,1,21,13,10,6,5,3,12,8,0,1,0,0,H,2,0,H,1.9,3.4,4.33,1.95,3.4,4.1,2,3.4,3.8
bundesliga,2018-2019,30/09/2018,Ein Frankfurt,Hannover,4,1,15,4,7,1,3,4,16,11,1,2,0,0,H,2,0,H,1.9,3.6,4,2,3.5,3.75,2,3.4,3.8
bundesliga,2018-2019,05/10/2018,Werder Bremen,Wolfsburg,2,0,15,10,5,4,7,5,12,13,1,2,0,0,H,1,0,H,1.95,3.5,4,2.05,3.4,3.7,2.1,3.4,3.5
bundesliga,2018-2019,06/10/2018,Bayern Munich,M'gladbach,0,3,14,7,3,3,1,3,7,4,2,2,0,0,A,0,2,A,1.2,7,13,1.22,7,11.5,1.25,6.5,10
bundesliga,2018-2019,06/10/2018,Dortmund,Augsburg,4,3,20,12,8,6,9,6,5,29,1,7,0,0,H,0,1,A,1.44,4.75,7,1.48,4.6,6.5,1.45,4.5,7
bundesliga,2018-2019,06/10/2018,Fortuna Dusseldorf,Schalke 04,0,2,9,15,3,5,4,6,17,15,3,1,0,0,A,0,0,D,3.6,3.4,2.1,3.6,3.5,2.05,3.7,3.5,2
bundesliga,2018-2019,06/10/2018,Hannover,Stuttgart,3,1,15,11,6,5,5,7,16,11,1,2,0,0,H,2,0,H,2.5,3.3,2.87,2.45,3.4,2.85,2.5,3.3,2.85
bundesliga,2018-2019,06/10/2018,Mainz,Hertha,0,0,23,11,3,1,5,6,12,9,0,2,0,0,D,0,0,D,2.7,3.2,2.7,2.8,3.2,2.6,2.65,3.3,2.65
bundesliga,2018-2019,07/10/2018,Freiburg,Leverkusen,0,0,7,14,1,0,3,4,11,12,3,1,0,0,D,0,0,D,3.4,3.4,2.14,3.4,3.4,2.15,3.3,3.4,2.2
bundesliga,2018-2019,07/10/2018,Hoffenheim,Ein Frankfurt,1,2,20,6,4,4,6,0,15,16,2,4,0,1,A,0,1,A,1.72,3.8,4.75,1.72,3.9,4.75,1.75,3.7,4.8
bundesliga,2018-2019,07/10/2018,RB Leipzig,Nurnberg,6,0,18,3,8,0,6,1,11,12,0,1,0,1,H,4,0,H,1.44,4.75,7,1.45,4.75,6.5,1.45,4.8,6.5
bundesliga,2018-2019,19/10/2018,Ein Frankfurt,Fortuna Dusseldorf,7,1,21,10,13,5,5,1,13,12,0,2,0,0,H,3,0,H,1.61,3.8,5.75,1.65,4,5.25,1.75,3.7,4.7
bundesliga,2018-2019,20/10/2018,Augsburg,RB Leipzig,0,0,6,15,0,3,2,2,20,24,2,5,0,0,D,0,0,D,3,3.5,2.3,3.1,3.5,2.25,3.1,3.4,2.3
bundesliga,2018-2019,20/10/2018,Leverkusen,Hannover,2,2,19,9,7,7,9,5,14,18,1,5,0,1,D,1,1,D,1.5,4.33,6.5,1.53,4.4,6,1.57,4.2,5.6
bundesliga,2018-2019,20/10/2018,Nurnberg,Hoffenheim,1,3,7,20,2,12,1,7,8,9,4,2,0,0,A,1,0,H,3.75,3.8,1.9,3.8,3.8,1.91,3.7,3.5,2
bundesliga,2018-2019,20/10/2018,Schalke 04,Werder Bremen,0,2,14,8,4,3,3,1,13,9,1,4,0,0,A,0,1,A,2.04,3.4,3.75,2.05,3.5,3.6,2.1,3.4,3.5
bundesliga,2018-2019,20/10/2018,Stuttgart,Dortmund,0,4,13,12,5,4,10,2,7,5,0,0,0,0,A,0,3,A,4.2,3.75,1.83,4.33,3.8,1.8,4.1,3.7,1.85
bundesliga,2018-2019,20/10/2018,Wolfsburg,Bayern Munich,1,3,8,13,1,11,2,9,9,12,2,4,0,1,A,0,1,A,8.5,5,1.36,8.5,5,1.36,6.5,4.7,1.45
bundesliga,2018-2019,21/10/2018,Hertha,Freiburg,1,1,13,8,5,3,8,3,12,14,2,0,0,0,D,1,1,D,1.85,3.6,4.33,1.87,3.6,4.2,1.9,3.5,4.1
bundesliga,2018-2019,21/10/2018,M'gladbach,Mainz,4,0,16,13,8,4,4,6,4,10,0,2,0,0,H,1,0,H,1.61,4.33,5,1.6,4.2,5.25,1.65,4,5.1
bundesliga,2018-2019,26/10/2018,Freiburg,M'gladbach,3,1,13,11,7,2,3,10,9,12,1,1,0,0,H,1,1,D,3.5,3.6,2,3.4,3.6,2.1,3.4,3.3,2.2
bundesliga,2018-2019,27/10/2018,Dortmund,Hertha,2,2,19,10,5,4,8,2,7,15,2,3,0,0,D,1,1,D,1.4,4.75,8,1.42,4.75,7.25,1.45,4.5,7
bundesliga,2018-2019,27/10/2018,Fortuna Dusseldorf,Wolfsburg,0,3,8,18,1,6,4,9,12,11,3,6,0,0,A,0,1,A,3,3.4,2.37,2.95,3.4,2.4,3.1,3.4,2.3
bundesliga,2018-2019,27/10/2018,Hannover,Augsburg,1,2,17,9,4,4,5,4,15,16,2,3,0,0,A,0,1,A,2.6,3.3,2.75,2.55,3.3,2.8,2.6,3.25,2.75
bundesliga,2018-2019,27/10/2018,Hoffenheim,Stuttgart,4,0,22,6,10,0,6,3,11,9,1,1,0,1,H,0,0,D,1.57,4.33,5.5,1.57,4.6,5,1.65,3.9,5.3
bundesliga,2018-2019,27/10/2018,Mainz,Bayern Munich,1,2,6,21,1,5,2,7,13,6,3,1,0,0,A,0,1,A,11,6.5,1.25,10,6.25,1.26,9.5,5.6,1.3
bundesliga,2018-2019,28/10/2018,Nurnberg,Ein Frankfurt,1,1,10,10,3,2,8,6,11,13,2,3,0,0,D,0,0,D,3.3,3.5,2.14,3.3,3.5,2.15,3.5,3.4,2.1
bundesliga,2018-2019,28/10/2018,RB Leipzig,Schalke 04,0,0,15,6,2,0,7,4,11,13,3,2,0,0,D,0,0,D,1.75,3.6,4.75,1.85,3.5,4.4,2,3.5,3.7
bundesliga,2018-2019,28/10/2018,Werder Bremen,Leverkusen,2,6,14,17,6,10,6,6,9,8,2,2,0,0,A,0,3,A,2.3,3.4,3.1,2.3,3.6,3,2.3,3.4,3.1
