league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2020-2021,12/09/2020,Fulham,Arsenal,0,3,5,13,2,6,2,3,12,12,2,2,0,0,A,0,1,A,C Kavanagh,6,4.33,1.53,5.5,4.25,1.57,6,3.9,1.57,1.72,2.1,1.93,1.97,5,4,1.66,5.5,4,1.62,5.25,3.9,1.67,2,1.8,2.01,1.89
epl,2020-2021,12/09/2020,Crystal Palace,Southampton,1,0,5,9,3,5,7,3,14,11,2,1,0,0,H,1,0,H,J Moss,3.1,3.25,2.37,3,3.2,2.45,3.15,2.95,2.4,2.2,1.66,1.85,2.05,3,3.25,2.4,3,3.3,2.4,3.05,2.9,2.45,2.2,1.66,1.78,2.13
epl,2020-2021,12/09/2020,Liverpool,Leeds,4,3,22,6,6,3,9,0,9,6,1,0,0,0,H,3,2,H,M Oliver,1.28,6,9.5,1.26,6.25,10.5,1.35,5,8.5,1.53,2.5,1.95,1.95,1.25,6,11,1.25,6.25,11,1.3,6,9,1.5,2.62,1.85,2.05
epl,2020-2021,12/09/2020,West Ham,Newcastle,0,2,15,15,3,2,8,7,13,7,2,2,0,0,A,0,0,D,S Attwell,2.15,3.4,3.4,2.15,3.4,3.4,2.15,3.15,3.4,1.9,1.9,2.07,1.72,1.95,3.6,3.75,1.95,3.7,3.75,2.05,3.25,3.75,1.9,1.9,2.03,1.87
epl,2020-2021,13/09/2020,West Brom,Leicester,0,3,7,13,1,7,2,5,12,9,1,1,0,0,A,0,0,D,A Taylor,3.8,3.6,1.95,3.7,3.6,2,3.85,3.2,2,1.9,1.9,1.91,1.99,3.25,3.4,2.2,3.3,3.4,2.2,3.35,3,2.3,2.2,1.66,1.92,1.98
epl,2020-2021,13/09/2020,Tottenham,Everton,0,1,9,15,5,4,5,3,15,7,1,0,0,0,A,0,0,D,M Atkinson,1.83,3.6,4.33,1.85,3.6,4.33,1.95,3.25,4.1,1.9,1.9,1.91,1.99,2,3.4,3.8,2,3.4,3.9,2.05,3.1,3.75,2,1.8,2.09,1.81
epl,2020-2021,14/09/2020,Brighton,Chelsea,1,3,13,10,3,5,4,3,8,13,1,0,0,0,A,0,1,A,C Pawson,5,4.33,1.61,5,4.1,1.65,5,3.7,1.67,1.72,2.1,2.06,1.84,5.75,4.4,1.53,5.75,4.25,1.55,5.5,4.2,1.6,1.72,2.1,1.93,1.97
epl,2020-2021,14/09/2020,Sheffield United,Wolves,0,2,9,11,2,4,12,5,13,7,2,1,0,0,A,0,2,A,M Dean,3.25,3.1,2.37,3.4,3.1,2.3,3.35,2.7,2.45,2.62,1.5,1.86,2.04,3.2,2.9,2.55,3.2,2.9,2.55,3.2,2.6,2.65,3.2,1.36,1.7,2.1
epl,2020-2021,19/09/2020,Everton,West Brom,5,2,17,6,7,4,11,1,9,11,1,0,0,1,H,2,1,H,M Dean,1.5,4.2,6.5,1.55,4.2,6,1.55,4,6,1.87,2.03,1.91,1.99,1.57,4,6,1.57,4,6,1.6,3.8,6.25,1.9,1.9,2.09,1.81
epl,2020-2021,19/09/2020,Leeds,Fulham,4,3,10,14,7,6,5,3,13,18,1,2,0,0,H,2,1,H,A Taylor,1.61,3.9,5.75,1.62,4,5.5,1.65,3.7,5.5,1.97,1.93,1.81,2.09,1.66,3.8,5.25,1.67,4,5,1.75,3.55,4.9,2.01,1.89,1.97,1.93
