league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
la-liga,2016-2017,17/09/16,Ath Madrid,Sp Gijon,5,0,18,10,7,1,1,4,14,9,0,2,0,0,H,3,0,H,1.18,6.5,21,1.2,5.5,17.5,1.22,5.5,12
la-liga,2016-2017,17/09/16,Eibar,Sevilla,1,1,10,8,2,4,4,2,19,10,1,1,2,0,D,0,1,A,3.1,3.3,2.35,2.95,3.3,2.35,2.75,3.3,2.4
la-liga,2016-2017,17/09/16,Las Palmas,Malaga,1,0,6,10,2,2,2,2,11,18,3,1,0,0,H,1,0,H,2.3,3.25,3.3,2.1,3.3,3.4,2.25,3.2,3.1
la-liga,2016-2017,17/09/16,Leganes,Barcelona,1,5,15,10,6,7,2,5,28,7,4,2,0,0,A,0,3,A,17,7,1.18,13.5,6.5,1.19,12.5,6,1.2
la-liga,2016-2017,18/09/16,Ath Bilbao,Valencia,2,1,13,10,4,2,7,1,19,20,4,4,0,0,H,2,1,H,1.85,3.6,4.33,1.85,3.5,4.1,1.8,3.5,4.2
la-liga,2016-2017,18/09/16,Espanol,Real Madrid,0,2,11,13,2,7,4,5,19,8,4,2,0,0,A,0,1,A,7.5,5.5,1.36,8.25,5,1.33,9,5,1.3
la-liga,2016-2017,18/09/16,Osasuna,Celta,0,0,9,13,2,5,3,5,18,13,4,1,0,0,D,0,0,D,2.9,3.1,2.6,2.9,3.1,2.5,2.6,3.2,2.6
la-liga,2016-2017,18/09/16,Villarreal,Sociedad,2,1,9,15,4,2,3,6,13,16,2,3,0,1,H,2,1,H,1.85,3.5,4.5,1.9,3.25,4.25,1.9,3.45,3.8
la-liga,2016-2017,19/09/16,Alaves,La Coruna,0,0,9,16,1,1,4,5,16,8,3,4,0,0,D,0,0,D,2.3,3,3.5,2.2,3.2,3.3,2.2,3.2,3.2
la-liga,2016-2017,20/09/16,Malaga,Eibar,2,1,14,12,6,3,7,5,7,13,2,4,0,0,H,1,1,D,1.85,3.4,4.75,1.8,3.6,4.6,1.75,3.5,5
la-liga,2016-2017,20/09/16,Sevilla,Betis,1,0,12,8,3,3,6,2,24,17,5,4,0,0,H,0,0,D,1.45,4.5,7,1.5,4.1,7,1.5,4.5,6
la-liga,2016-2017,21/09/16,Barcelona,Ath Madrid,1,1,19,9,7,4,8,2,14,17,2,4,0,0,D,1,0,H,1.6,4,5.5,1.62,4,5.5,1.6,4,5.5
la-liga,2016-2017,21/09/16,Celta,Sp Gijon,2,1,16,4,5,1,8,0,16,8,2,3,0,0,H,0,0,D,1.57,4,6,1.57,4,6.25,1.65,3.8,5.3
la-liga,2016-2017,21/09/16,Granada,Ath Bilbao,1,2,13,13,2,8,6,3,8,9,1,0,0,0,A,1,1,D,4.5,3.5,1.85,4,3.6,1.91,3.8,3.4,2
la-liga,2016-2017,21/09/16,Real Madrid,Villarreal,1,1,22,8,6,3,17,3,9,9,4,1,0,0,D,0,1,A,1.2,7,15,1.25,6.5,10.5,1.2,6.5,15
la-liga,2016-2017,21/09/16,Sociedad,Las Palmas,4,1,17,8,7,3,7,4,3,7,1,2,0,1,H,3,0,H,2,3.5,3.75,2.05,3.4,3.7,2,3.3,3.9
la-liga,2016-2017,22/09/16,La Coruna,Leganes,1,2,12,8,5,2,7,1,20,18,0,3,0,0,A,1,0,H,2.15,3.25,3.6,2.15,3.1,3.75,2,3.2,4.1
la-liga,2016-2017,22/09/16,Osasuna,Espanol,1,2,17,10,11,2,7,1,16,14,2,1,0,0,A,0,1,A,2.88,3.2,2.6,2.95,3.2,2.5,2.65,3.3,2.65
la-liga,2016-2017,22/09/16,Valencia,Alaves,2,1,12,8,2,1,7,4,14,13,2,3,0,0,H,1,1,D,1.57,3.75,6,1.55,4,6.5,1.75,3.8,4.5
la-liga,2016-2017,23/09/16,Betis,Malaga,1,0,11,16,4,6,6,5,20,15,4,6,0,0,H,1,0,H,2.6,3.1,2.9,2.55,3.2,2.9,2.55,3.15,2.9
la-liga,2016-2017,24/09/16,Ath Bilbao,Sevilla,3,1,14,5,7,2,4,5,9,9,2,2,0,1,H,1,0,H,2.05,3.4,3.75,2.1,3.3,3.7,2.1,3.4,3.5
la-liga,2016-2017,24/09/16,Eibar,Sociedad,2,0,17,3,3,0,5,3,15,13,4,2,0,1,H,0,0,D,2.45,3.2,3,2.55,3.1,2.95,2.6,3.2,2.8
la-liga,2016-2017,24/09/16,Las Palmas,Real Madrid,2,2,8,27,6,11,0,5,7,19,3,2,0,0,D,1,1,D,8.5,5,1.36,8.75,5.25,1.34,8,5,1.37
la-liga,2016-2017,24/09/16,Sp Gijon,Barcelona,0,5,10,13,3,7,4,3,15,10,1,0,1,0,A,0,2,A,13,6.5,1.22,11.5,5.75,1.26,9.5,5.5,1.3
la-liga,2016-2017,25/09/16,Ath Madrid,La Coruna,1,0,21,8,5,1,10,0,13,19,1,2,0,1,H,0,0,D,1.22,5.5,19,1.19,6.5,17,1.22,6.5,12.5
la-liga,2016-2017,25/09/16,Espanol,Celta,0,2,10,12,2,4,4,7,15,13,2,3,0,0,A,0,0,D,2.25,3.3,3.3,2.35,3.2,3.2,2.2,3.35,3.3
