league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2020-2021,21/08/2020,Bordeaux,Nantes,0,0,5,6,1,1,2,3,10,15,2,3,1,0,D,0,0,D,2.4,3,3.25,2.4,3,3.3,2.5,2.8,3.25,3,1.4,2.1,1.8,2.62,2.87,3.1,2.75,2.9,2.95,2.7,2.8,3,2.75,1.44,1.86,2.04
ligue-1,2020-2021,22/08/2020,Dijon,Angers,0,1,9,12,1,4,3,9,15,8,0,0,0,0,A,0,1,A,2.7,3.1,2.8,2.75,3,2.8,2.75,2.9,2.8,2.37,1.57,1.93,1.97,3.25,3.1,2.35,3.1,3.1,2.45,3.3,2.85,2.45,2.75,1.44,1.86,2.07
ligue-1,2020-2021,22/08/2020,Lille,Rennes,1,1,5,16,1,3,4,2,12,16,0,1,1,1,D,1,0,H,2.3,3.2,3.3,2.3,3.2,3.3,2.3,3,3.35,2.3,1.61,1.97,1.93,1.85,3.4,4.2,1.95,3.3,4.33,1.9,3.2,4.4,2.2,1.66,1.9,2.03
ligue-1,2020-2021,23/08/2020,Monaco,Reims,2,2,22,9,5,3,8,1,8,14,1,3,0,0,D,1,2,A,1.9,3.4,4.33,1.91,3.5,4.2,1.95,3.25,4.2,2.2,1.66,1.93,1.97,1.85,3.4,4.33,1.91,3.5,4.2,1.95,3.2,4.3,2.3,1.61,1.95,1.98
ligue-1,2020-2021,23/08/2020,Lorient,Strasbourg,3,1,10,7,7,1,6,1,17,10,3,2,0,0,H,0,1,A,2.5,3.2,3,2.6,3.2,2.85,2.55,2.95,2.95,2.3,1.61,1.83,2.07,2.4,3.1,3.1,2.5,3.1,3.1,2.5,2.95,3.15,2.5,1.53,2.08,1.85
ligue-1,2020-2021,23/08/2020,Nimes,Brest,4,0,12,10,5,3,4,4,14,17,2,3,0,1,H,2,0,H,2.3,3.2,3.3,2.25,3.3,3.3,2.3,3.15,3.3,2,1.8,1.95,1.95,2.25,3.2,3.4,2.25,3.3,3.3,2.3,3.15,3.2,2,1.8,2.02,1.91
ligue-1,2020-2021,23/08/2020,Nice,Lens,2,1,4,17,2,4,1,7,17,18,2,3,0,0,H,1,1,D,2,3.3,4,1.95,3.5,3.9,2.05,3.2,3.85,2.1,1.72,2.04,1.86,2,3.3,3.9,2.05,3.25,3.9,2,3.15,4,2.2,1.66,2.02,1.91
ligue-1,2020-2021,28/08/2020,Lyon,Dijon,4,1,27,6,12,2,13,2,12,7,3,3,0,0,H,3,1,H,1.28,5.75,9,1.3,5.5,10,1.33,5.25,10,1.66,2.2,1.96,1.94,1.25,5.5,12,1.28,5.75,10.5,1.3,6,9.5,1.57,2.37,2.01,1.89
ligue-1,2020-2021,29/08/2020,Rennes,Montpellier,2,1,16,11,7,3,2,1,18,16,3,2,1,1,H,1,0,H,2,3.3,3.8,2,3.3,4,2.1,3.1,3.95,2.3,1.61,2.05,1.85,1.8,3.5,4.5,1.8,3.5,4.75,1.85,3.3,4.7,2.3,1.61,1.83,2.07
ligue-1,2020-2021,29/08/2020,Strasbourg,Nice,0,2,6,3,0,2,3,1,14,11,2,6,0,0,A,0,1,A,2.2,3.3,3.3,2.25,3.3,3.3,2.3,3.15,3.3,2,1.8,1.95,1.95,2.05,3.5,3.5,2.25,3.4,3.2,2.1,3.2,3.7,2.1,1.72,1.77,2.02
ligue-1,2020-2021,30/08/2020,Reims,Lille,0,1,4,10,0,3,1,2,20,11,4,1,0,0,A,0,1,A,3,3.1,2.45,3.1,3,2.55,3.05,2.85,2.6,2.5,1.53,2.13,1.78,3.1,2.9,2.6,3,3,2.6,3.15,2.75,2.6,2.75,1.44,2.14,1.77
ligue-1,2020-2021,30/08/2020,Angers,Bordeaux,0,2,12,7,2,7,5,7,12,19,1,3,0,0,A,0,2,A,2.25,3.1,3.4,2.25,3.1,3.5,2.3,2.95,3.45,2.5,1.53,1.96,1.94,2.2,3,3.75,2.25,3.1,3.5,2.25,2.9,3.75,2.75,1.44,1.9,2
ligue-1,2020-2021,30/08/2020,Metz,Monaco,0,1,14,3,4,2,10,1,14,20,0,5,0,1,A,0,1,A,3.75,3.4,2,3.75,3.5,2,3.8,3.3,2.05,2,1.8,1.86,2.04,4,3.6,1.9,3.9,3.5,1.95,4,3.45,1.95,1.9,1.9,1.99,1.91
ligue-1,2020-2021,30/08/2020,Nantes,Nimes,2,1,8,17,5,9,4,8,16,9,3,2,2,0,H,2,0,H,1.95,3.2,4.2,1.91,3.3,4.5,2,3.1,4.2,2.3,1.61,1.98,1.92,1.83,3.4,4.75,1.91,3.4,4.33,1.9,3.25,4.5,2.2,1.66,1.91,1.99
ligue-1,2020-2021,30/08/2020,St Etienne,Lorient,2,0,13,6,5,1,2,5,14,23,2,1,0,0,H,1,0,H,2.2,3.2,3.4,2.3,3.2,3.3,2.3,3.05,3.3,2.3,1.61,1.96,1.94,2.3,3.2,3.3,2.3,3.2,3.3,2.3,3.05,3.35,2.2,1.66,1.97,1.93
ligue-1,2020-2021,30/08/2020,Brest,Marseille,2,3,19,7,4,4,10,2,17,13,2,4,0,0,A,1,2,A,3,3.5,2,,,,3.3,3.5,2.15,1.8,2,,,3.5,3.2,2.2,3.5,3.2,2.2,3.5,3.15,2.25,2.37,1.57,1.99,1.91
ligue-1,2020-2021,10/09/2020,Lens,Paris SG,1,0,7,8,3,1,4,2,21,10,2,2,0,0,H,0,0,D,5,4,1.65,5,4,1.65,4.9,3.9,1.7,1.9,1.9,1.99,1.91,4.2,3.8,1.75,4.75,4,1.7,4.8,3.7,1.77,2,1.8,1.82,2.08
ligue-1,2020-2021,11/09/2020,Bordeaux,Lyon,0,0,5,20,0,3,4,5,12,19,2,3,0,0,D,0,0,D,4.5,3.6,1.83,4.5,3.6,1.83,4.3,3.3,1.95,2,1.8,2.03,1.87,4,3.5,1.9,4.2,3.4,1.95,4.1,3.3,2,2,1.8,1.92,1.98
