league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
ligue-1,2014-2015,08/08/14,Reims,Paris SG,2,2,9,16,3,6,1,5,15,16,0,2,0,0,D,2,1,H,9.5,4.5,1.36,8,4.33,1.4,7.5,4.3,1.4
ligue-1,2014-2015,09/08/14,Bastia,Marseille,3,3,13,9,4,4,1,4,25,21,3,1,0,0,D,1,2,A,3.9,3.1,2.05,3.8,3.2,2.15,3.45,3.15,2.1
ligue-1,2014-2015,09/08/14,Evian Thonon Gaillard,Caen,0,3,10,12,2,7,5,6,12,9,1,1,0,0,A,0,3,A,2.38,3.2,3,2.5,3.2,3.1,2.3,3.1,3.1
ligue-1,2014-2015,09/08/14,Guingamp,St Etienne,0,2,6,7,3,2,4,5,9,19,3,4,0,0,A,0,1,A,3.3,3.1,2.3,3.2,3.1,2.5,2.9,3.15,2.4
ligue-1,2014-2015,09/08/14,Lille,Metz,0,0,14,2,3,1,8,3,9,23,0,1,0,0,D,0,0,D,1.5,4.1,6.5,1.57,4.1,6.25,1.45,4,7
ligue-1,2014-2015,09/08/14,Montpellier,Bordeaux,0,1,15,7,3,3,5,1,15,21,2,2,0,0,A,0,1,A,2.3,3.1,3.2,2.5,2.95,3,2.3,3.1,3.1
ligue-1,2014-2015,09/08/14,Nantes,Lens,1,0,14,5,4,2,3,2,8,7,0,1,0,0,H,0,0,D,2,3.25,3.9,2.05,3.2,3.75,2,3.2,3.75
ligue-1,2014-2015,09/08/14,Nice,Toulouse,3,2,22,11,8,3,12,7,10,9,0,1,0,0,H,1,2,A,2.63,3.1,2.75,2.85,2.9,2.9,2.5,3.1,2.8
ligue-1,2014-2015,10/08/14,Lyon,Rennes,2,0,19,7,6,1,5,1,19,13,2,1,0,0,H,0,0,D,1.8,3.4,4.75,1.85,3.25,4.5,1.8,3.4,4.35
ligue-1,2014-2015,10/08/14,Monaco,Lorient,1,2,12,9,7,3,10,4,11,19,3,2,1,0,A,0,1,A,1.4,4.33,8.5,1.4,4.33,8,1.4,4.3,7.5
ligue-1,2014-2015,15/08/14,Caen,Lille,0,1,11,8,3,1,3,9,10,4,2,2,1,0,A,0,0,D,3.6,3.1,2.15,3.5,3.1,2.15,2.9,3.15,2.4
