league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
serie-a,2016-2017,20/08/16,Juventus,Fiorentina,2,1,19,4,4,1,3,1,11,16,1,3,0,0,H,1,0,H,1.5,4.2,7,1.48,4,7.75,1.5,4,6.1
serie-a,2016-2017,20/08/16,Roma,Udinese,4,0,25,11,9,1,10,5,8,14,0,2,0,0,H,0,0,D,1.44,4.5,7.5,1.42,4.6,8,1.45,4,7
serie-a,2016-2017,21/08/16,Atalanta,Lazio,3,4,19,11,6,6,7,2,5,16,2,2,0,0,A,0,3,A,3.1,3.25,2.4,3,3.2,2.45,2.85,3.2,2.4
serie-a,2016-2017,21/08/16,Bologna,Crotone,1,0,20,5,6,0,5,3,7,17,1,1,0,0,H,0,0,D,1.85,3.5,5,1.85,3.3,4.75,1.9,3.3,4
serie-a,2016-2017,21/08/16,Chievo,Inter,2,0,12,13,4,3,4,8,15,13,2,4,0,0,H,0,0,D,3.75,3.3,2.1,3.8,3.3,2.05,3.3,3.3,2.1
serie-a,2016-2017,21/08/16,Empoli,Sampdoria,0,1,8,15,3,5,2,5,17,32,3,4,1,0,A,0,1,A,2.3,3.2,3.3,2.3,3.2,3.3,2.4,3.1,2.95
serie-a,2016-2017,21/08/16,Genoa,Cagliari,3,1,22,4,6,3,6,1,13,10,4,3,0,0,H,0,0,D,2.05,3.3,3.8,2,3.4,3.9,2,3.3,3.6
serie-a,2016-2017,21/08/16,Milan,Torino,3,2,11,20,5,4,10,10,13,20,0,3,1,0,H,1,0,H,1.85,3.5,4.33,1.85,3.5,4.5,1.85,3.3,4.3
serie-a,2016-2017,21/08/16,Palermo,Sassuolo,0,1,7,22,2,8,4,8,19,15,1,2,1,0,A,0,1,A,3,3.2,2.5,2.95,3.1,2.55,2.7,3.1,2.6
serie-a,2016-2017,21/08/16,Pescara,Napoli,2,2,9,22,3,4,3,9,10,12,3,2,0,0,D,2,0,H,7.5,4.5,1.44,7.5,4.5,1.44,7,4,1.45
serie-a,2016-2017,27/08/16,Lazio,Juventus,0,1,6,13,1,5,4,2,16,5,1,2,0,0,A,0,0,D,4.75,3.5,1.8,4.6,3.5,1.75,4.2,3.5,1.8
serie-a,2016-2017,27/08/16,Napoli,Milan,4,2,17,12,8,3,9,4,13,15,5,4,0,2,H,2,0,H,1.67,4,5,1.65,3.8,5,1.65,3.6,5.1
serie-a,2016-2017,28/08/16,Cagliari,Roma,2,2,17,21,5,7,4,3,21,9,3,1,0,0,D,0,1,A,4.75,3.75,1.7,4.4,3.4,1.83,3.8,3.45,1.9
serie-a,2016-2017,28/08/16,Crotone,Genoa,1,3,11,18,3,8,1,6,16,17,2,2,0,0,A,1,0,H,4,3.4,1.91,4.4,3.1,1.91,3.6,3.3,2
