league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
serie-a,2018-2019,16/09/2018,Cagliari,Milan,1,1,7,12,3,7,3,8,12,13,1,1,0,0,D,1,0,H,5,3.6,1.75,4.5,3.7,1.8,4.75,3.65,1.77
serie-a,2018-2019,16/09/2018,Empoli,Lazio,0,1,10,16,3,9,4,7,13,11,2,3,0,0,A,0,0,D,5,3.8,1.7,4.75,3.9,1.72,4.55,3.95,1.73
serie-a,2018-2019,16/09/2018,Genoa,Bologna,1,0,10,8,5,2,5,3,13,19,2,5,0,1,H,0,0,D,1.9,3.25,4.5,1.95,3.2,4.4,2,3.3,4
serie-a,2018-2019,16/09/2018,Juventus,Sassuolo,2,1,16,10,6,6,10,4,12,13,3,3,1,0,H,0,0,D,1.2,7,13,1.2,7,13,1.2,6.5,15
serie-a,2018-2019,16/09/2018,Roma,Chievo,2,2,15,10,9,5,9,2,10,15,1,1,0,0,D,2,0,H,1.22,6.5,13,1.22,6.75,12,1.25,6.1,11
serie-a,2018-2019,16/09/2018,Udinese,Torino,1,1,7,9,3,4,3,8,16,14,2,2,0,0,D,1,0,H,2.9,3.25,2.5,2.85,3.3,2.5,2.85,3.3,2.5
serie-a,2018-2019,17/09/2018,Spal,Atalanta,2,0,13,13,6,4,4,4,14,16,3,5,0,0,H,0,0,D,4,3.5,1.95,4,3.5,1.95,4.1,3.5,1.9
serie-a,2018-2019,19/09/2018,Sampdoria,Fiorentina,1,1,8,14,4,9,4,6,14,15,3,2,0,0,D,0,1,A,2.87,3.25,2.54,2.7,3.3,2.5,2.8,3.4,2.5
serie-a,2018-2019,21/09/2018,Sassuolo,Empoli,3,1,20,16,10,11,5,4,15,9,1,4,0,1,H,1,1,D,2.1,3.3,3.6,2.05,3.4,3.7,2.1,3.35,3.55
serie-a,2018-2019,22/09/2018,Fiorentina,Spal,3,0,15,5,5,2,11,1,8,11,1,2,0,0,H,2,0,H,1.61,3.6,6.5,1.57,3.9,6.25,1.63,3.85,5.7
serie-a,2018-2019,22/09/2018,Parma,Cagliari,2,0,14,9,8,3,4,11,17,5,2,1,0,0,H,1,0,H,2.4,3.2,3.1,2.4,3.1,3.2,2.35,3.2,3.15
serie-a,2018-2019,22/09/2018,Sampdoria,Inter,0,1,9,14,4,5,3,12,12,14,3,2,0,0,A,0,0,D,4.33,3.8,1.8,4.2,3.7,1.85,4.2,3.8,1.83
serie-a,2018-2019,23/09/2018,Bologna,Roma,2,0,7,20,2,9,1,10,8,13,2,4,0,0,H,1,0,H,5.5,3.75,1.66,5.5,3.75,1.67,5,3.85,1.7
