league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
la-liga,2025-2026,29/08/2025,Elche,Levante,2,0,16,11,5,1,4,2,14,17,1,2,0,0,H,0,0,D,2.15,3.25,3.5,2.2,3.2,3.5,2.3,1.62,1.88,1.98,2.15,3.25,3.6,2.15,3.25,3.5,2.3,1.62,1.83,2.03
la-liga,2025-2026,29/08/2025,Valencia,Getafe,3,0,7,11,4,1,8,6,18,7,2,0,0,0,H,1,0,H,2.3,2.9,3.6,2.25,2.95,3.6,3,1.4,1.93,1.93,2.35,2.88,3.6,2.3,2.95,3.5,3,1.4,1.98,1.88
la-liga,2025-2026,30/08/2025,Alaves,Ath Madrid,1,1,5,15,2,6,1,6,10,17,2,3,0,0,D,1,1,D,4.75,3.5,1.8,4.6,3.6,1.78,2.2,1.67,1.78,2.03,5.5,3.5,1.7,5.25,3.5,1.72,2.38,1.57,1.87,1.87
la-liga,2025-2026,30/08/2025,Oviedo,Sociedad,1,0,8,18,1,6,1,10,7,18,2,1,0,0,H,1,0,H,3.5,3.1,2.25,3.5,3.2,2.2,2.5,1.53,1.93,1.93,3.3,3.1,2.3,3.4,3.1,2.25,2.3,1.62,1.88,1.98
la-liga,2025-2026,30/08/2025,Girona,Sevilla,0,2,20,13,5,4,11,3,5,14,0,2,0,0,A,0,1,A,2.4,3.3,3,2.45,3.3,2.87,2.05,1.8,1.73,2.08,2.45,3.1,3.1,2.4,3.2,3,2.2,1.67,2.1,1.78
la-liga,2025-2026,30/08/2025,Real Madrid,Mallorca,2,1,17,9,7,5,4,5,12,7,2,0,0,0,H,2,1,H,1.18,7,15,1.19,7,15.5,1.57,2.38,1.98,1.88,1.17,7.5,13,1.18,7.5,16.5,1.44,2.75,1.85,2
la-liga,2025-2026,31/08/2025,Celta,Villarreal,1,1,10,8,2,3,1,5,11,8,1,1,0,0,D,0,0,D,2.75,3.5,2.5,2.75,3.6,2.37,1.73,2.1,2.03,1.83,3.2,3.5,2.2,3.1,3.5,2.25,1.82,1.92,1.9,1.95
la-liga,2025-2026,31/08/2025,Betis,Ath Bilbao,1,2,9,15,2,6,4,10,9,16,1,4,0,1,A,0,0,D,3,3.1,2.55,2.85,3.2,2.55,2.2,1.67,1.7,2.1,3.25,3.2,2.3,3.2,3.1,2.35,2.1,1.73,1.88,1.98
la-liga,2025-2026,31/08/2025,Espanol,Osasuna,1,0,10,10,4,3,2,3,13,14,2,3,0,0,H,0,0,D,2.38,3.2,3.1,2.4,3.2,3,2.2,1.67,2.03,1.83,2.55,3,3,2.45,3.1,3,2.5,1.53,1.78,2.1
la-liga,2025-2026,31/08/2025,Vallecano,Barcelona,1,1,12,12,6,3,9,4,16,8,4,1,0,0,D,0,1,A,6.25,5.5,1.4,6.75,5.25,1.4,1.44,2.75,2.03,1.83,6.75,5.25,1.4,6.5,5,1.42,1.44,2.75,1.9,1.95
