league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
serie-a,2015-2016,22/08/15,Lazio,Bologna,2,1,21,9,9,4,10,3,18,8,2,1,0,0,H,2,1,H,1.5,4.2,7,1.5,3.8,7,1.5,4,6.1
serie-a,2015-2016,22/08/15,Verona,Roma,1,1,12,21,7,8,3,7,9,11,2,1,0,0,D,0,0,D,5.5,3.75,1.67,5,3.6,1.7,4.5,3.5,1.75
serie-a,2015-2016,23/08/15,Empoli,Chievo,1,3,15,12,5,3,8,5,15,19,1,2,0,0,A,1,0,H,2.15,3.25,3.6,2.2,3.1,3.4,2.3,3.2,3
serie-a,2015-2016,23/08/15,Fiorentina,Milan,2,0,13,8,7,0,4,5,18,16,3,2,0,1,H,1,0,H,2.15,3.4,3.5,2.2,3.1,3.4,2.3,3.3,2.9
serie-a,2015-2016,23/08/15,Frosinone,Torino,1,2,13,26,3,7,3,12,10,11,2,2,0,0,A,1,0,H,3.5,3.25,2.2,3.4,3.1,2.2,2.9,3.3,2.3
serie-a,2015-2016,23/08/15,Inter,Atalanta,1,0,21,4,7,0,9,1,14,12,2,2,0,1,H,0,0,D,1.45,4.33,7.5,1.5,4,6.5,1.5,4,6.1
serie-a,2015-2016,23/08/15,Juventus,Udinese,0,1,21,6,5,2,10,2,14,22,1,3,0,0,A,0,0,D,1.29,5.5,11,1.3,5,10,1.3,5,9
serie-a,2015-2016,23/08/15,Palermo,Genoa,1,0,19,11,6,3,5,6,10,13,1,1,0,0,H,0,0,D,2.2,3.4,3.3,2.25,3.1,3.3,2.3,3.3,2.9
serie-a,2015-2016,23/08/15,Sampdoria,Carpi,5,2,10,24,7,7,4,8,15,16,1,3,1,0,H,5,1,H,1.8,3.5,4.75,1.75,3.3,5,1.8,3.5,4.2
serie-a,2015-2016,23/08/15,Sassuolo,Napoli,2,1,16,15,6,3,5,1,13,21,4,2,0,0,H,1,1,D,4.33,3.75,1.8,4.5,3.4,1.8,4,3.45,1.85
serie-a,2015-2016,29/08/15,Bologna,Sassuolo,0,1,6,9,2,2,11,5,15,13,3,1,0,0,A,0,0,D,2.25,3.3,3.3,2.3,3,3.3,2.3,3.2,3
serie-a,2015-2016,29/08/15,Milan,Empoli,2,1,6,18,4,3,6,5,20,16,0,2,0,0,H,1,1,D,1.5,4.2,7,1.5,4.1,6.25,1.45,4,7
serie-a,2015-2016,30/08/15,Atalanta,Frosinone,2,0,25,14,11,4,9,2,9,13,1,4,0,0,H,1,0,H,1.75,3.5,5.25,1.75,3.4,5,1.8,3.5,4.2
serie-a,2015-2016,30/08/15,Carpi,Inter,1,2,10,12,5,5,2,6,11,17,3,4,0,0,A,0,1,A,4.5,3.5,1.85,4.2,3.4,1.85,4.5,3.5,1.75
serie-a,2015-2016,30/08/15,Chievo,Lazio,4,0,8,13,5,2,2,8,11,14,0,1,0,0,H,3,0,H,3.4,3.3,2.2,3.25,3.2,2.2,3.1,3.2,2.25
serie-a,2015-2016,30/08/15,Genoa,Verona,2,0,20,12,6,2,4,4,19,13,2,2,0,0,H,0,0,D,2,3.5,3.8,2.05,3.3,3.6,2,3.3,3.6
serie-a,2015-2016,30/08/15,Napoli,Sampdoria,2,2,27,9,7,4,4,1,9,8,0,2,0,0,D,2,0,H,1.44,4.5,7.5,1.5,4.1,6.25,1.55,3.9,5.6
serie-a,2015-2016,30/08/15,Roma,Juventus,2,1,18,10,7,2,6,6,15,16,3,2,0,2,H,0,0,D,2.6,3.2,2.8,2.65,3.3,2.85,2.6,3.2,2.6
serie-a,2015-2016,30/08/15,Torino,Fiorentina,3,1,10,9,6,5,4,2,15,10,2,3,0,0,H,0,1,A,2.5,3.2,3,2.6,3,2.85,2.6,3.2,2.6
serie-a,2015-2016,30/08/15,Udinese,Palermo,0,1,25,5,7,1,10,0,16,15,4,2,0,1,A,0,1,A,2.15,3.3,3.6,2.15,3.2,3.4,2.1,3.3,3.3
serie-a,2015-2016,12/09/15,Fiorentina,Genoa,1,0,11,12,3,1,4,2,19,21,2,4,1,0,H,0,0,D,1.67,3.75,5.5,1.67,3.7,5,1.65,3.6,5.1
serie-a,2015-2016,12/09/15,Frosinone,Roma,0,2,18,20,5,3,3,8,16,15,4,3,0,0,A,0,1,A,9.5,4.75,1.36,8,4.5,1.42,7,4,1.45
serie-a,2015-2016,12/09/15,Juventus,Chievo,1,1,26,6,7,3,5,3,21,20,3,5,0,0,D,0,1,A,1.4,4.5,9,1.4,4.5,9,1.4,4.4,7.3
serie-a,2015-2016,13/09/15,Empoli,Napoli,2,2,16,17,3,4,5,5,12,14,2,4,0,0,D,2,1,H,5,3.6,1.75,4.4,3.7,1.8,4.2,3.5,1.8
serie-a,2015-2016,13/09/15,Inter,Milan,1,0,16,19,4,3,6,7,19,16,2,3,0,0,H,0,0,D,2.2,3.3,3.4,2.25,3.3,3.4,2.5,3.3,2.65
serie-a,2015-2016,13/09/15,Lazio,Udinese,2,0,14,10,8,4,6,4,17,13,0,1,0,0,H,0,0,D,1.62,3.75,6,1.62,3.75,5.5,1.65,3.6,5.1
serie-a,2015-2016,13/09/15,Palermo,Carpi,2,2,13,9,6,2,3,3,16,18,3,3,0,0,D,1,1,D,1.53,4,7,1.55,3.9,6,1.5,4,6.1
serie-a,2015-2016,13/09/15,Sassuolo,Atalanta,2,2,10,10,9,4,4,2,21,19,3,4,1,1,D,2,2,D,2.2,3.3,3.4,2.2,3.1,3.4,2.2,3.2,3.2
serie-a,2015-2016,13/09/15,Verona,Torino,2,2,12,10,3,5,3,3,17,20,5,2,0,0,D,0,0,D,3.2,3.3,2.3,3,3.2,2.35,2.75,3.3,2.4
serie-a,2015-2016,14/09/15,Sampdoria,Bologna,2,0,12,9,4,2,2,5,11,16,1,3,0,1,H,0,0,D,1.83,3.6,4.5,1.83,3.25,4.6,1.8,3.5,4.2
serie-a,2015-2016,19/09/15,Milan,Palermo,3,2,18,13,8,3,7,3,8,8,1,2,0,0,H,2,1,H,1.73,3.75,5,1.73,3.6,5.5,1.75,3.5,4.5
serie-a,2015-2016,19/09/15,Udinese,Empoli,1,2,7,12,2,6,2,5,26,14,4,3,1,0,A,1,0,H,2.25,3.3,3.3,2.2,3,3.5,2.1,3.3,3.3
serie-a,2015-2016,20/09/15,Atalanta,Verona,1,1,14,9,2,3,8,2,21,19,3,3,0,1,D,0,0,D,2,3.5,3.75,2.05,3.4,3.5,1.9,3.45,3.8
serie-a,2015-2016,20/09/15,Bologna,Frosinone,1,0,12,20,2,6,6,5,19,17,4,5,0,0,H,1,0,H,1.95,3.4,4,1.95,3.3,4,1.85,3.45,4
serie-a,2015-2016,20/09/15,Carpi,Fiorentina,0,1,11,8,3,2,4,3,21,15,3,4,0,0,A,0,1,A,4.33,3.4,1.91,4.6,3.6,1.83,4,3.45,1.85
serie-a,2015-2016,20/09/15,Chievo,Inter,0,1,15,14,2,3,8,8,16,13,3,1,0,0,A,0,1,A,3.75,3.3,2.1,3.75,3.25,2.15,3.2,3.2,2.2
serie-a,2015-2016,20/09/15,Genoa,Juventus,0,2,7,13,0,4,1,2,21,23,1,4,1,0,A,0,1,A,4.5,3.5,1.83,5,3.4,1.83,4.2,3.5,1.8
serie-a,2015-2016,20/09/15,Napoli,Lazio,5,0,19,9,10,1,7,1,12,12,1,2,0,0,H,2,0,H,1.91,3.6,4,1.9,3.6,4.25,1.85,3.45,4
serie-a,2015-2016,20/09/15,Roma,Sassuolo,2,2,21,12,7,4,11,4,15,15,2,3,0,0,D,1,2,A,1.4,4.5,8.5,1.42,4.75,8.25,1.4,4.4,7.3
serie-a,2015-2016,20/09/15,Torino,Sampdoria,2,0,19,13,8,5,7,7,9,10,2,3,0,0,H,2,0,H,1.83,3.6,4.33,1.85,3.5,4.1,1.85,3.45,4
serie-a,2015-2016,22/09/15,Udinese,Milan,2,3,11,9,3,3,7,1,24,21,4,3,1,0,A,0,3,A,3.3,3.3,2.25,3.3,3.2,2.3,2.9,3.3,2.3
serie-a,2015-2016,23/09/15,Carpi,Napoli,0,0,11,22,1,4,4,4,13,16,3,3,0,0,D,0,0,D,6.5,4,1.55,6.25,3.9,1.57,5.6,3.9,1.55
serie-a,2015-2016,23/09/15,Chievo,Torino,1,0,10,4,5,1,0,4,12,13,3,3,0,0,H,0,0,D,2.8,3.25,2.6,2.7,3.1,2.65,2.75,3.2,2.5
serie-a,2015-2016,23/09/15,Fiorentina,Bologna,2,0,18,3,4,1,6,0,15,12,1,2,0,0,H,0,0,D,1.5,4,7.5,1.5,4,6.5,1.55,3.9,5.6
serie-a,2015-2016,23/09/15,Inter,Verona,1,0,17,7,4,1,11,2,12,8,4,4,0,0,H,0,0,D,1.33,5,10,1.36,5,8.5,1.4,4.4,7.3
serie-a,2015-2016,23/09/15,Juventus,Frosinone,1,1,36,9,7,1,10,5,16,10,2,3,0,0,D,0,0,D,1.17,7,19,1.17,7.25,16.5,1.15,7,15
