league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
la-liga,2020-2021,12/09/2020,Eibar,Celta,0,0,8,6,1,3,3,3,17,13,4,4,1,0,D,0,0,D,2.5,3.25,2.9,2.45,3.2,3,2.55,2.9,2.95,2.3,1.61,1.81,2.09,2.62,3.1,2.8,2.75,3,2.8,2.75,2.8,2.8,2.5,1.53,1.94,1.96
la-liga,2020-2021,12/09/2020,Granada,Ath Bilbao,2,0,4,9,2,2,1,2,8,10,3,4,0,0,H,0,0,D,2.75,3.1,2.75,2.85,3.1,2.65,2.85,2.7,2.75,2.5,1.53,1.97,1.93,2.5,2.9,3.2,2.75,2.8,3,2.7,2.55,3.1,3.2,1.36,1.74,2.19
la-liga,2020-2021,12/09/2020,Cadiz,Osasuna,0,2,12,6,3,4,6,2,14,21,2,2,0,0,A,0,1,A,2.8,3,2.75,2.75,3,2.8,2.8,2.7,2.8,2.75,1.44,1.94,1.96,3.2,2.9,2.5,3,2.8,2.75,3.15,2.55,2.7,3.2,1.36,1.72,2.07
la-liga,2020-2021,13/09/2020,Alaves,Betis,0,1,7,11,2,4,6,4,19,17,3,3,0,0,A,0,0,D,2.8,3.2,2.6,2.95,3,2.65,2.85,2.95,2.6,2.2,1.66,2.04,1.86,3.3,3.1,2.35,3.4,3.2,2.25,3.3,2.8,2.4,2.37,1.57,1.93,1.97
la-liga,2020-2021,13/09/2020,Valladolid,Sociedad,1,1,8,8,3,2,5,3,15,17,4,1,0,0,D,1,0,H,2.8,3.2,2.6,2.8,3.2,2.6,2.9,2.95,2.55,2.3,1.61,2.07,1.83,3,3,2.55,3,3,2.6,3.05,2.6,2.75,3.2,1.36,2.07,1.83
la-liga,2020-2021,13/09/2020,Villarreal,Huesca,1,1,15,10,4,3,6,6,10,22,1,1,0,0,D,0,1,A,1.57,4,6,1.57,4,6,1.6,3.75,6,1.9,1.9,2.02,1.88,1.5,4.33,6.5,1.53,4.2,6.25,1.55,4,6.5,1.9,1.9,1.95,1.95
la-liga,2020-2021,13/09/2020,Valencia,Levante,4,2,14,19,8,8,3,4,9,14,1,3,0,0,H,2,2,D,2.1,3.5,3.5,2.05,3.6,3.5,2.15,3.15,3.5,1.8,2,1.83,2.07,2.45,3.3,2.9,2.35,3.3,3.1,2.4,3,3.1,2,1.8,2.09,1.81
la-liga,2020-2021,19/09/2020,Villarreal,Eibar,2,1,14,12,8,4,4,3,5,12,1,1,0,0,H,0,0,D,1.57,4,6,1.6,4.1,5.5,1.63,3.8,5.75,1.9,1.9,2.02,1.77,1.66,3.8,5.25,1.65,3.8,5.5,1.7,3.4,5.75,2.3,1.61,1.91,2.02
la-liga,2020-2021,19/09/2020,Getafe,Osasuna,1,0,7,10,1,3,4,1,19,13,4,2,0,0,H,0,0,D,1.95,3.25,4.33,1.91,3.25,4.5,2,2.95,4.5,2.75,1.44,2.01,1.92,1.9,3.3,4.33,1.95,3.2,4.4,2.05,2.85,4.6,3.2,1.36,2.03,1.9
la-liga,2020-2021,19/09/2020,Celta,Valencia,2,1,23,9,6,3,6,6,12,13,3,1,0,0,H,1,0,H,2.2,3.6,3.1,2.25,3.5,3.1,2.25,3.25,3.15,2,1.8,1.97,1.96,2.1,3.5,3.4,2.05,3.4,3.75,2.25,3.1,3.4,2.2,1.66,1.87,2.06
