league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2023-2024,18/08/2023,Werder Bremen,Bayern Munich,0,4,6,25,1,10,0,6,16,11,2,1,0,0,A,0,1,A,7.5,6.5,1.3,8,6,1.31,7,5.25,1.4,1.33,3.4,1.87,2.06,8.5,6,1.3,8.5,6,1.3,7,5.25,1.4,1.36,3.2,1.85,2.08
bundesliga,2023-2024,19/08/2023,Augsburg,M'gladbach,4,4,20,9,8,6,8,7,9,14,1,2,0,0,D,3,3,D,2.7,3.6,2.45,2.7,3.5,2.45,2.75,3.6,2.45,1.62,2.3,2.03,1.87,2.8,3.6,2.38,2.75,3.6,2.4,2.75,3.65,2.45,1.62,2.3,1.82,2.11
bundesliga,2023-2024,19/08/2023,Hoffenheim,Freiburg,1,2,24,17,5,8,4,2,9,9,0,1,0,0,A,0,2,A,2.3,3.6,2.9,2.25,3.5,3.1,2.3,3.55,2.95,1.67,2.2,2.06,1.84,2.15,3.6,3.1,2.2,3.6,3.1,2.25,3.6,3,1.67,2.2,1.91,2.02
bundesliga,2023-2024,19/08/2023,Leverkusen,RB Leipzig,3,2,11,13,7,6,4,5,13,10,1,2,0,0,H,2,1,H,2.45,3.6,2.75,2.45,3.6,2.7,2.5,3.55,2.7,1.67,2.2,1.83,2.07,2.38,3.6,2.8,2.37,3.5,2.8,2.5,3.6,2.7,1.67,2.2,2.11,1.82
bundesliga,2023-2024,19/08/2023,Stuttgart,Bochum,5,0,19,4,9,1,7,0,5,12,1,1,0,0,H,2,0,H,1.65,4.33,4.5,1.68,4,4.75,1.7,4.1,4.5,1.62,2.3,1.88,2.02,1.73,4.2,4.2,1.77,3.9,4.2,1.77,4.1,4.2,1.62,2.3,1.98,1.95
bundesliga,2023-2024,19/08/2023,Wolfsburg,Heidenheim,2,0,18,13,8,1,1,7,10,9,3,0,0,0,H,2,0,H,1.6,4.2,5.25,1.61,4.2,5.25,1.63,4.2,5.25,1.62,2.3,2.03,1.87,1.62,4.2,5,1.65,4.1,4.8,1.65,4.2,4.9,1.57,2.38,2.13,1.81
bundesliga,2023-2024,19/08/2023,Dortmund,FC Koln,1,0,12,11,2,4,6,3,13,11,1,0,0,0,H,0,0,D,1.4,5,7,1.41,5,7,1.43,4.9,7,1.44,2.75,1.83,2.07,1.45,5,6,1.47,4.8,5.75,1.47,5,6,1.44,2.75,2.06,1.87
bundesliga,2023-2024,20/08/2023,Union Berlin,Mainz,4,1,12,9,7,3,3,1,15,16,1,5,0,0,H,2,0,H,1.95,3.5,3.9,1.98,3.4,4,1.97,3.45,3.85,2.1,1.73,2.02,1.88,2.15,3.4,3.5,2.2,3.2,3.4,2.15,3.35,3.5,2.2,1.67,1.91,2.02
bundesliga,2023-2024,20/08/2023,Ein Frankfurt,Darmstadt,1,0,10,11,4,2,7,3,9,14,2,3,0,0,H,1,0,H,1.36,5.25,7.5,1.38,4.8,8,1.4,4.9,7.5,1.67,2.2,1.86,2.04,1.45,5,5.75,1.49,4.5,6,1.5,4.5,6,1.67,2.2,2.11,1.82
bundesliga,2023-2024,25/08/2023,RB Leipzig,Stuttgart,5,1,20,8,11,3,4,4,12,10,1,1,0,0,H,0,1,A,1.5,4.75,5.75,,,,1.5,4.7,6,1.53,2.5,1.83,2.1,1.62,4.33,4.75,,,,1.55,4.4,5.75,1.62,2.3,2.1,1.83
