league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
la-liga,2014-2015,23/08/14,Almeria,Espanol,1,1,19,12,6,2,11,7,8,9,3,2,0,1,D,0,0,D,2.55,3.3,2.7,2.55,3.25,2.7,2.5,3.3,2.65
la-liga,2014-2015,23/08/14,Granada,La Coruna,2,1,10,7,3,1,5,3,13,26,1,2,0,0,H,0,1,A,1.95,3.2,4.2,2.05,3.3,3.6,2,3.3,3.6
la-liga,2014-2015,23/08/14,Malaga,Ath Bilbao,1,0,12,12,3,5,5,4,13,9,3,3,2,0,H,1,0,H,2.8,3.3,2.45,2.75,3.2,2.55,2.6,3.2,2.6
la-liga,2014-2015,23/08/14,Sevilla,Valencia,1,1,10,11,3,1,3,3,23,8,4,2,0,1,D,1,0,H,2.05,3.5,3.5,2.05,3.3,3.6,2.1,3.3,3.3
la-liga,2014-2015,24/08/14,Barcelona,Elche,3,0,12,3,6,0,3,1,11,13,0,1,1,0,H,1,0,H,1.1,9,21,1.1,8.75,21,1.1,8,20
la-liga,2014-2015,24/08/14,Celta,Getafe,3,1,20,12,8,3,4,4,19,15,4,1,0,0,H,1,0,H,1.91,3.4,4,1.91,3.3,4.1,1.95,3.4,3.65
la-liga,2014-2015,24/08/14,Eibar,Sociedad,1,0,12,19,5,4,5,6,13,14,4,1,0,0,H,1,0,H,3.25,3.4,2.2,3.2,3.2,2.25,3.1,3.3,2.2
la-liga,2014-2015,24/08/14,Levante,Villarreal,0,2,9,12,2,6,3,4,11,14,1,3,0,0,A,0,0,D,3.4,3.4,2.1,3.2,3.25,2.2,3.1,3.3,2.2
la-liga,2014-2015,25/08/14,Real Madrid,Cordoba,2,0,14,8,8,2,8,5,9,13,1,2,0,0,H,1,0,H,1.06,11,29,1.08,10,23,1.07,9.5,22
la-liga,2014-2015,25/08/14,Vallecano,Ath Madrid,0,0,8,9,2,2,2,4,13,17,2,2,0,0,D,0,0,D,7,4,1.5,5.75,4,1.55,6.1,4,1.5
la-liga,2014-2015,29/08/14,Getafe,Almeria,1,0,12,11,3,4,2,3,17,11,3,2,0,0,H,1,0,H,2,3.4,3.75,2.05,3.3,3.6,2.1,3.3,3.3
la-liga,2014-2015,29/08/14,Valencia,Malaga,3,0,14,17,4,4,4,6,18,11,1,2,0,1,H,2,0,H,1.55,4.2,5.5,1.6,3.5,6.25,1.6,3.7,5.4
la-liga,2014-2015,30/08/14,Ath Bilbao,Levante,3,0,10,10,5,2,2,11,13,17,1,4,0,0,H,1,0,H,1.33,5,9,1.36,4.4,9,1.37,4.6,7.5
la-liga,2014-2015,30/08/14,Ath Madrid,Eibar,2,1,15,8,6,2,5,5,12,18,3,0,0,0,H,2,1,H,1.22,5.75,13,1.25,5.5,11.5,1.25,5.5,10.3
la-liga,2014-2015,30/08/14,Cordoba,Celta,1,1,6,9,1,4,1,6,14,17,1,4,0,0,D,0,0,D,3.3,3.3,2.2,3.1,3.2,2.3,2.9,3.3,2.3
la-liga,2014-2015,30/08/14,Espanol,Sevilla,1,2,4,13,2,6,3,7,20,24,4,2,0,0,A,0,1,A,2.5,3.2,2.88,2.55,3.25,2.7,2.5,3.3,2.65
la-liga,2014-2015,31/08/14,Elche,Granada,1,1,15,5,3,4,8,4,12,17,4,4,0,0,D,0,0,D,2.2,3.2,3.4,2.3,3.1,3.2,2.2,3.3,3.1
la-liga,2014-2015,31/08/14,La Coruna,Vallecano,2,2,10,12,5,2,2,4,16,18,4,6,0,0,D,1,1,D,2.25,3.3,3.2,2.35,3.25,3,2.2,3.3,3.1
la-liga,2014-2015,31/08/14,Sociedad,Real Madrid,4,2,13,19,5,5,8,6,18,12,1,2,0,0,H,2,2,D,7.5,5,1.36,7.5,4.6,1.4,7,4,1.45
la-liga,2014-2015,31/08/14,Villarreal,Barcelona,0,1,9,20,0,8,3,10,12,9,0,2,0,0,A,0,0,D,5,4.2,1.57,5.75,3.75,1.6,5.3,4.1,1.55
la-liga,2014-2015,12/09/14,Almeria,Cordoba,1,1,12,11,2,4,8,2,14,22,4,4,0,0,D,1,1,D,2.05,3.3,3.6,2.05,3.2,3.75,1.9,3.45,3.8
la-liga,2014-2015,13/09/14,Barcelona,Ath Bilbao,2,0,15,3,8,2,5,1,12,11,1,1,0,0,H,0,0,D,1.3,5.5,8.5,1.33,5,8.5,1.33,5,7.8
la-liga,2014-2015,13/09/14,Celta,Sociedad,2,2,13,20,6,5,5,8,13,15,1,5,0,0,D,1,0,H,2.2,3.3,3.3,2.3,3.3,3,2.2,3.3,3.1
la-liga,2014-2015,13/09/14,Malaga,Levante,0,0,18,10,7,0,20,1,10,15,1,2,0,0,D,0,0,D,1.62,3.6,6,1.62,3.6,5.75,1.65,3.7,4.9
la-liga,2014-2015,13/09/14,Real Madrid,Ath Madrid,1,2,21,9,4,2,4,4,12,12,4,7,0,0,A,1,1,D,1.67,3.75,5,1.72,3.8,4.5,1.65,3.8,4.7
la-liga,2014-2015,14/09/14,Granada,Villarreal,0,0,9,14,3,3,9,5,12,13,3,2,0,0,D,0,0,D,3.5,3.2,2.15,3.4,3.1,2.2,3.6,3.3,2
