league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
bundesliga,2017-2018,18/08/17,Bayern Munich,Leverkusen,3,1,13,19,8,4,4,5,13,17,1,2,0,0,H,2,0,H,1.25,6,12,1.22,6.25,13.5,1.3,6,8.5
bundesliga,2017-2018,19/08/17,Hamburg,Augsburg,1,0,11,13,5,1,3,7,18,16,4,3,0,0,H,1,0,H,2.1,3.4,3.6,2.15,3.3,3.6,2.1,3.4,3.5
bundesliga,2017-2018,19/08/17,Hertha,Stuttgart,2,0,10,9,3,2,5,1,18,12,2,1,0,0,H,0,0,D,2,3.4,3.9,2.05,3.5,3.6,2,3.4,3.8
bundesliga,2017-2018,19/08/17,Hoffenheim,Werder Bremen,1,0,14,11,3,2,6,4,17,15,1,3,0,0,H,0,0,D,1.75,4,4.33,1.75,4,4.4,1.8,3.7,4.3
bundesliga,2017-2018,19/08/17,Mainz,Hannover,0,1,14,6,6,2,13,1,18,14,3,5,0,0,A,0,0,D,2,3.4,4,2,3.4,3.9,2.1,3.4,3.5
bundesliga,2017-2018,19/08/17,Schalke 04,RB Leipzig,2,0,11,12,5,3,4,5,22,18,2,2,0,0,H,1,0,H,2.8,3.4,2.5,2.8,3.3,2.55,2.6,3.3,2.7
bundesliga,2017-2018,19/08/17,Wolfsburg,Dortmund,0,3,9,13,0,5,3,5,7,15,0,0,0,0,A,0,2,A,3.8,4,1.85,4.1,3.9,1.83,4.1,3.7,1.85
bundesliga,2017-2018,20/08/17,Freiburg,Ein Frankfurt,0,0,7,15,1,2,3,7,8,17,1,2,0,0,D,0,0,D,2.45,3.25,3,2.5,3.2,3,2.4,3.4,2.9
bundesliga,2017-2018,20/08/17,M'gladbach,FC Koln,1,0,22,13,8,2,5,3,12,11,3,2,0,0,H,0,0,D,1.91,3.5,4.1,1.95,3.5,3.9,2.1,3.4,3.5
bundesliga,2017-2018,25/08/17,FC Koln,Hamburg,1,3,20,12,6,4,6,7,9,9,2,2,0,1,A,0,2,A,1.95,3.4,4,2,3.3,4.1,1.9,3.5,4.1
bundesliga,2017-2018,26/08/17,Augsburg,M'gladbach,2,2,24,15,9,3,10,0,13,12,2,2,0,0,D,1,2,A,3.25,3.4,2.25,3.3,3.3,2.25,3.15,3.3,2.3
bundesliga,2017-2018,26/08/17,Dortmund,Hertha,2,0,18,7,8,4,4,4,12,9,1,1,0,0,H,1,0,H,1.36,5,7.5,1.36,5,8.75,1.35,5.3,8
bundesliga,2017-2018,26/08/17,Ein Frankfurt,Wolfsburg,0,1,12,7,6,3,7,2,18,19,3,1,0,0,A,0,1,A,2.3,3.25,3.3,2.3,3.3,3.2,2.3,3.3,3.15
bundesliga,2017-2018,26/08/17,Leverkusen,Hoffenheim,2,2,16,6,3,4,6,1,16,11,2,2,0,0,D,1,0,H,2.05,3.6,3.6,2.05,3.6,3.5,2.2,3.4,3.25
bundesliga,2017-2018,26/08/17,Stuttgart,Mainz,1,0,17,13,4,6,5,6,12,18,2,1,0,0,H,0,0,D,2.3,3.4,3.1,2.3,3.4,3.1,2.3,3.3,3.15
bundesliga,2017-2018,26/08/17,Werder Bremen,Bayern Munich,0,2,4,19,1,8,2,8,9,10,1,1,0,0,A,0,0,D,11,6.5,1.25,11,7,1.22,9,6.5,1.27
bundesliga,2017-2018,27/08/17,Hannover,Schalke 04,1,0,11,8,3,1,2,6,17,17,1,2,0,0,H,0,0,D,3.3,3.4,2.2,3.3,3.6,2.15,3.25,3.4,2.2
bundesliga,2017-2018,27/08/17,RB Leipzig,Freiburg,4,1,29,7,11,2,8,2,11,13,2,0,0,1,H,0,1,A,1.36,5,8.5,1.35,5,9,1.45,4.5,7
bundesliga,2017-2018,08/09/17,Hamburg,RB Leipzig,0,2,9,19,2,4,4,14,14,11,1,1,0,0,A,0,0,D,4,3.6,1.91,4,3.6,1.91,4.1,3.5,1.9
bundesliga,2017-2018,09/09/17,Augsburg,FC Koln,3,0,10,13,4,3,6,9,15,13,0,0,0,0,H,2,0,H,2.38,3.3,3.1,2.45,3.4,2.9,2.5,3.2,2.95
bundesliga,2017-2018,09/09/17,Freiburg,Dortmund,0,0,5,27,2,3,0,7,10,11,0,0,1,0,D,0,0,D,7.5,5,1.4,7.5,5,1.4,6.5,4.2,1.5
bundesliga,2017-2018,09/09/17,Hoffenheim,Bayern Munich,2,0,6,23,3,6,2,4,15,9,3,1,0,0,H,1,0,H,7,4.5,1.45,6.75,4.75,1.44,7,4.5,1.45
bundesliga,2017-2018,09/09/17,Mainz,Leverkusen,3,1,14,13,5,2,1,3,16,15,2,2,0,0,H,1,1,D,3,3.4,2.38,2.95,3.4,2.4,2.65,3.3,2.65
bundesliga,2017-2018,09/09/17,M'gladbach,Ein Frankfurt,0,1,15,12,3,6,13,5,17,17,3,2,0,0,A,0,1,A,1.83,3.6,4.5,1.85,3.6,4.25,1.85,3.5,4.3
bundesliga,2017-2018,09/09/17,Wolfsburg,Hannover,1,1,17,7,6,2,3,1,13,20,0,1,0,0,D,0,0,D,1.83,3.6,4.5,1.85,3.5,4.4,2,3.4,3.8
bundesliga,2017-2018,10/09/17,Hertha,Werder Bremen,1,1,8,10,4,5,5,7,9,12,1,0,0,0,D,1,0,H,1.91,3.6,4,1.95,3.5,4,2,3.4,3.8
bundesliga,2017-2018,10/09/17,Schalke 04,Stuttgart,3,1,12,11,4,2,2,1,15,19,1,1,0,0,H,1,1,D,1.7,3.75,5,1.75,3.8,4.75,1.8,3.6,4.5
bundesliga,2017-2018,15/09/17,Hannover,Hamburg,2,0,17,12,4,3,4,7,17,16,1,0,0,0,H,0,0,D,1.95,3.5,4,1.95,3.5,4,2.2,3.3,3.35
bundesliga,2017-2018,16/09/17,Bayern Munich,Mainz,4,0,28,11,14,4,10,5,9,5,2,2,0,0,H,2,0,H,1.13,10,19,1.12,9.5,18.5,1.15,7.5,18
bundesliga,2017-2018,16/09/17,Ein Frankfurt,Augsburg,1,2,23,11,8,3,4,4,13,13,2,3,0,0,A,0,1,A,1.85,3.5,4.5,1.87,3.4,4.5,1.85,3.5,4.3
bundesliga,2017-2018,16/09/17,RB Leipzig,M'gladbach,2,2,10,10,3,3,3,2,13,12,1,1,1,0,D,2,1,H,1.67,3.8,5.5,1.65,4.1,5,1.7,3.7,5
bundesliga,2017-2018,16/09/17,Stuttgart,Wolfsburg,1,0,8,8,4,1,2,3,14,19,2,3,0,0,H,1,0,H,2.3,3.5,3,2.45,3.5,2.8,2.4,3.3,2.95
bundesliga,2017-2018,16/09/17,Werder Bremen,Schalke 04,1,2,16,11,2,4,6,5,15,17,2,2,0,0,A,1,1,D,2.8,3.5,2.5,2.7,3.4,2.6,2.7,3.3,2.6
bundesliga,2017-2018,17/09/17,Dortmund,FC Koln,5,0,22,6,8,2,8,5,11,12,0,3,0,0,H,2,0,H,1.22,6,13,1.26,5.75,12,1.27,6.5,9
bundesliga,2017-2018,17/09/17,Hoffenheim,Hertha,1,1,8,9,2,4,5,2,15,20,2,2,0,0,D,1,0,H,1.67,3.8,5.5,1.72,3.9,4.75,1.75,3.6,4.8
bundesliga,2017-2018,17/09/17,Leverkusen,Freiburg,4,0,22,4,9,1,5,4,4,13,0,2,0,0,H,3,0,H,1.45,4.5,7,1.45,4.6,7,1.55,4,6.2
bundesliga,2017-2018,19/09/17,Augsburg,RB Leipzig,1,0,11,14,4,3,3,2,15,17,2,2,0,0,H,1,0,H,3.5,3.5,2.1,3.5,3.5,2.1,3.3,3.35,2.2
bundesliga,2017-2018,19/09/17,M'gladbach,Stuttgart,2,0,9,11,3,4,4,1,9,8,0,1,0,0,H,0,0,D,1.7,3.8,5,1.65,3.9,5.25,1.7,3.7,5
bundesliga,2017-2018,19/09/17,Schalke 04,Bayern Munich,0,3,11,12,4,8,2,6,13,11,1,1,0,0,A,0,2,A,7,4.75,1.44,6.75,4.75,1.45,7,4.5,1.45
bundesliga,2017-2018,19/09/17,Wolfsburg,Werder Bremen,1,1,13,11,4,4,3,4,10,18,1,2,0,0,D,1,0,H,2.05,3.5,3.6,2,3.6,3.7,2.1,3.4,3.5
bundesliga,2017-2018,20/09/17,FC Koln,Ein Frankfurt,0,1,17,8,8,4,4,5,20,20,2,1,0,0,A,0,1,A,2.88,3.1,2.63,2.75,3.2,2.65,2.6,3.3,2.7
