league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
epl,2014-2015,16/08/14,Arsenal,Crystal Palace,2,1,14,4,6,2,9,3,13,19,2,2,0,1,H,1,1,D,J Moss,1.25,6.5,15,1.25,5.5,12,1.3,5,9
epl,2014-2015,16/08/14,Leicester,Everton,2,2,11,13,3,3,3,6,16,10,1,1,0,0,D,1,2,A,M Jones,3.2,3.4,2.4,2.9,3.2,2.4,2.9,3.3,2.3
epl,2014-2015,16/08/14,Man United,Swansea,1,2,14,5,5,4,4,0,14,20,2,4,0,0,A,0,1,A,M Dean,1.36,5,11,1.4,4.75,9,1.33,5,8
epl,2014-2015,16/08/14,QPR,Hull,0,1,19,11,6,4,8,9,10,10,1,2,0,0,A,0,0,D,C Pawson,2.5,3.3,3.1,2.5,3.1,2.85,2.3,3.3,2.9
epl,2014-2015,16/08/14,Stoke,Aston Villa,0,1,12,7,2,2,2,8,14,9,0,3,0,0,A,0,0,D,A Taylor,1.95,3.5,4.5,1.95,3.3,3.9,2,3.3,3.6
epl,2014-2015,16/08/14,West Brom,Sunderland,2,2,10,7,5,2,6,3,18,9,3,1,0,0,D,1,1,D,N Swarbrick,2.25,3.4,3.5,2.3,3.25,3.1,2.2,3.3,3.1
epl,2014-2015,16/08/14,West Ham,Tottenham,0,1,18,10,4,4,8,5,12,10,1,0,1,1,A,0,0,D,C Foy,3.8,3.6,2.05,3.5,3.4,2.05,3.1,3.3,2.2
epl,2014-2015,17/08/14,Liverpool,Southampton,2,1,12,12,5,6,2,6,8,11,1,2,0,0,H,1,0,H,M Clattenburg,1.33,5.75,10,1.36,4.5,8.75,1.35,4.8,7.6
epl,2014-2015,17/08/14,Newcastle,Man City,0,2,12,13,0,5,3,3,8,11,1,5,0,0,A,0,1,A,M Atkinson,5.25,4.33,1.67,4.75,3.8,1.67,4.9,3.7,1.65
epl,2014-2015,18/08/14,Burnley,Chelsea,1,3,9,11,2,3,4,3,6,7,1,1,0,0,A,1,3,A,M Oliver,9,5,1.4,7.5,4.6,1.4,6.8,4.6,1.4
epl,2014-2015,23/08/14,Aston Villa,Newcastle,0,0,9,11,0,4,7,7,11,8,4,0,0,1,D,0,0,D,M Dean,2.5,3.4,3,2.6,3.25,2.9,2.3,3.3,2.9
epl,2014-2015,23/08/14,Chelsea,Leicester,2,0,27,6,10,4,8,7,11,11,0,1,0,0,H,0,0,D,L Mason,1.2,7.5,17,1.25,6.25,12.5,1.22,5.5,12
epl,2014-2015,23/08/14,Crystal Palace,West Ham,1,3,9,17,4,8,6,9,14,11,1,3,0,0,A,0,2,A,M Clattenburg,2.5,3.3,3.1,2.5,3,2.95,2.3,3.3,2.9
epl,2014-2015,23/08/14,Everton,Arsenal,2,2,8,13,2,3,3,3,10,18,1,4,0,0,D,2,0,H,K Friend,2.8,3.4,2.7,2.75,3.25,2.7,2.75,3.3,2.4
epl,2014-2015,23/08/14,Southampton,West Brom,0,0,8,8,2,2,1,5,14,15,1,2,0,0,D,0,0,D,R East,1.85,3.7,4.75,1.87,3.75,4.2,1.95,3.35,3.7
epl,2014-2015,23/08/14,Swansea,Burnley,1,0,10,12,5,1,2,3,14,13,2,1,0,0,H,1,0,H,C Pawson,1.65,4,6,1.7,3.6,5.75,1.7,3.6,4.7
epl,2014-2015,24/08/14,Hull,Stoke,1,1,9,19,2,3,4,5,10,10,1,3,1,0,D,1,0,H,J Moss,2.5,3.25,3.2,2.55,3.2,2.95,2.3,3.3,2.9
epl,2014-2015,24/08/14,Sunderland,Man United,1,1,11,10,3,3,4,4,10,15,0,2,0,0,D,1,1,D,M Atkinson,5,4,1.75,4.4,3.75,1.83,4.9,3.7,1.65
epl,2014-2015,24/08/14,Tottenham,QPR,4,0,18,9,5,1,7,6,12,6,0,1,0,0,H,3,0,H,A Taylor,1.45,4.75,8,1.48,4.25,7.75,1.45,4,7
epl,2014-2015,25/08/14,Man City,Liverpool,3,1,9,11,4,3,6,7,13,7,1,1,0,0,H,1,0,H,M Oliver,1.85,4,4.33,1.87,3.9,4,1.85,3.45,4
epl,2014-2015,30/08/14,Burnley,Man United,0,0,9,7,3,2,3,6,10,14,2,2,0,0,D,0,0,D,C Foy,6,4.2,1.62,5.75,4,1.62,5.6,3.9,1.55
epl,2014-2015,30/08/14,Everton,Chelsea,3,6,17,12,7,8,8,2,7,16,1,3,0,0,A,1,2,A,J Moss,3.75,3.3,2.2,3.5,3.3,2.2,3.6,3.3,2
