league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
epl,2015-2016,08/08/2015,Bournemouth,Aston Villa,0,1,11,7,2,3,6,3,13,13,3,4,0,0,A,0,0,D,M Clattenburg,2,3.6,4,2,3.3,3.7,2.1,3.3,3.3
epl,2015-2016,08/08/2015,Chelsea,Swansea,2,2,11,18,3,10,4,8,15,16,1,3,1,0,D,2,1,H,M Oliver,1.36,5,11,1.4,4.75,9,1.33,4.8,8.3
epl,2015-2016,08/08/2015,Everton,Watford,2,2,10,11,5,5,8,2,7,13,1,2,0,0,D,0,1,A,M Jones,1.7,3.9,5.5,1.7,3.5,5,1.7,3.6,4.7
epl,2015-2016,08/08/2015,Leicester,Sunderland,4,2,19,10,8,5,6,3,13,17,2,4,0,0,H,3,0,H,L Mason,1.95,3.5,4.33,2,3.3,3.75,2,3.3,3.6
epl,2015-2016,08/08/2015,Man United,Tottenham,1,0,9,9,1,4,1,2,12,12,2,3,0,0,H,1,0,H,J Moss,1.65,4,6,1.65,4,5.5,1.65,3.6,5.1
epl,2015-2016,08/08/2015,Norwich,Crystal Palace,1,3,17,11,6,7,1,4,14,20,1,0,0,0,A,0,1,A,S Hooper,2.55,3.3,3,2.6,3.2,2.7,2.4,3.2,2.85
epl,2015-2016,09/08/2015,Arsenal,West Ham,0,2,22,8,6,4,5,4,12,9,1,3,0,0,A,0,1,A,M Atkinson,1.29,6,12,1.28,5.75,10.5,1.33,4.8,8.3
epl,2015-2016,09/08/2015,Newcastle,Southampton,2,2,9,15,4,5,6,6,9,12,2,4,0,0,D,1,1,D,C Pawson,2.88,3.3,2.7,2.8,3.1,2.75,2.65,3.3,2.5
epl,2015-2016,09/08/2015,Stoke,Liverpool,0,1,7,8,1,3,3,5,9,16,2,4,0,0,A,0,0,D,A Taylor,3.4,3.4,2.3,3.2,3.4,2.3,2.9,3.3,2.3
epl,2015-2016,10/08/2015,West Brom,Man City,0,3,9,19,2,7,6,6,12,9,4,1,0,0,A,0,2,A,M Dean,5.75,4,1.67,4.75,4,1.65,5.1,3.6,1.65
epl,2015-2016,14/08/2015,Aston Villa,Man United,0,1,5,9,1,2,3,5,14,10,2,2,0,0,A,0,1,A,M Dean,5.5,3.8,1.73,5,3.75,1.75,5,3.6,1.67
epl,2015-2016,15/08/2015,Southampton,Everton,0,3,17,10,4,4,9,9,11,10,4,2,0,0,A,0,2,A,M Oliver,1.95,3.6,4.33,1.95,3.5,4.1,2.1,3.2,3.4
epl,2015-2016,15/08/2015,Sunderland,Norwich,1,3,6,19,2,6,6,6,7,7,1,2,0,0,A,0,2,A,K Friend,2.5,3.3,3.1,2.5,3.1,3.2,2.3,3.3,2.9
epl,2015-2016,15/08/2015,Swansea,Newcastle,2,0,19,4,6,2,4,4,11,8,2,1,0,1,H,1,0,H,M Jones,1.95,3.6,4.33,1.95,3.5,3.7,1.9,3.45,3.8
epl,2015-2016,15/08/2015,Tottenham,Stoke,2,2,13,16,7,7,4,3,15,11,2,2,0,0,D,2,0,H,R Madley,1.8,3.75,5,1.8,3.7,4.1,1.7,3.6,4.7
epl,2015-2016,15/08/2015,Watford,West Brom,0,0,16,6,5,0,2,4,13,10,1,2,0,0,D,0,0,D,P Tierney,2.3,3.4,3.4,2.3,3.2,3.1,2.4,3.2,2.85
epl,2015-2016,15/08/2015,West Ham,Leicester,1,2,10,11,3,6,8,4,11,12,1,3,1,0,A,0,2,A,A Taylor,2.25,3.5,3.4,2.25,3.2,3.5,2.2,3.3,3.1
epl,2015-2016,16/08/2015,Crystal Palace,Arsenal,1,2,11,20,4,7,6,6,14,12,1,1,0,0,A,1,1,D,L Mason,5.25,3.9,1.73,5,3.75,1.75,4.7,3.6,1.7
epl,2015-2016,16/08/2015,Man City,Chelsea,3,0,18,10,8,3,5,1,19,13,4,2,0,0,H,1,0,H,M Atkinson,2.1,3.5,3.75,2.1,3.4,3.7,2.1,3.3,3.3
epl,2015-2016,17/08/2015,Liverpool,Bournemouth,1,0,18,13,2,2,6,8,11,18,1,4,0,0,H,1,0,H,C Pawson,1.45,4.75,8,1.48,4.75,7.25,1.4,4.4,7.3
epl,2015-2016,22/08/2015,Crystal Palace,Aston Villa,2,1,16,11,6,2,6,4,12,15,3,3,0,0,H,0,0,D,K Stroud,1.85,3.6,4.75,1.85,3.5,4.1,1.9,3.4,3.9
epl,2015-2016,22/08/2015,Leicester,Tottenham,1,1,13,19,2,6,2,7,7,14,1,4,0,0,D,0,0,D,M Atkinson,2.63,3.6,2.75,2.65,3.3,2.65,2.6,3.2,2.6
epl,2015-2016,22/08/2015,Man United,Newcastle,0,0,20,7,8,0,11,5,15,11,2,2,0,0,D,0,0,D,C Pawson,1.36,5.25,10,1.36,5,9.25,1.35,4.8,7.6
epl,2015-2016,22/08/2015,Norwich,Stoke,1,1,21,6,7,1,9,0,16,5,4,1,0,0,D,1,1,D,M Dean,2.3,3.3,3.5,2.35,3.2,3,2.4,3.2,2.85
epl,2015-2016,22/08/2015,Sunderland,Swansea,1,1,10,20,2,9,3,4,16,9,4,2,0,0,D,0,1,A,N Swarbrick,4,3.4,2.1,3.5,3.25,2.1,3.3,3.3,2.1
epl,2015-2016,22/08/2015,West Ham,Bournemouth,3,4,10,15,4,7,5,4,8,11,0,0,1,0,A,0,2,A,J Moss,2.38,3.4,3.2,2.35,3.4,3.1,2.2,3.2,3.2
epl,2015-2016,23/08/2015,Everton,Man City,0,2,10,16,1,9,8,7,5,7,0,3,0,0,A,0,0,D,A Taylor,5,4,1.73,4.4,3.75,1.73,4.7,3.6,1.7
epl,2015-2016,23/08/2015,Watford,Southampton,0,0,13,14,0,5,5,2,10,11,0,2,0,0,D,0,0,D,A Marriner,2.8,3.3,2.75,2.65,3.25,2.6,2.6,3.2,2.6
epl,2015-2016,23/08/2015,West Brom,Chelsea,2,3,15,15,6,5,8,7,9,12,2,1,0,1,A,1,3,A,M Clattenburg,6.5,4,1.62,5.25,3.8,1.62,5.1,3.6,1.65
epl,2015-2016,24/08/2015,Arsenal,Liverpool,0,0,19,15,5,8,7,8,2,13,1,4,0,0,D,0,0,D,M Oliver,1.75,4,5,1.75,3.75,5,1.8,3.5,4.2
epl,2015-2016,29/08/2015,Aston Villa,Sunderland,2,2,21,7,6,3,5,4,10,14,2,1,0,0,D,2,1,H,R Madley,1.91,3.5,4.75,1.91,3.6,4.4,1.9,3.45,3.8
epl,2015-2016,29/08/2015,Bournemouth,Leicester,1,1,5,4,2,2,4,4,9,19,2,4,0,0,D,1,0,H,N Swarbrick,2.2,3.6,3.4,2.2,3.3,3.2,2.2,3.2,3.2
epl,2015-2016,29/08/2015,Chelsea,Crystal Palace,1,2,26,13,9,6,7,7,9,15,1,1,0,0,A,0,0,D,C Pawson,1.36,5,11,1.36,4.75,7.75,1.33,4.8,8.3
epl,2015-2016,29/08/2015,Liverpool,West Ham,0,3,13,12,1,5,5,7,17,11,3,1,1,1,A,0,2,A,K Friend,1.36,5.5,9,1.36,5,7.25,1.4,4.4,7.3
epl,2015-2016,29/08/2015,Man City,Watford,2,0,18,7,5,0,9,3,9,12,1,2,0,0,H,0,0,D,M Clattenburg,1.2,8,15,1.2,7,10.5,1.2,5.8,13
epl,2015-2016,29/08/2015,Newcastle,Arsenal,0,1,1,22,0,9,0,9,15,8,6,1,1,0,A,0,0,D,A Marriner,6,4.2,1.62,5.5,3.75,1.62,5,3.9,1.6
epl,2015-2016,29/08/2015,Stoke,West Brom,0,1,13,15,5,5,6,5,4,9,1,4,2,0,A,0,1,A,M Oliver,1.95,3.4,4.5,1.95,3.3,4,2,3.3,3.6
epl,2015-2016,29/08/2015,Tottenham,Everton,0,0,20,8,6,3,6,2,20,9,4,1,0,0,D,0,0,D,M Jones,2,3.5,4.2,1.95,3.4,3.75,2,3.3,3.6
epl,2015-2016,30/08/2015,Southampton,Norwich,3,0,23,6,8,1,6,4,4,12,0,0,0,1,H,1,0,H,J Moss,2.05,3.5,4,2.05,3.4,3.5,1.9,3.45,3.8
epl,2015-2016,30/08/2015,Swansea,Man United,2,1,9,11,4,4,0,1,6,15,2,2,0,0,H,0,0,D,M Atkinson,3.6,3.3,2.25,3.2,3.2,2.25,3.2,3.2,2.2
epl,2015-2016,12/09/2015,Arsenal,Stoke,2,0,29,9,12,4,13,1,6,13,1,1,0,0,H,1,0,H,J Moss,1.29,6,12,1.3,5.5,9.75,1.3,5,9
epl,2015-2016,12/09/2015,Crystal Palace,Man City,0,1,10,21,2,7,4,4,13,13,2,3,0,0,A,0,0,D,M Jones,5.5,4.2,1.67,5.25,3.9,1.67,5.4,3.7,1.6
epl,2015-2016,12/09/2015,Everton,Chelsea,3,1,14,15,9,2,7,14,12,12,2,2,0,0,H,2,1,H,A Marriner,4,3.6,2,3.75,3.5,2,3.6,3.3,2
epl,2015-2016,12/09/2015,Man United,Liverpool,3,1,9,8,3,4,4,4,6,11,1,2,0,0,H,0,0,D,M Oliver,2,3.4,4.33,2,3.2,4.33,1.85,3.45,4
epl,2015-2016,12/09/2015,Norwich,Bournemouth,3,1,12,7,4,2,4,4,10,11,2,3,0,0,H,1,0,H,M Atkinson,2.4,3.4,3.2,2.4,3.4,2.75,2.3,3.3,2.9
epl,2015-2016,12/09/2015,Watford,Swansea,1,0,17,8,6,3,1,3,11,14,1,1,1,0,H,0,0,D,R Madley,2.75,3.4,2.75,2.7,3.2,2.7,2.6,3.2,2.6
epl,2015-2016,12/09/2015,West Brom,Southampton,0,0,8,14,1,4,4,5,5,5,1,0,0,0,D,0,0,D,S Attwell,3.2,3.2,2.5,2.8,3.2,2.5,2.65,3.3,2.5
epl,2015-2016,13/09/2015,Leicester,Aston Villa,3,2,21,11,6,4,4,5,8,13,2,1,0,0,H,0,1,A,M Dean,1.91,3.75,4.33,1.91,3.4,4,1.85,3.45,4
epl,2015-2016,13/09/2015,Sunderland,Tottenham,0,1,12,15,2,4,6,8,11,12,2,1,0,0,A,0,0,D,C Pawson,4.33,3.6,1.95,3.75,3.4,1.95,3.6,3.3,2
epl,2015-2016,14/09/2015,West Ham,Newcastle,2,0,17,14,3,4,6,7,8,11,0,2,0,0,H,1,0,H,A Taylor,2.25,3.5,3.4,2.25,3.4,3,2.1,3.3,3.3
epl,2015-2016,19/09/2015,Aston Villa,West Brom,0,1,13,11,3,6,2,7,10,11,2,3,0,0,A,0,1,A,M Atkinson,2.3,3.25,3.5,2.3,3.1,3.25,2.3,3.2,3
epl,2015-2016,19/09/2015,Bournemouth,Sunderland,2,0,15,9,5,2,7,3,14,15,2,4,0,1,H,2,0,H,K Friend,1.7,4,5.5,1.72,3.7,4.6,1.75,3.5,4.5
epl,2015-2016,19/09/2015,Chelsea,Arsenal,2,0,22,9,7,2,5,5,12,11,3,1,0,2,H,0,0,D,M Dean,2.45,3.5,3,2.4,3.5,3,2.3,3.2,3
epl,2015-2016,19/09/2015,Man City,West Ham,1,2,27,6,8,3,16,3,10,7,1,2,0,0,A,1,2,A,R Madley,1.29,6.5,11,1.28,6,10.5,1.25,5.5,10.3
epl,2015-2016,19/09/2015,Newcastle,Watford,1,2,15,13,5,4,5,5,8,12,1,2,0,0,A,0,2,A,R East,2.5,3.3,3.1,2.5,3.2,2.8,2.4,3.3,2.75
epl,2015-2016,19/09/2015,Stoke,Leicester,2,2,11,12,4,5,3,4,7,12,1,4,0,0,D,2,0,H,A Marriner,2.5,3.4,3,2.5,3.2,2.8,2.4,3.2,2.85
epl,2015-2016,19/09/2015,Swansea,Everton,0,0,12,17,3,2,2,4,12,11,2,2,0,1,D,0,0,D,S Attwell,2.3,3.4,3.4,2.3,3.2,3.1,2.3,3.2,3
epl,2015-2016,20/09/2015,Liverpool,Norwich,1,1,23,7,7,2,6,2,4,13,1,2,0,0,D,0,0,D,A Taylor,1.67,4,5.75,1.67,3.8,5.5,1.55,3.9,5.6
epl,2015-2016,20/09/2015,Southampton,Man United,2,3,15,10,8,3,5,5,6,13,2,0,0,0,A,1,1,D,M Clattenburg,3.1,3.3,2.5,3.2,3.2,2.4,3,3.2,2.3
epl,2015-2016,20/09/2015,Tottenham,Crystal Palace,1,0,22,12,6,4,6,5,9,11,1,2,0,0,H,0,0,D,M Oliver,2,3.6,4,2,3.4,3.6,1.85,3.45,4
epl,2015-2016,26/09/2015,Leicester,Arsenal,2,5,16,26,7,12,6,5,9,12,1,1,0,0,A,1,2,A,C Pawson,4.5,4,1.8,4,3.8,1.85,3.8,3.45,1.9
epl,2015-2016,26/09/2015,Liverpool,Aston Villa,3,2,21,10,12,4,11,1,8,13,0,0,0,0,H,1,0,H,J Moss,1.53,4.33,7,1.53,4.2,6.5,1.5,4,6.1
epl,2015-2016,26/09/2015,Man United,Sunderland,3,0,12,9,7,4,5,2,12,17,0,3,0,0,H,1,0,H,M Jones,1.2,7.5,16,1.22,6.5,13,1.2,5.8,13
epl,2015-2016,26/09/2015,Newcastle,Chelsea,2,2,11,16,5,4,4,6,12,15,1,2,0,0,D,1,0,H,M Atkinson,6,4.2,1.62,5.75,3.9,1.62,5.4,3.7,1.6
epl,2015-2016,26/09/2015,Southampton,Swansea,3,1,18,11,7,4,4,3,18,14,3,1,0,0,H,1,0,H,R East,2.05,3.4,4.2,2.05,3.25,3.6,2.2,3.2,3.2
epl,2015-2016,26/09/2015,Stoke,Bournemouth,2,1,8,11,5,6,3,7,13,11,1,0,0,0,H,1,0,H,L Mason,2.55,3.3,3,2.5,3.3,2.75,2.5,3.2,2.75
epl,2015-2016,26/09/2015,Tottenham,Man City,4,1,15,22,8,8,5,9,17,6,5,1,0,0,H,1,1,D,M Clattenburg,4.2,3.8,1.91,4,3.6,1.91,3.6,3.3,2
epl,2015-2016,26/09/2015,West Ham,Norwich,2,2,19,16,7,7,7,5,7,17,0,0,0,0,D,1,1,D,M Dean,2.25,3.5,3.4,2.25,3.25,3.1,2.1,3.3,3.3
epl,2015-2016,27/09/2015,Watford,Crystal Palace,0,1,15,16,2,3,6,4,17,22,4,4,0,0,A,0,0,D,A Taylor,2.5,3.3,3.1,2.5,3.2,2.8,2.5,3.2,2.75
epl,2015-2016,28/09/2015,West Brom,Everton,2,3,9,12,4,4,6,4,9,8,0,3,0,0,A,1,0,H,R Madley,3.1,3.3,2.5,2.8,3.25,2.45,2.85,3.2,2.4
epl,2015-2016,03/10/2015,Aston Villa,Stoke,0,1,13,12,2,5,9,5,12,12,1,0,0,0,A,0,0,D,M Jones,2.5,3.3,3.1,2.5,3.25,2.95,2.4,3.3,2.75
epl,2015-2016,03/10/2015,Bournemouth,Watford,1,1,12,11,6,2,5,3,8,13,1,1,0,0,D,1,1,D,M Oliver,2.1,3.5,3.8,2.1,3.25,3.5,2.1,3.3,3.3
epl,2015-2016,03/10/2015,Chelsea,Southampton,1,3,10,13,3,5,4,6,14,14,2,5,0,0,A,1,1,D,R Madley,1.83,3.7,4.8,1.83,3.6,4.5,1.7,3.6,4.7
epl,2015-2016,03/10/2015,Crystal Palace,West Brom,2,0,21,7,8,2,8,3,14,13,3,3,0,0,H,0,0,D,J Moss,1.83,3.6,5,1.8,3.4,4.5,1.8,3.5,4.2
epl,2015-2016,03/10/2015,Man City,Newcastle,6,1,23,6,11,4,6,3,13,8,3,1,0,0,H,1,1,D,K Friend,1.25,7,13,1.25,6.25,11.5,1.25,5.5,10.3
epl,2015-2016,03/10/2015,Norwich,Leicester,1,2,17,16,2,5,16,8,4,4,0,1,0,0,A,0,1,A,M Clattenburg,2.3,3.5,3.3,2.3,3.1,3.2,2.3,3.3,2.9
epl,2015-2016,03/10/2015,Sunderland,West Ham,2,2,12,20,3,6,1,8,14,11,2,4,1,0,D,2,1,H,N Swarbrick,3.2,3.4,2.4,3.1,3.2,2.3,2.9,3.3,2.3
epl,2015-2016,04/10/2015,Arsenal,Man United,3,0,12,9,5,5,3,6,8,17,1,3,0,0,H,3,0,H,A Taylor,2,3.8,3.8,2,3.5,3.75,2.1,3.3,3.3
epl,2015-2016,04/10/2015,Everton,Liverpool,1,1,14,13,4,4,5,11,10,19,3,3,0,0,D,1,1,D,M Atkinson,2.7,3.4,2.8,2.7,3.2,2.75,2.6,3.2,2.6
epl,2015-2016,04/10/2015,Swansea,Tottenham,2,2,11,19,2,11,5,6,8,19,1,4,0,0,D,2,1,H,M Dean,2.75,3.25,2.8,2.65,3.2,2.65,2.6,3.2,2.6
epl,2015-2016,17/10/2015,Chelsea,Aston Villa,2,0,9,8,3,1,4,4,22,17,1,3,0,0,H,1,0,H,R East,1.33,5.75,10,1.33,5,8.5,1.35,4.8,7.6
epl,2015-2016,17/10/2015,Crystal Palace,West Ham,1,3,6,24,1,4,1,9,9,11,1,3,1,0,A,1,1,D,M Clattenburg,2,3.6,4,2,3.5,3.5,1.9,3.45,3.8
epl,2015-2016,17/10/2015,Everton,Man United,0,3,12,10,3,7,5,3,12,14,2,2,0,0,A,0,2,A,J Moss,3.25,3.4,2.38,3,3.3,2.4,2.9,3.3,2.3
epl,2015-2016,17/10/2015,Man City,Bournemouth,5,1,15,5,11,1,1,7,11,5,2,1,0,0,H,4,1,H,M Dean,1.33,5.75,10,1.33,5.25,8,1.3,5,9
epl,2015-2016,17/10/2015,Southampton,Leicester,2,2,14,26,6,7,6,7,16,10,2,0,0,0,D,2,0,H,P Tierney,1.75,4,5,1.75,3.7,4.4,1.8,3.5,4.2
epl,2015-2016,17/10/2015,Tottenham,Liverpool,0,0,13,12,4,3,8,6,15,11,1,2,0,0,D,0,0,D,C Pawson,2.5,3.5,3,2.5,3.2,2.95,2.5,3.2,2.75
epl,2015-2016,17/10/2015,Watford,Arsenal,0,3,8,17,1,6,3,9,11,12,2,1,0,0,A,0,0,D,M Jones,6,4.2,1.62,5,4.1,1.6,5,3.9,1.6
epl,2015-2016,17/10/2015,West Brom,Sunderland,1,0,8,9,1,2,1,5,12,13,2,2,0,0,H,0,0,D,M Atkinson,2.05,3.4,4.2,2.05,3.25,3.6,1.85,3.45,4
epl,2015-2016,18/10/2015,Newcastle,Norwich,6,2,11,18,6,6,3,7,10,10,1,1,0,0,H,3,2,H,A Taylor,2.6,3.4,2.88,2.6,3.3,2.6,2.5,3.3,2.65
epl,2015-2016,19/10/2015,Swansea,Stoke,0,1,14,9,2,2,1,2,6,14,2,2,0,0,A,0,1,A,R Madley,2.05,3.4,4.2,2.05,3.2,3.75,2,3.3,3.6
epl,2015-2016,24/10/2015,Arsenal,Everton,2,1,20,10,5,5,7,5,11,14,2,0,0,1,H,2,1,H,L Mason,1.44,4.75,8,1.44,4.6,7.25,1.45,4,7
epl,2015-2016,24/10/2015,Aston Villa,Swansea,1,2,9,11,3,4,4,6,10,8,2,3,0,0,A,0,0,D,N Swarbrick,3,3.3,2.6,2.7,3.2,2.6,2.75,3.2,2.5
epl,2015-2016,24/10/2015,Leicester,Crystal Palace,1,0,12,9,3,4,3,2,7,11,3,1,0,0,H,0,0,D,M Dean,2.2,3.6,3.4,2.25,3.3,3.1,2.2,3.2,3.2
epl,2015-2016,24/10/2015,Norwich,West Brom,0,1,16,7,3,4,13,3,11,6,1,2,0,0,A,0,0,D,K Friend,2,3.5,4.2,2,3.3,3.7,2.1,3.3,3.3
epl,2015-2016,24/10/2015,Stoke,Watford,0,2,12,13,1,3,11,5,10,18,3,1,0,0,A,0,1,A,M Atkinson,2.1,3.3,4,2.1,3.25,3.5,2,3.3,3.6
epl,2015-2016,24/10/2015,West Ham,Chelsea,2,1,12,8,5,4,7,4,10,12,1,5,0,1,H,1,0,H,J Moss,4,3.8,1.95,3.6,3.7,2,3.8,3.45,1.9
epl,2015-2016,25/10/2015,Bournemouth,Tottenham,1,5,11,14,3,9,4,5,8,15,0,1,0,0,A,1,3,A,R East,3.4,3.5,2.25,3.3,3.3,2.25,3.2,3.2,2.2
epl,2015-2016,25/10/2015,Liverpool,Southampton,1,1,15,8,2,3,10,7,8,11,1,0,0,1,D,0,0,D,A Marriner,2.05,3.6,3.8,2.05,3.5,3.6,1.85,3.45,4
epl,2015-2016,25/10/2015,Man United,Man City,0,0,6,6,1,1,6,4,17,13,2,2,0,0,D,0,0,D,M Clattenburg,2.6,3.5,2.8,2.65,3.3,2.85,2.6,3.2,2.6
epl,2015-2016,25/10/2015,Sunderland,Newcastle,3,0,9,21,3,8,1,10,12,10,0,2,0,1,H,1,0,H,R Madley,2.6,3.4,2.9,2.55,3.3,2.65,2.3,3.3,2.9
epl,2015-2016,31/10/2015,Chelsea,Liverpool,1,3,8,16,2,7,1,7,9,21,1,4,0,0,A,1,1,D,M Clattenburg,2.1,3.5,3.75,2.1,3.3,3.4,2.1,3.2,3.4
epl,2015-2016,31/10/2015,Crystal Palace,Man United,0,0,10,5,5,1,7,3,12,15,3,3,0,0,D,0,0,D,M Jones,3.8,3.5,2.1,3.4,3.4,2.1,3.4,3.2,2.1
epl,2015-2016,31/10/2015,Man City,Norwich,2,1,21,5,5,3,12,4,4,13,2,2,0,1,H,0,0,D,R Madley,1.29,6,12,1.28,5.75,9,1.22,5.5,12
epl,2015-2016,31/10/2015,Newcastle,Stoke,0,0,15,9,6,2,11,4,6,16,1,3,0,0,D,0,0,D,R East,2.4,3.4,3.2,2.4,3.3,3,2.5,3.3,2.65
epl,2015-2016,31/10/2015,Swansea,Arsenal,0,3,8,15,3,5,4,4,12,7,2,0,0,0,A,0,0,D,K Friend,5,4,1.75,4.5,3.6,1.75,4.7,3.6,1.7
epl,2015-2016,31/10/2015,Watford,West Ham,2,0,20,8,5,3,7,2,16,12,3,0,0,1,H,1,0,H,K Stroud,2.6,3.4,2.9,2.6,3.2,2.7,2.6,3.2,2.6
epl,2015-2016,31/10/2015,West Brom,Leicester,2,3,14,13,6,5,6,4,3,11,0,2,0,0,A,1,0,H,A Taylor,2.9,3.4,2.6,2.6,3.3,2.6,2.65,3.3,2.5
epl,2015-2016,01/11/2015,Everton,Sunderland,6,2,15,17,8,9,6,1,6,5,3,2,0,0,H,2,1,H,A Marriner,1.5,4.5,7.5,1.5,4,6.5,1.5,4,6.1
epl,2015-2016,01/11/2015,Southampton,Bournemouth,2,0,11,16,2,2,4,6,5,5,0,2,1,0,H,2,0,H,C Pawson,1.55,4.33,6.5,1.55,4,5.75,1.55,4,5.5
epl,2015-2016,02/11/2015,Tottenham,Aston Villa,3,1,17,13,6,2,4,3,6,15,0,3,0,0,H,2,0,H,M Dean,1.44,4.75,8,1.42,4.33,7.25,1.4,4.4,7.3
