league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2021-2022,06/08/2021,Monaco,Nantes,1,1,15,5,3,1,5,2,6,14,0,0,0,0,D,1,1,D,1.44,4.33,7,1.45,4.6,7,1.5,4.5,6,1.66,2.2,1.81,2.09,1.4,4.75,7.5,1.4,4.75,8,1.45,4.6,7,1.8,2,2.02,1.91
ligue-1,2021-2022,07/08/2021,Lyon,Brest,1,1,17,13,4,8,9,4,10,12,1,1,0,0,D,0,1,A,1.33,5,8.5,1.36,5.5,7.5,1.35,5.75,7.5,1.36,3.2,1.93,1.97,1.36,5,8.5,1.34,5.5,8.25,1.4,5.25,7.5,1.44,2.75,2,1.93
ligue-1,2021-2022,07/08/2021,Troyes,Paris SG,1,2,15,12,7,3,9,1,3,15,1,4,0,0,A,1,2,A,11,6,1.25,10,6,1.28,11,6,1.27,1.57,2.37,1.89,2.01,9.5,5.25,1.3,8.5,5.5,1.33,8.75,5.25,1.35,1.61,2.3,1.95,1.98
ligue-1,2021-2022,08/08/2021,Rennes,Lens,1,1,10,11,2,6,3,9,10,14,0,2,0,0,D,1,1,D,2,3.4,3.75,2,3.5,3.8,2.05,3.5,3.65,2,1.8,2.04,1.86,1.85,3.4,4.2,1.91,3.6,4,1.9,3.55,4.1,2,1.8,1.93,2
ligue-1,2021-2022,08/08/2021,Bordeaux,Clermont,0,2,10,19,6,10,5,10,13,9,1,0,0,0,A,0,0,D,2,3.4,3.75,2.1,3.3,3.7,2.1,3.35,3.6,2.1,1.72,1.81,2.09,2.45,3.3,2.8,2.5,3.25,2.95,2.6,3.1,2.9,2.2,1.66,1.87,2.06
ligue-1,2021-2022,08/08/2021,Nice,Reims,0,0,12,5,2,0,4,2,10,8,1,1,0,0,D,0,0,D,1.85,3.5,4.2,1.9,3.7,4,1.9,3.6,4.2,2,1.8,1.89,2.01,1.75,3.6,4.75,1.83,3.6,4.5,1.83,3.4,4.7,2.3,1.61,1.83,2.1
ligue-1,2021-2022,08/08/2021,St Etienne,Lorient,1,1,20,12,3,3,8,4,10,14,2,3,0,0,D,0,0,D,2.25,3.25,3.2,2.25,3.4,3.2,2.25,3.5,3.15,1.93,1.93,1.96,1.94,2.1,3.5,3.4,2.25,3.4,3.2,2.2,3.25,3.45,2.1,1.72,1.91,2.02
ligue-1,2021-2022,08/08/2021,Strasbourg,Angers,0,2,7,9,1,2,5,4,18,18,2,3,0,0,A,0,0,D,2,3.2,4,1.95,3.5,4,1.97,3.4,3.95,2.2,1.66,2,1.9,2,3.4,3.75,2,3.4,3.9,2.05,3.35,3.85,2.1,1.72,2.07,1.86
ligue-1,2021-2022,08/08/2021,Metz,Lille,3,3,12,18,5,7,4,5,9,10,1,2,1,0,D,2,1,H,5.25,3.4,1.72,5.75,3.5,1.7,5.25,3.45,1.75,2.3,1.61,1.91,1.99,5,3.4,1.8,4.75,3.3,1.85,4.9,3.3,1.83,2.5,1.53,2.1,1.83
ligue-1,2021-2022,08/08/2021,Montpellier,Marseille,2,3,8,21,1,7,6,11,10,5,0,1,0,0,A,2,0,H,3.2,3.4,2.2,3.1,3.5,2.25,3.05,3.45,2.3,1.9,1.9,1.89,2.01,3.75,3.5,2,3.6,3.4,2.1,3.5,3.55,2.05,1.8,2,1.84,2.09
