league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2020-2021,18/09/2020,Bayern Munich,Schalke 04,8,0,22,5,12,1,9,2,11,12,1,2,0,0,H,3,0,H,1.1,11,21,1.11,11,16.5,1.15,8,18,1.22,4.33,1.86,2.07,1.1,11,21,1.1,12,18.5,1.15,8,18,1.22,4.33,1.89,2.04
bundesliga,2020-2021,19/09/2020,Ein Frankfurt,Bielefeld,1,1,18,14,6,4,14,3,14,13,2,2,0,0,D,0,0,D,1.61,4.2,5.25,1.65,4.1,5,1.7,4,4.7,1.57,2.37,2.05,1.75,1.72,4,4.5,1.75,3.9,4.5,1.8,3.9,4.2,1.61,2.3,1.96,1.97
bundesliga,2020-2021,19/09/2020,FC Koln,Hoffenheim,2,3,13,13,6,7,1,6,12,13,0,0,0,0,A,1,2,A,2.6,3.5,2.6,2.55,3.6,2.65,2.6,3.55,2.6,1.57,2.37,1.96,1.97,2.5,3.75,2.62,2.65,3.4,2.65,2.6,3.55,2.6,1.61,2.3,1.91,2.02
bundesliga,2020-2021,19/09/2020,Stuttgart,Freiburg,2,3,22,7,7,6,7,2,12,16,2,2,0,0,A,0,2,A,2.25,3.5,3.1,2.3,3.4,3.1,2.3,3.4,3.1,1.8,2,1.98,1.95,2.1,3.75,3.25,2.15,3.7,3.2,2.15,3.5,3.35,1.57,2.37,1.92,2.01
bundesliga,2020-2021,19/09/2020,Union Berlin,Augsburg,1,3,13,9,3,5,8,1,9,9,2,0,0,0,A,0,1,A,2.3,3.3,3.2,2.35,3.25,3.2,2.3,3.3,3.2,2,1.8,2.02,1.91,2.3,3.3,3.2,2.35,3.25,3.2,2.3,3.3,3.2,2.2,1.66,2.02,1.91
bundesliga,2020-2021,19/09/2020,Werder Bremen,Hertha,1,4,17,13,7,6,7,4,13,17,2,0,0,0,A,0,2,A,2.6,3.5,2.62,2.65,3.5,2.6,2.65,3.4,2.65,1.72,2.1,1.94,1.99,2.45,3.5,2.8,2.55,3.4,2.75,2.65,3.4,2.65,1.8,2,1.87,2.06
bundesliga,2020-2021,19/09/2020,Dortmund,M'gladbach,3,0,9,8,4,2,1,3,10,9,1,1,0,0,H,1,0,H,1.6,4.33,5,1.62,4.25,5,1.67,4.3,4.6,1.44,2.75,1.72,2.07,1.6,4.2,5.25,1.65,4.1,5,1.65,4,5.25,1.66,2.2,2.02,1.77
bundesliga,2020-2021,20/09/2020,RB Leipzig,Mainz,3,1,23,8,10,1,7,5,5,11,1,2,0,0,H,2,0,H,1.33,5.75,8,1.36,5.75,7,1.4,5.5,6.75,1.36,3.2,2.01,1.92,1.36,5.25,7.5,1.4,5.25,6.75,1.4,5.5,6.75,1.4,3,2.07,1.86
bundesliga,2020-2021,20/09/2020,Wolfsburg,Leverkusen,0,0,9,6,1,2,4,4,13,12,1,2,0,0,D,0,0,D,2.87,3.5,2.37,2.95,3.4,2.4,2.7,3.6,2.5,1.72,2.1,1.79,2.11,3.1,3.6,2.2,3.1,3.5,2.25,2.95,3.6,2.3,1.61,2.3,1.85,2.05
bundesliga,2020-2021,25/09/2020,Hertha,Ein Frankfurt,1,3,12,10,6,3,4,3,13,16,3,4,0,0,A,0,2,A,2.25,3.75,2.9,2.25,3.7,2.95,2.35,3.7,2.8,1.53,2.5,2.04,1.89,2.25,3.75,2.9,2.3,3.75,2.85,2.35,3.75,2.85,1.53,2.5,2.05,1.88
bundesliga,2020-2021,26/09/2020,Augsburg,Dortmund,2,0,6,16,4,7,3,11,7,8,3,4,0,0,H,1,0,H,7,4.75,1.44,6.75,4.75,1.44,6.75,4.7,1.43,1.53,2.5,1.98,1.95,6.5,4.5,1.44,6.75,4.75,1.44,7,4.7,1.45,1.66,2.2,1.75,2.05
bundesliga,2020-2021,26/09/2020,Bielefeld,FC Koln,1,0,7,12,3,2,4,7,12,15,3,3,0,0,H,0,0,D,2.62,3.5,2.6,2.75,3.5,2.5,2.7,3.3,2.55,1.66,2.2,2.04,1.89,2.37,3.5,2.9,2.45,3.5,2.8,2.5,3.25,2.8,1.72,2.1,1.72,2.07
bundesliga,2020-2021,26/09/2020,Leverkusen,RB Leipzig,1,1,11,7,4,2,4,1,16,10,1,3,0,0,D,1,1,D,3,3.5,2.3,3,3.5,2.3,3.05,3.45,2.25,1.57,2.37,1.94,1.99,3.25,3.6,2.1,3.1,3.6,2.2,3.1,3.5,2.2,1.53,2.5,1.99,1.94
bundesliga,2020-2021,26/09/2020,Mainz,Stuttgart,1,4,11,15,3,7,3,9,10,17,2,4,1,1,A,1,1,D,2.37,3.5,2.9,2.35,3.5,2.95,2.45,3.35,2.8,1.61,2.3,2.08,1.85,2.45,3.6,2.7,2.5,3.5,2.75,2.5,3.35,2.75,1.5,2.62,1.85,2.08
bundesliga,2020-2021,26/09/2020,M'gladbach,Union Berlin,1,1,14,15,5,2,7,5,11,15,1,2,0,0,D,0,0,D,1.44,4.5,7.5,1.45,4.5,7.25,1.45,4.4,7,1.72,2.1,2.02,1.91,1.44,4.33,7.5,1.45,4.5,7.25,1.5,4.6,6.5,1.66,2.2,2.03,1.9
bundesliga,2020-2021,26/09/2020,Schalke 04,Werder Bremen,1,3,17,17,4,8,8,3,20,14,7,2,1,0,A,0,2,A,2.5,3.4,2.8,2.55,3.4,2.75,2.55,3.2,2.75,1.72,2.1,1.88,2.05,2.6,3.4,2.62,2.7,3.4,2.6,2.65,3.3,2.7,1.9,1.9,1.91,2.02
bundesliga,2020-2021,27/09/2020,Hoffenheim,Bayern Munich,4,1,17,14,8,2,3,5,15,11,3,2,0,0,H,2,1,H,11,7.5,1.2,10,6.75,1.25,12,7.5,1.2,1.25,4,1.9,2.03,12,8,1.18,9.5,7.75,1.22,9,7.25,1.25,1.22,4.33,1.99,1.94
