league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2019-2020,25/08/2019,Hertha,Wolfsburg,0,3,8,9,2,4,2,5,15,11,1,0,0,0,A,0,1,A,2.4,3.4,2.9,2.4,3.5,2.7,2.5,3.4,2.75,1.72,2.1,2.11,1.82,2.4,3.4,2.9,2.45,3.5,2.8,2.5,3.4,2.75,1.72,2.1,1.87,2.06
bundesliga,2019-2020,30/08/2019,M'gladbach,RB Leipzig,1,3,11,14,3,6,9,5,17,19,3,2,0,0,A,0,1,A,3.2,4,2.05,3.2,3.8,2.1,3.4,3.5,2.1,1.57,2.37,2.03,1.9,3.1,3.6,2.2,3.2,3.8,2.1,3.3,3.7,2.1,1.53,2.5,1.93,2
bundesliga,2019-2020,31/08/2019,Bayern Munich,Mainz,6,1,19,7,10,4,10,1,16,12,3,3,0,0,H,2,1,H,1.08,11,26,1.09,10.5,26,1.12,9,20,1.25,4,1.9,2.03,1.08,11,26,1.09,10.5,26,1.12,9,20,1.22,4.33,2.05,1.88
bundesliga,2019-2020,31/08/2019,Freiburg,FC Koln,1,2,14,9,1,3,5,6,6,15,0,2,0,0,A,1,0,H,2.37,3.5,3,2.45,3.5,2.8,2.45,3.5,2.8,1.72,2.1,2.05,1.75,2.6,3.4,2.62,2.55,3.5,2.7,2.6,3.45,2.65,1.66,2.2,1.97,1.96
bundesliga,2019-2020,31/08/2019,Leverkusen,Hoffenheim,0,0,20,6,2,1,19,0,7,11,2,2,0,0,D,0,0,D,1.53,4.75,5.25,1.55,5,5,1.57,4.75,5,1.36,3.2,1.9,2.03,1.45,5,6.5,1.55,5,5,1.57,4.6,5,1.4,3,2.01,1.92
bundesliga,2019-2020,31/08/2019,Schalke 04,Hertha,3,0,9,9,2,3,5,3,13,9,1,1,0,0,H,1,0,H,2.1,3.6,3.4,2.1,3.5,3.5,2.1,3.5,3.45,1.9,1.9,1.86,2.07,2,3.6,3.6,2.1,3.5,3.5,2.05,3.55,3.5,1.8,2,1.84,2.09
bundesliga,2019-2020,31/08/2019,Wolfsburg,Paderborn,1,1,15,7,5,3,8,3,8,12,0,3,0,0,D,0,1,A,1.44,5,6,1.42,5,6.75,1.45,4.8,6.5,1.36,3.2,2,1.93,1.44,4.75,6,1.42,5,6.75,1.45,4.8,6.5,1.36,3.2,2.01,1.92
bundesliga,2019-2020,31/08/2019,Union Berlin,Dortmund,3,1,15,13,7,2,7,4,13,2,0,0,0,0,H,1,1,D,10,5.75,1.28,9.75,5.75,1.3,9.1,5.7,1.3,1.44,2.75,1.94,1.99,8,5,1.36,7.5,5,1.4,9.1,5.7,1.3,1.44,2.75,1.72,2.07
bundesliga,2019-2020,01/09/2019,Werder Bremen,Augsburg,3,2,15,12,5,6,4,2,9,11,1,4,0,1,H,2,1,H,1.72,4,4.5,1.65,4.1,5,1.7,4.15,4.55,1.61,2.3,1.91,2.02,1.5,4.2,6.5,1.53,4.5,5.75,1.7,3.9,4.8,1.44,2.75,1.9,2.03
bundesliga,2019-2020,01/09/2019,Ein Frankfurt,Fortuna Dusseldorf,2,1,15,14,8,4,4,1,13,15,2,4,0,0,H,0,1,A,1.66,4,4.75,1.7,4,4.75,1.7,4.15,4.5,1.57,2.37,1.88,2.05,1.57,4.2,5.25,1.57,4.25,5.5,1.6,4,5.5,1.5,2.62,2.02,1.91
bundesliga,2019-2020,13/09/2019,Fortuna Dusseldorf,Wolfsburg,1,1,12,15,3,6,3,8,7,14,0,2,0,0,D,1,1,D,3.1,3.5,2.25,2.95,3.6,2.3,3.05,3.4,2.3,1.66,2.2,1.92,2.01,3.1,3.6,2.2,3.1,3.7,2.2,3.05,3.4,2.3,1.66,2.2,1.96,1.97
bundesliga,2019-2020,14/09/2019,Augsburg,Ein Frankfurt,2,1,9,23,6,3,2,11,8,8,2,1,0,0,H,2,0,H,3.5,3.6,2.05,3.5,3.75,2,3.4,3.5,2.1,1.61,2.3,2.05,1.75,4,3.8,1.83,3.7,3.9,1.91,3.7,3.5,2,1.44,2.75,2.03,1.9
