league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
la-liga,2017-2018,18/08/17,Leganes,Alaves,1,0,16,6,9,3,4,2,14,18,0,1,0,0,H,1,0,H,2.05,3.2,4.1,2.05,3.1,4.1,2.1,3.4,3.5
la-liga,2017-2018,18/08/17,Valencia,Las Palmas,1,0,22,5,6,4,5,2,25,13,3,3,0,1,H,1,0,H,1.75,3.8,4.5,1.75,3.9,4.6,1.75,3.6,4.8
la-liga,2017-2018,19/08/17,Celta,Sociedad,2,3,16,13,5,6,5,4,12,11,3,1,0,0,A,1,1,D,2.38,3.25,3.2,2.4,3.3,3,2.5,3.3,2.85
la-liga,2017-2018,19/08/17,Girona,Ath Madrid,2,2,13,9,6,3,6,0,15,15,2,4,0,1,D,2,0,H,8,4.33,1.45,7.5,4.33,1.45,7.2,4.4,1.45
la-liga,2017-2018,19/08/17,Sevilla,Espanol,1,1,9,9,4,6,7,3,14,12,2,4,1,0,D,1,1,D,1.62,4,5.5,1.62,3.9,5.75,1.55,4,6.2
la-liga,2017-2018,20/08/17,Ath Bilbao,Getafe,0,0,12,8,2,2,7,6,16,15,1,3,0,1,D,0,0,D,1.5,4,7.5,1.48,4.25,7,1.5,4.2,6.5
la-liga,2017-2018,20/08/17,Barcelona,Betis,2,0,15,3,2,0,8,0,16,15,2,1,0,0,H,2,0,H,1.17,8,15,1.18,7.5,14.5,1.17,7.5,15
la-liga,2017-2018,20/08/17,La Coruna,Real Madrid,0,3,12,16,6,8,4,4,16,12,5,1,0,1,A,0,2,A,9.5,5.75,1.3,9.25,5.75,1.3,7.5,5.5,1.35
la-liga,2017-2018,21/08/17,Levante,Villarreal,1,0,14,9,3,1,11,6,18,14,1,3,0,0,H,0,0,D,3.25,3.25,2.3,3.25,3.2,2.3,3.3,3.35,2.2
la-liga,2017-2018,21/08/17,Malaga,Eibar,0,1,10,13,4,6,3,7,16,15,2,3,0,0,A,0,0,D,2.1,3.3,3.7,2.15,3.3,3.5,2.1,3.4,3.5
la-liga,2017-2018,25/08/17,Betis,Celta,2,1,10,9,3,2,4,6,13,9,2,2,0,0,H,1,1,D,2.2,3.4,3.4,2.25,3.3,3.3,2.4,3.3,2.95
la-liga,2017-2018,25/08/17,Sociedad,Villarreal,3,0,15,6,9,1,10,4,12,22,2,2,0,0,H,3,0,H,2.05,3.4,3.75,2.1,3.3,3.7,2.2,3.35,3.3
la-liga,2017-2018,26/08/17,Alaves,Barcelona,0,2,11,23,2,11,1,14,12,10,2,3,0,0,A,0,0,D,10,5.75,1.29,10,5.5,1.3,8,5.5,1.33
la-liga,2017-2018,26/08/17,Girona,Malaga,1,0,15,7,4,2,2,3,11,15,3,4,0,0,H,1,0,H,2.15,3.25,3.6,2.15,3.2,3.7,2.2,3.35,3.3
la-liga,2017-2018,26/08/17,Las Palmas,Ath Madrid,1,5,10,8,4,6,4,2,10,9,4,1,0,0,A,0,2,A,4.75,3.75,1.75,4.75,3.7,1.75,4.8,3.6,1.75
la-liga,2017-2018,26/08/17,Levante,La Coruna,2,2,24,11,5,4,6,5,11,12,0,2,1,0,D,1,2,A,2.2,3.1,3.6,2.2,3.25,3.5,2.2,3.35,3.3
la-liga,2017-2018,27/08/17,Eibar,Ath Bilbao,0,1,14,10,5,4,4,3,14,11,1,1,1,0,A,0,1,A,2.5,3.1,3.1,2.5,3.2,2.95,2.7,3.3,2.6
la-liga,2017-2018,27/08/17,Espanol,Leganes,0,1,17,12,2,8,9,1,10,14,3,3,0,0,A,0,1,A,1.95,3.25,4.33,1.91,3.25,4.6,2,3.4,3.8
la-liga,2017-2018,27/08/17,Getafe,Sevilla,0,1,15,6,3,3,7,5,20,10,0,1,0,0,A,0,0,D,3.6,3.3,2.15,3.6,3.4,2.1,3.3,3.35,2.2
la-liga,2017-2018,27/08/17,Real Madrid,Valencia,2,2,22,7,6,3,13,4,12,12,3,5,0,0,D,1,1,D,1.17,8,15,1.15,8.25,16,1.17,7.5,15
la-liga,2017-2018,08/09/17,Leganes,Getafe,1,2,11,11,7,3,2,4,14,20,1,2,0,0,A,0,1,A,2.05,3.25,4,2.05,3.2,4,2,3.4,3.8
la-liga,2017-2018,09/09/17,Barcelona,Espanol,5,0,20,9,9,1,8,7,11,18,1,5,0,0,H,2,0,H,1.17,8,17,1.17,7.25,18,1.17,7.5,15
la-liga,2017-2018,09/09/17,Real Madrid,Levante,1,1,18,5,10,2,13,3,9,16,2,3,1,0,D,1,1,D,1.05,15,34,1.07,12,31,1.1,9,27
la-liga,2017-2018,09/09/17,Sevilla,Eibar,3,0,12,7,6,2,6,5,14,18,1,1,0,0,H,0,0,D,1.57,4,6,1.57,4,6,1.6,3.9,5.7
la-liga,2017-2018,09/09/17,Valencia,Ath Madrid,0,0,11,13,0,4,4,3,16,14,1,0,0,0,D,0,0,D,3.6,3.2,2.2,3.4,3.4,2.15,3.3,3.35,2.2
la-liga,2017-2018,10/09/17,Ath Bilbao,Girona,2,0,7,11,4,7,6,4,19,18,4,6,0,0,H,1,0,H,1.67,3.75,5.5,1.67,3.8,5.25,1.75,3.6,4.8
la-liga,2017-2018,10/09/17,Celta,Alaves,1,0,20,5,3,3,9,4,17,17,4,4,0,0,H,1,0,H,1.67,3.75,5.25,1.75,3.6,5,1.8,3.6,4.5
la-liga,2017-2018,10/09/17,La Coruna,Sociedad,2,4,11,15,4,4,5,7,18,14,1,3,0,0,A,1,2,A,2.75,3.3,2.6,2.75,3.3,2.6,2.7,3.3,2.6
la-liga,2017-2018,10/09/17,Villarreal,Betis,3,1,14,8,7,3,4,3,9,9,3,0,0,0,H,1,1,D,1.85,3.6,4.33,1.87,3.5,4.4,1.8,3.6,4.5
la-liga,2017-2018,11/09/17,Malaga,Las Palmas,1,3,14,10,6,8,3,2,22,11,4,2,0,0,A,0,1,A,2,3.5,3.8,2,3.5,3.8,1.9,3.5,4.1
la-liga,2017-2018,15/09/17,Eibar,Leganes,1,0,10,5,4,2,8,1,15,20,2,5,0,0,H,0,0,D,2.05,3.25,4,2.05,3.2,4,2.1,3.4,3.5
la-liga,2017-2018,16/09/17,Ath Madrid,Malaga,1,0,17,9,4,4,8,4,9,15,2,2,0,0,H,0,0,D,1.22,6,15,1.22,6.25,14,1.3,5.8,9
la-liga,2017-2018,16/09/17,Betis,La Coruna,2,1,17,11,7,3,6,4,13,19,2,3,0,0,H,1,1,D,1.83,3.6,4.5,1.85,3.6,4.4,1.85,3.5,4.3
la-liga,2017-2018,16/09/17,Getafe,Barcelona,1,2,13,7,4,5,3,4,15,14,2,4,0,0,A,1,0,H,11,6.5,1.25,12.5,6.5,1.22,9,5.8,1.3
la-liga,2017-2018,16/09/17,Levante,Valencia,1,1,9,13,2,5,1,3,21,11,2,1,0,0,D,1,1,D,3.25,3.25,2.3,3.1,3.25,2.4,3.15,3.3,2.3
la-liga,2017-2018,17/09/17,Alaves,Villarreal,0,3,16,16,2,6,2,3,12,25,2,2,0,0,A,0,1,A,3.1,3.1,2.4,3.1,3.2,2.4,2.65,3.3,2.65
la-liga,2017-2018,17/09/17,Girona,Sevilla,0,1,13,13,0,8,8,1,14,19,2,5,0,0,A,0,0,D,3.3,3.25,2.3,3.2,3.4,2.25,3.25,3.4,2.2
la-liga,2017-2018,17/09/17,Las Palmas,Ath Bilbao,1,0,12,11,3,5,7,6,12,19,2,3,0,0,H,0,0,D,2.75,3.4,2.55,2.75,3.3,2.6,2.95,3.3,2.4
la-liga,2017-2018,17/09/17,Sociedad,Real Madrid,1,3,10,18,5,6,4,6,12,15,3,2,0,0,A,1,2,A,5,4,1.67,4.75,4.2,1.67,5,4,1.65
la-liga,2017-2018,18/09/17,Espanol,Celta,2,1,9,11,3,1,3,5,12,14,1,4,0,0,H,2,0,H,2.3,3.3,3.2,2.3,3.2,3.3,2.3,3.3,3.15
la-liga,2017-2018,19/09/17,Barcelona,Eibar,6,1,11,13,10,4,7,7,4,9,0,2,0,0,H,2,0,H,1.11,10,15,1.12,10,17.5,1.1,9,27
la-liga,2017-2018,19/09/17,Valencia,Malaga,5,0,16,11,11,2,4,9,9,10,0,1,0,0,H,1,0,H,1.5,4,7,1.53,4.2,6.5,1.6,4,5.5
la-liga,2017-2018,20/09/17,Ath Bilbao,Ath Madrid,1,2,12,16,7,9,6,0,12,12,0,2,0,0,A,0,0,D,3.4,3.2,2.25,3.4,3.25,2.25,3.15,3.3,2.3
