league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
epl,2018-2019,10/08/2018,Man United,Leicester,2,1,8,13,6,4,2,5,11,8,2,1,0,0,H,1,0,H,A Marriner,1.57,3.9,7.5,1.53,4,7.5,1.55,3.8,7
epl,2018-2019,11/08/2018,Bournemouth,Cardiff,2,0,12,10,4,1,7,4,11,9,1,1,0,0,H,1,0,H,K Friend,1.9,3.6,4.5,1.9,3.4,4.4,1.9,3.5,4.1
epl,2018-2019,11/08/2018,Fulham,Crystal Palace,0,2,15,10,6,9,5,5,9,11,1,2,0,0,A,0,1,A,M Dean,2.5,3.4,3,2.45,3.3,2.95,2.4,3.3,2.95
epl,2018-2019,11/08/2018,Huddersfield,Chelsea,0,3,6,13,1,4,2,5,9,8,2,1,0,0,A,0,2,A,C Kavanagh,6.5,4,1.61,6.25,3.9,1.57,6.2,4,1.55
epl,2018-2019,11/08/2018,Newcastle,Tottenham,1,2,15,15,2,5,3,5,11,12,2,2,0,0,A,1,2,A,M Atkinson,3.9,3.5,2.04,3.8,3.5,2,3.7,3.35,2.05
epl,2018-2019,11/08/2018,Watford,Brighton,2,0,19,6,5,0,8,2,10,16,2,2,0,0,H,1,0,H,J Moss,2.37,3.2,3.4,2.35,3.1,3.3,2.2,3.3,3.4
epl,2018-2019,11/08/2018,Wolves,Everton,2,2,11,6,4,5,3,6,8,7,0,1,0,1,D,1,1,D,C Pawson,2.37,3.3,3.3,2.35,3.2,3.2,2.25,3.35,3.2
epl,2018-2019,12/08/2018,Arsenal,Man City,0,2,9,17,3,8,2,9,11,14,2,2,0,0,A,0,1,A,M Oliver,4,3.8,1.95,3.7,3.75,1.95,3.6,3.6,2
epl,2018-2019,12/08/2018,Liverpool,West Ham,4,0,18,5,8,2,5,4,14,9,1,2,0,0,H,2,0,H,A Taylor,1.25,6.5,14,1.2,6.75,14,1.25,6.1,11
epl,2018-2019,12/08/2018,Southampton,Burnley,0,0,18,16,3,6,8,5,10,9,0,1,0,0,D,0,0,D,G Scott,1.85,3.5,5,1.8,3.5,4.75,1.8,3.6,4.5
epl,2018-2019,18/08/2018,Cardiff,Newcastle,0,0,12,12,1,6,5,5,14,16,2,2,0,1,D,0,0,D,C Pawson,3.25,3.1,2.54,3.1,3.1,2.45,2.9,3.2,2.5
epl,2018-2019,18/08/2018,Chelsea,Arsenal,3,2,24,15,11,6,5,1,12,9,0,2,0,0,H,2,2,D,M Atkinson,1.8,4,4.5,1.78,3.8,4.5,1.8,3.8,4.2
epl,2018-2019,18/08/2018,Everton,Southampton,2,1,13,15,7,4,2,5,8,20,0,5,0,0,H,2,0,H,L Mason,1.9,3.5,4.75,1.91,3.3,4.5,2,3.25,4
epl,2018-2019,18/08/2018,Leicester,Wolves,2,0,6,11,2,3,1,9,10,8,2,1,1,0,H,2,0,H,M Dean,2.04,3.5,3.9,2,3.5,3.8,2.1,3.3,3.6
epl,2018-2019,18/08/2018,Tottenham,Fulham,3,1,25,10,11,3,5,2,9,5,0,0,0,0,H,1,0,H,A Taylor,1.28,6,12,1.28,6,10,1.27,6,10
epl,2018-2019,18/08/2018,West Ham,Bournemouth,1,2,11,12,5,5,6,4,14,10,6,2,0,0,A,1,0,H,S Attwell,2.1,3.6,3.7,2.1,3.3,3.75,2.05,3.55,3.55
epl,2018-2019,19/08/2018,Brighton,Man United,3,2,6,9,3,3,3,5,16,13,1,1,0,0,H,3,1,H,K Friend,5.5,3.6,1.75,5.5,3.6,1.7,5.1,3.5,1.75
epl,2018-2019,19/08/2018,Burnley,Watford,1,3,8,9,3,6,5,2,8,19,1,2,0,0,A,1,1,D,P Tierney,2.45,3.1,3.4,2.4,3.1,3.2,2.4,3.1,3.15
epl,2018-2019,19/08/2018,Man City,Huddersfield,6,1,32,5,14,1,10,3,9,4,0,2,0,0,H,3,1,H,A Marriner,1.1,13,26,1.07,12,31,1.08,10.5,29
epl,2018-2019,20/08/2018,Crystal Palace,Liverpool,0,2,8,16,2,6,6,7,6,13,1,1,1,0,A,0,1,A,M Oliver,7,5,1.44,6.75,4.75,1.44,7,4.5,1.45
epl,2018-2019,25/08/2018,Arsenal,West Ham,3,1,17,13,10,5,10,2,16,13,1,3,0,0,H,1,1,D,G Scott,1.36,5.5,9,1.36,5.25,7.75,1.4,4.8,7.5
epl,2018-2019,25/08/2018,Bournemouth,Everton,2,2,17,11,5,3,6,2,12,10,0,3,1,1,D,0,0,D,L Probert,2.62,3.6,2.75,2.6,3.4,2.7,2.55,3.5,2.65
epl,2018-2019,25/08/2018,Huddersfield,Cardiff,0,0,5,14,1,4,7,7,8,10,0,1,1,0,D,0,0,D,M Oliver,2.37,3,3.7,2.25,3.1,3.5,2.3,3,3.55
epl,2018-2019,25/08/2018,Liverpool,Brighton,1,0,22,6,8,2,8,5,8,14,1,1,0,0,H,1,0,H,C Kavanagh,1.16,8.5,19,1.16,7.5,17.5,1.15,7.9,18
epl,2018-2019,25/08/2018,Southampton,Leicester,1,2,11,8,5,5,10,3,13,11,1,1,1,0,A,0,0,D,J Moss,2.45,3.2,3.25,2.4,3.2,3.1,2.4,3.15,3.1
epl,2018-2019,25/08/2018,Wolves,Man City,1,1,11,18,2,6,5,9,13,8,1,2,0,0,D,0,0,D,M Atkinson,11,6.5,1.28,10,6.75,1.25,11,6.1,1.25
epl,2018-2019,26/08/2018,Fulham,Burnley,4,2,25,12,12,2,6,4,11,8,2,1,0,0,H,3,2,H,D Coote,2,3.4,4.33,2,3.3,4,1.97,3.35,4.1
epl,2018-2019,26/08/2018,Newcastle,Chelsea,1,2,6,15,2,3,4,5,16,8,3,1,0,0,A,0,0,D,P Tierney,5.75,4,1.66,5.25,3.8,1.67,5,3.75,1.7
epl,2018-2019,26/08/2018,Watford,Crystal Palace,2,1,13,9,5,3,6,3,14,11,4,2,0,0,H,0,0,D,A Taylor,2.6,3.25,3,2.55,3.1,2.95,2.5,3.2,2.95
epl,2018-2019,27/08/2018,Man United,Tottenham,0,3,23,9,5,5,5,2,11,16,2,4,0,0,A,0,0,D,C Pawson,2.62,3.3,2.9,2.55,3.2,2.9,2.6,3.25,2.75
epl,2018-2019,01/09/2018,Brighton,Fulham,2,2,15,10,5,5,7,1,12,14,3,3,0,0,D,0,1,A,L Probert,2.3,3.4,3.4,2.2,3.3,3.4,2.2,3.3,3.4
epl,2018-2019,01/09/2018,Chelsea,Bournemouth,2,0,24,8,6,1,7,6,10,7,2,2,0,0,H,0,0,D,L Mason,1.3,6,11,1.28,6,9.5,1.27,6,10
epl,2018-2019,01/09/2018,Crystal Palace,Southampton,0,2,20,19,6,6,7,4,11,12,1,1,0,0,A,0,0,D,M Atkinson,2,3.5,4.2,1.95,3.4,4.1,2,3.4,3.8
epl,2018-2019,01/09/2018,Everton,Huddersfield,1,1,11,9,1,6,4,3,13,14,3,3,0,0,D,1,1,D,S Attwell,1.53,4.2,7.5,1.5,4,7.5,1.6,4,5.5
epl,2018-2019,01/09/2018,Leicester,Liverpool,1,2,12,10,5,4,4,4,9,12,3,2,0,0,A,0,2,A,P Tierney,7.5,5,1.44,6.5,4.75,1.45,6.5,4.3,1.5
epl,2018-2019,01/09/2018,Man City,Newcastle,2,1,24,3,8,2,4,0,5,13,0,0,0,0,H,1,1,D,K Friend,1.11,11,26,1.12,9.5,18.5,1.12,9,20
