league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
epl,2016-2017,13/08/16,Burnley,Swansea,0,1,10,17,3,9,7,4,10,14,3,2,0,0,A,0,0,D,J Moss,2.4,3.3,3.25,2.45,3.1,2.95,2.5,3.3,2.65
epl,2016-2017,13/08/16,Crystal Palace,West Brom,0,1,14,13,4,3,3,6,12,15,2,2,0,0,A,0,0,D,C Pawson,2,3.3,4.5,2,3.2,3.9,2.1,3.3,3.3
epl,2016-2017,13/08/16,Everton,Tottenham,1,1,12,13,6,4,5,6,10,14,0,0,0,0,D,1,0,H,M Atkinson,3.2,3.4,2.4,2.95,3.2,2.4,2.65,3.3,2.5
epl,2016-2017,13/08/16,Hull,Leicester,2,1,14,18,5,5,5,3,8,17,2,2,0,0,H,1,0,H,M Dean,4.5,3.6,1.91,4.33,3.4,1.9,3.3,3.3,2.1
epl,2016-2017,13/08/16,Man City,Sunderland,2,1,16,7,4,3,9,6,11,14,1,2,0,0,H,1,0,H,R Madley,1.25,6.5,15,1.22,6,11.5,1.25,5.5,10.3
epl,2016-2017,13/08/16,Middlesbrough,Stoke,1,1,12,12,2,1,9,6,18,14,3,5,0,0,D,1,0,H,K Friend,2.38,3.2,3.4,2.25,3.1,3.25,2.3,3.3,2.9
epl,2016-2017,13/08/16,Southampton,Watford,1,1,24,5,6,1,6,2,8,12,1,2,0,1,D,0,1,A,R East,1.8,3.75,5,1.8,3.4,4.5,1.8,3.5,4.2
epl,2016-2017,14/08/16,Arsenal,Liverpool,3,4,9,16,5,7,5,4,13,17,3,3,0,0,A,1,1,D,M Oliver,2.4,3.5,3.1,2.35,3.3,2.9,2.3,3.3,2.9
epl,2016-2017,14/08/16,Bournemouth,Man United,1,3,9,11,3,7,4,2,7,10,0,1,0,0,A,0,1,A,A Marriner,4.75,3.6,1.85,4.6,3.5,1.75,4.5,3.5,1.75
epl,2016-2017,15/08/16,Chelsea,West Ham,2,1,16,7,6,3,7,1,16,16,5,2,0,0,H,0,0,D,A Taylor,1.65,4,6,1.6,3.75,5.5,1.65,3.6,5.1
epl,2016-2017,19/08/16,Man United,Southampton,2,0,12,13,5,1,4,0,11,8,0,0,0,0,H,1,0,H,A Taylor,1.53,4.2,7.5,1.48,4.33,8,1.4,4.4,7.3
epl,2016-2017,20/08/16,Burnley,Liverpool,2,0,3,26,2,5,1,12,14,5,0,1,0,0,H,2,0,H,L Mason,6.5,4.2,1.57,6.5,4,1.55,5.6,3.9,1.55
epl,2016-2017,20/08/16,Leicester,Arsenal,0,0,8,13,1,4,2,7,11,7,1,2,0,0,D,0,0,D,M Clattenburg,2.88,3.6,2.5,2.75,3.6,2.45,2.75,3.3,2.4
epl,2016-2017,20/08/16,Stoke,Man City,1,4,8,12,3,6,7,7,12,13,3,4,0,0,A,0,2,A,M Dean,5.5,3.8,1.73,5.25,3.8,1.67,4.7,3.6,1.7
epl,2016-2017,20/08/16,Swansea,Hull,0,2,13,12,3,4,8,3,7,10,0,0,0,0,A,0,0,D,S Attwell,1.8,3.6,5.25,1.75,3.6,5,1.8,3.5,4.2
epl,2016-2017,20/08/16,Tottenham,Crystal Palace,1,0,20,10,5,2,10,4,19,9,3,3,0,0,H,0,0,D,M Oliver,1.45,4.75,8,1.44,4.5,7.75,1.5,4,6.1
