league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2024-2025,31/08/2024,Arsenal,Brighton,1,1,11,22,7,4,3,7,12,7,3,2,1,0,D,1,0,H,C Kavanagh,1.33,5.5,8.5,1.36,5.5,8,1.53,2.5,2.01,1.89,1.36,5.25,7.5,1.37,5.5,7.5,1.53,2.5,2.08,1.85
epl,2024-2025,31/08/2024,Brentford,Southampton,3,1,20,18,7,6,2,8,10,7,2,1,0,0,H,1,0,H,J Smith,1.75,3.9,4.33,1.75,3.9,4.4,1.73,2.1,2.01,1.89,1.8,3.9,4.33,1.8,3.8,4.33,1.8,2,2.08,1.85
epl,2024-2025,31/08/2024,Everton,Bournemouth,2,3,18,17,8,7,8,4,6,1,2,1,0,0,A,0,0,D,S Attwell,2.75,3.4,2.55,2.65,3.4,2.6,1.92,1.98,2.01,1.89,3,3.4,2.35,2.85,3.4,2.45,1.87,2.03,1.85,2.08
epl,2024-2025,31/08/2024,Ipswich,Fulham,1,1,11,9,4,4,8,6,15,15,2,3,0,0,D,1,1,D,L Smith,3,3.5,2.3,3.1,3.5,2.25,1.84,2.06,1.87,2.03,3,3.4,2.38,2.95,3.4,2.4,1.95,1.95,1.82,2.11
epl,2024-2025,31/08/2024,Leicester,Aston Villa,1,2,9,10,3,5,1,4,13,21,4,5,0,0,A,0,1,A,D Coote,4.5,4,1.7,4.4,3.9,1.77,1.67,2.2,1.95,1.95,4,3.7,1.85,3.8,3.7,1.95,1.73,2.1,1.99,1.94
epl,2024-2025,31/08/2024,Nott'm Forest,Wolves,1,1,16,11,5,3,7,3,15,18,3,4,0,0,D,1,1,D,S Hooper,2,3.7,3.7,2.1,3.6,3.5,1.85,2.05,2.03,1.87,1.95,3.6,3.7,2,3.6,3.7,1.91,1.99,2.01,1.92
epl,2024-2025,31/08/2024,West Ham,Man City,1,3,10,23,2,8,3,11,10,3,3,2,0,0,A,1,2,A,M Oliver,7,5.5,1.38,7.25,5.25,1.39,1.44,2.75,1.86,2.04,7.5,5,1.4,6.75,5,1.42,1.53,2.5,1.98,1.95
epl,2024-2025,01/09/2024,Chelsea,Crystal Palace,1,1,13,9,7,3,4,5,9,13,4,2,0,0,D,1,0,H,J Gillett,1.6,4.33,5,1.6,4.4,5,1.5,2.63,2.04,1.86,1.65,4.33,4.75,1.65,4.2,4.8,1.53,2.5,1.83,2.1
epl,2024-2025,01/09/2024,Newcastle,Tottenham,2,1,9,20,3,6,7,12,16,13,4,4,0,0,H,1,0,H,R Jones,2.5,4,2.5,2.45,4,2.55,1.36,3.2,1.95,1.95,2.45,3.9,2.55,2.4,3.8,2.7,1.4,3,1.89,2.04
epl,2024-2025,01/09/2024,Man United,Liverpool,0,3,8,11,3,3,5,2,7,7,4,1,0,0,A,0,2,A,A Taylor,3.7,4.2,1.85,3.7,4.1,1.87,1.44,2.75,2.04,1.86,3.5,4.1,1.91,3.5,3.9,1.95,1.44,2.75,1.94,1.99
epl,2024-2025,14/09/2024,Southampton,Man United,0,3,6,20,4,10,0,7,11,14,1,4,1,0,A,0,2,A,S Attwell,4.5,4,1.7,4.5,4,1.73,1.62,2.3,1.95,1.95,4,4.1,1.8,4,4,1.82,1.53,2.5,1.87,2.06
epl,2024-2025,14/09/2024,Brighton,Ipswich,0,0,21,6,6,1,9,2,14,16,4,3,0,0,D,0,0,D,S Barrott,1.38,5,7.5,1.38,5.25,7.75,1.53,2.5,2.03,1.78,1.45,4.75,6.5,1.5,4.6,6,1.62,2.3,1.87,2.06
