league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
serie-a,2017-2018,19/08/17,Juventus,Cagliari,3,0,17,5,7,2,4,1,13,11,1,0,0,0,H,2,0,H,1.14,8,19,1.16,7.5,17,1.15,7,15
serie-a,2017-2018,19/08/17,Verona,Napoli,1,3,12,22,4,12,3,6,7,9,2,2,0,1,A,0,2,A,8,4.75,1.4,8,4.6,1.42,7.3,4.1,1.43
serie-a,2017-2018,20/08/17,Atalanta,Roma,0,1,14,6,6,1,4,1,14,16,1,2,0,0,A,0,1,A,3.2,3.3,2.3,3.2,3.4,2.25,3.1,3.3,2.2
serie-a,2017-2018,20/08/17,Bologna,Torino,1,1,13,9,3,3,0,8,18,10,2,1,0,0,D,1,1,D,3.1,3.3,2.38,3.2,3.3,2.3,2.75,3.3,2.4
serie-a,2017-2018,20/08/17,Crotone,Milan,0,3,6,19,2,10,2,9,9,14,1,3,1,0,A,0,3,A,6,4,1.57,5.5,4.1,1.6,5.6,3.9,1.55
serie-a,2017-2018,20/08/17,Inter,Fiorentina,3,0,16,15,6,3,9,7,7,13,0,1,0,0,H,2,0,H,1.57,4,6,1.57,4.2,5.75,1.6,3.7,5.4
serie-a,2017-2018,20/08/17,Lazio,Spal,0,0,23,9,13,2,9,5,20,4,2,2,0,0,D,0,0,D,1.29,5.5,11,1.26,5.75,12,1.3,5,9
serie-a,2017-2018,20/08/17,Sampdoria,Benevento,2,1,16,18,6,7,6,7,10,10,1,2,0,0,H,1,1,D,1.67,3.75,5.5,1.67,3.7,5.5,1.65,3.6,5.1
serie-a,2017-2018,20/08/17,Sassuolo,Genoa,0,0,14,12,3,4,2,5,16,28,2,3,0,0,D,0,0,D,2.2,3.25,3.5,2.2,3.3,3.4,2.3,3.3,2.9
serie-a,2017-2018,20/08/17,Udinese,Chievo,1,2,18,10,5,3,5,4,11,10,2,2,0,0,A,1,1,D,2.1,3.2,3.8,2.1,3.25,3.75,2.2,3.3,3.1
serie-a,2017-2018,26/08/17,Benevento,Bologna,0,1,15,14,5,4,6,2,10,13,1,3,0,0,A,0,0,D,2.7,3.2,2.75,2.7,3.1,2.8,2.6,3.2,2.6
serie-a,2017-2018,26/08/17,Genoa,Juventus,2,4,9,17,3,7,1,4,13,8,4,3,0,0,A,2,2,D,9,4.5,1.4,10,4.6,1.36,7.3,4.4,1.4
serie-a,2017-2018,26/08/17,Roma,Inter,1,3,18,14,3,8,12,6,12,8,1,1,0,0,A,1,0,H,2.3,3.5,3,2.25,3.5,3.1,2.2,3.3,3.1
serie-a,2017-2018,27/08/17,Chievo,Lazio,1,2,13,13,5,3,9,6,8,8,1,1,0,0,A,1,1,D,3.5,3.2,2.2,3.6,3.3,2.15,2.9,3.3,2.3
serie-a,2017-2018,27/08/17,Crotone,Verona,0,0,13,5,4,0,1,3,13,11,1,3,0,0,D,0,0,D,2.5,3.2,2.88,2.45,3.2,3,2.3,3.2,3
serie-a,2017-2018,27/08/17,Fiorentina,Sampdoria,1,2,25,12,10,5,14,7,20,11,3,4,0,0,A,0,2,A,1.8,3.5,4.5,1.85,3.6,4.33,1.85,3.45,4
serie-a,2017-2018,27/08/17,Milan,Cagliari,2,1,15,14,5,4,2,6,20,17,2,1,0,0,H,1,0,H,1.22,6.5,13,1.22,6.5,13.5,1.2,6,12.5
serie-a,2017-2018,27/08/17,Napoli,Atalanta,3,1,10,14,4,2,9,6,15,9,1,2,0,0,H,0,1,A,1.4,4.75,8,1.42,4.6,7.75,1.3,5,9
serie-a,2017-2018,27/08/17,Spal,Udinese,3,2,10,11,4,3,0,7,9,14,3,1,0,0,H,1,0,H,2.5,3.1,2.9,2.45,3.1,3.1,2.6,3.2,2.6
serie-a,2017-2018,27/08/17,Torino,Sassuolo,3,0,14,19,5,2,5,11,13,16,1,1,0,0,H,1,0,H,1.75,3.6,5,1.72,3.7,5,1.8,3.5,4.2
serie-a,2017-2018,09/09/17,Juventus,Chievo,3,0,15,15,4,2,10,6,10,7,2,1,0,0,H,1,0,H,1.17,7.5,17,1.17,7.25,17,1.2,6.5,15
serie-a,2017-2018,10/09/17,Atalanta,Sassuolo,2,1,9,16,3,3,3,7,13,18,0,1,0,0,H,1,1,D,1.55,4,6.5,1.57,4,6,1.7,3.7,5
serie-a,2017-2018,10/09/17,Benevento,Torino,0,1,15,16,5,6,2,10,13,22,2,2,0,0,A,0,0,D,4.33,3.75,1.83,4.5,3.7,1.8,4.5,3.6,1.8
serie-a,2017-2018,10/09/17,Bologna,Napoli,0,3,5,17,2,7,5,7,10,16,5,1,0,0,A,0,0,D,10,5,1.33,9.75,5,1.34,8,5.3,1.35
serie-a,2017-2018,10/09/17,Cagliari,Crotone,1,0,13,9,4,2,6,4,16,16,2,1,0,0,H,1,0,H,1.67,3.75,5.5,1.65,3.8,5.5,1.7,3.7,5
serie-a,2017-2018,10/09/17,Inter,Spal,2,0,19,9,7,1,8,5,14,13,2,2,0,0,H,1,0,H,1.25,6,13,1.25,6,12,1.25,6,11
serie-a,2017-2018,10/09/17,Lazio,Milan,4,1,12,18,7,6,3,5,14,12,1,1,0,0,H,2,0,H,2.45,3.4,2.9,2.4,3.4,2.95,2.65,3.3,2.65
serie-a,2017-2018,10/09/17,Udinese,Genoa,1,0,14,12,5,2,1,8,12,17,4,0,1,1,H,1,0,H,2.38,3.2,3.2,2.35,3.2,3.2,2.2,3.3,3.35
serie-a,2017-2018,10/09/17,Verona,Fiorentina,0,5,14,20,2,10,8,6,12,11,2,1,0,0,A,0,3,A,3.4,3.3,2.2,3.5,3.3,2.15,3.3,3.35,2.2
serie-a,2017-2018,16/09/17,Crotone,Inter,0,2,12,7,4,3,8,6,10,6,1,2,0,0,A,0,0,D,10,5,1.33,10.5,5.25,1.3,8.3,5.5,1.33
