league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
bundesliga,2015-2016,14/08/15,Bayern Munich,Hamburg,5,0,23,5,9,1,7,0,10,12,2,2,0,0,H,1,0,H,1.08,11,29,1.1,9,23,1.15,7,15
bundesliga,2015-2016,15/08/15,Augsburg,Hertha,0,1,20,11,3,4,7,4,20,22,1,2,1,1,A,0,0,D,2,3.4,3.9,2,3.3,3.75,2,3.3,3.6
bundesliga,2015-2016,15/08/15,Darmstadt,Hannover,2,2,11,14,4,5,5,9,21,22,1,2,0,0,D,1,0,H,2.5,3.3,2.9,2.5,3.25,2.75,2.5,3.3,2.65
bundesliga,2015-2016,15/08/15,Dortmund,M'gladbach,4,0,17,5,7,1,3,5,13,14,0,1,0,0,H,3,0,H,1.73,3.75,5,1.75,3.75,4.25,1.8,3.5,4.2
bundesliga,2015-2016,15/08/15,Leverkusen,Hoffenheim,2,1,25,6,9,2,13,5,12,18,1,0,0,0,H,1,1,D,1.5,4.33,6.5,1.5,4.4,5.75,1.45,4,7
bundesliga,2015-2016,15/08/15,Mainz,Ingolstadt,0,1,9,14,3,5,6,2,20,15,2,3,0,0,A,0,0,D,2.05,3.4,3.75,2.05,3.3,3.6,2,3.3,3.6
bundesliga,2015-2016,15/08/15,Werder Bremen,Schalke 04,0,3,15,16,2,5,5,6,7,16,0,2,0,0,A,0,1,A,3,3.4,2.38,2.9,3.3,2.35,2.75,3.3,2.4
bundesliga,2015-2016,16/08/15,Stuttgart,FC Koln,1,3,28,9,8,5,13,3,13,8,3,2,0,0,A,0,0,D,2.05,3.3,3.8,2.05,3.25,3.7,2.1,3.3,3.3
bundesliga,2015-2016,16/08/15,Wolfsburg,Ein Frankfurt,2,1,5,13,3,6,7,3,14,19,1,1,0,0,H,2,1,H,1.44,4.75,7,1.5,4,6.5,1.45,4,7
bundesliga,2015-2016,21/08/15,Hertha,Werder Bremen,1,1,10,9,2,3,6,2,11,16,0,1,0,0,D,1,1,D,2.05,3.5,3.6,2.1,3.3,3.4,2.1,3.3,3.3
