generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds
2026-04-13T09:12:51+00:00,2026-04-13,window,overall,ATP,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,overall,ATP,7,strict-signals-volume200-archive.csv,base,ml,4,4,0,3,1,0,4.0000,2.6960,67.4000,75.0000,29.6400,2.4240
2026-04-13T09:12:51+00:00,2026-04-13,window,overall,ATP,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,overall,ATP,7,strict-signals-volume200-archive.csv,base,handicap,10,10,0,4,5,0,18.0000,-2.8000,-15.5556,44.4444,25.9900,1.8963
2026-04-13T09:12:51+00:00,2026-04-13,all_time,legacy,ATP,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,clean,ATP,7,strict-signals-volume200-archive.csv,base,,14,14,0,7,6,0,22.0000,-0.1040,-0.4727,53.8462,29.6400,2.4240
2026-04-13T09:12:51+00:00,2026-04-13,window,clean,ATP,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,legacy,ATP,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,clean,ATP,7,strict-signals-volume200-archive.csv,base,ml,4,4,0,3,1,0,4.0000,2.6960,67.4000,75.0000,29.6400,2.4240
2026-04-13T09:12:51+00:00,2026-04-13,window,clean,ATP,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,legacy,ATP,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,all_time,clean,ATP,7,strict-signals-volume200-archive.csv,base,handicap,10,10,0,4,5,0,18.0000,-2.8000,-15.5556,44.4444,25.9900,1.8963
2026-04-13T09:12:51+00:00,2026-04-13,window,clean,ATP,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T09:12:51+00:00,2026-04-13,window,overall,Challenger,7,strict-signals-volume200-archive.csv,base,,71,29,42,5,23,0,46.0000,-26.7060,-58.0565,17.8571,49.4207,3.0901
2026-04-13T09:12:51+00:00,2026-04-13,all_time,overall,Challenger,7,strict-signals-volume200-archive.csv,base,,99,57,42,15,41,0,91.0000,-35.1360,-38.6110,26.7857,48.8887,3.0291
2026-04-13T09:12:51+00:00,2026-04-13,window,overall,Challenger,7,strict-signals-volume200-archive.csv,base,ml,27,10,17,0,10,0,10.0000,-10.0000,-100.0000,0.0000,49.4207,3.0901
2026-04-13T09:12:51+00:00,2026-04-13,all_time,overall,Challenger,7,strict-signals-volume200-archive.csv,base,ml,38,21,17,2,19,0,21.0000,-14.6800,-69.9048,9.5238,48.8887,3.0291
2026-04-13T09:12:51+00:00,2026-04-13,window,overall,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,44,19,25,5,13,0,36.0000,-16.7060,-46.4056,27.7778,35.9280,1.9200
2026-04-13T09:12:51+00:00,2026-04-13,all_time,overall,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,61,36,25,13,22,0,70.0000,-20.4560,-29.2229,37.1429,37.6028,1.9094
