captured_at,match_date,event_id,kickoff_at,snapshot_kind,bookmaker,competition,home_team,away_team,team,market,line,side,odds_decimal,source,notes
2026-09-11T17:55:48Z,2026-09-11,72036180,2026-09-11T18:45:00Z,live_capture,Bet365,Ligue 1,Stade Rennais FC,Olympique Marseille,Stade Rennais FC,TEAM_SHOTS,14.5,over,1.9090,odds_api_io,market=Total Shots Home
2026-09-11T17:55:48Z,2026-09-11,72036180,2026-09-11T18:45:00Z,live_capture,Bet365,Ligue 1,Stade Rennais FC,Olympique Marseille,Stade Rennais FC,TEAM_SHOTS,14.5,under,1.8000,odds_api_io,market=Total Shots Home
2026-09-11T17:55:48Z,2026-09-11,72036180,2026-09-11T18:45:00Z,live_capture,Bet365,Ligue 1,Stade Rennais FC,Olympique Marseille,Olympique Marseille,TEAM_SHOTS,12.5,over,1.7270,odds_api_io,market=Total Shots Away
2026-09-11T17:55:48Z,2026-09-11,72036180,2026-09-11T18:45:00Z,live_capture,Bet365,Ligue 1,Stade Rennais FC,Olympique Marseille,Olympique Marseille,TEAM_SHOTS,12.5,under,2.0000,odds_api_io,market=Total Shots Away
