player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,league,league_name
Jacob Fearnley,Taylor Fritz,4.74,1.216,3.33,22.0,1.99,1.87,ATP,ATP Indian Wells - R2
Aleksandar Kovacevic,Corentin Moutet,2.48,1.588,3.29,23.0,1.917,1.935,ATP,ATP Indian Wells - R2
Valentin Vacherot,Nuno Borges,1.73,2.19,3.47,23.0,1.935,1.917,ATP,ATP Indian Wells - R2
Dalibor Svrcina,Jannik Sinner,31.96,1.017,1.46,17.5,2.05,1.833,ATP,ATP Indian Wells - R2
Sebastian Baez,Jiri Lehecka,3.27,1.373,3.41,22.0,2.0,1.855,ATP,ATP Indian Wells - R2
Karen Khachanov,Joao Fonseca,2.31,1.68,2.81,23.5,1.952,1.917,ATP,ATP Indian Wells - R2
Cameron Norrie,Mackenzie McDonald,1.61,2.43,3.26,22.5,1.87,1.98,ATP,ATP Indian Wells - R2
Alexander Bublik,Vit Kopriva,1.278,3.98,3.37,22.0,1.893,1.952,ATP,ATP Indian Wells - R2
Daniil Medvedev,Alejandro Tabilo,1.256,4.21,3.37,21.5,1.917,1.935,ATP,ATP Indian Wells - R2
Tomas Martin Etcheverry,Denis Shapovalov,2.72,1.51,2.99,23.0,1.943,1.926,ATP,ATP Indian Wells - R2
Ugo Humbert,Alex Michelsen,1.87,2.0,3.48,23.0,1.885,1.971,ATP,ATP Indian Wells - R2
Novak Djokovic,Kamil Majchrzak,1.097,8.41,3.05,20.5,1.962,1.893,ATP,ATP Indian Wells - R2
Marcos Giron,Jakub Mensik,3.24,1.388,2.91,22.5,1.917,1.952,ATP,ATP Indian Wells - R2
Carlos Alcaraz,Grigor Dimitrov,1.038,16.86,2.27,18.0,1.781,2.1,ATP,ATP Indian Wells - R2
Rinky Hijikata,Luciano Darderi,2.76,1.49,3.35,22.0,1.877,1.98,ATP,ATP Indian Wells - R2
Alexander Shevchenko,Casper Ruud,4.82,1.21,3.39,21.5,1.893,1.962,ATP,ATP Indian Wells - R2
Andrey Rublev,Gabriel Diallo,1.395,3.2,2.93,22.5,1.862,2.01,ATP,ATP Indian Wells - R2
Francisco Cerundolo,Benjamin Bonzi,1.348,3.42,3.42,22.0,1.971,1.885,ATP,ATP Indian Wells - R2
Juan Manuel Cerundolo,Arthur Rinderknech,2.79,1.481,3.36,23.0,1.98,1.877,ATP,ATP Indian Wells - R2
Sebastian Korda,Alex De Minaur,2.39,1.625,3.38,22.5,1.99,1.862,ATP,ATP Indian Wells - R2
Alejandro Davidovich Fokina,Zachary Svajda,1.629,2.41,2.88,22.5,1.917,1.952,ATP,ATP Indian Wells - R2
Zizou Bergs,Tommy Paul,4.18,1.266,2.91,21.5,1.877,2.0,ATP,ATP Indian Wells - R2
Roberto Bautista Agut,Jack Draper,6.36,1.143,3.21,20.0,1.885,1.971,ATP,ATP Indian Wells - R2
Henrique Rocha,Thiago Monteiro,2.27,1.685,3.4,22.5,1.917,1.935,Challenger,ATP Challenger Brasilia - SF
Joel Josef Schwaerzler,Stefano Napolitano,1.633,2.38,3.25,23.5,1.962,1.893,Challenger,ATP Challenger Kigali - Final
Otto Virtanen,Nicolai Budkov Kjaer,1.671,2.29,3.51,22.5,1.885,1.971,Challenger,ATP Challenger Thionville - SF
Toby Samuel,Stefanos Sakellaridis,1.433,2.94,3.8,21.5,1.87,1.99,Challenger,ATP Challenger Hersonissos - SF
Dimitar Kuzmanov,Harry Wendelken,1.617,2.38,3.86,22.0,1.952,1.901,Challenger,ATP Challenger Hersonissos - SF
