player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,league,league_name
Petr Brunclik,Maxim Mrva,1.508,2.64,4.19,21.0,1.926,1.909,Challenger,ATP Challenger Hersonissos - R1
Lorenzo Carboni,Stefanos Sakellaridis,3.29,1.344,4.8,21.0,1.885,1.935,Challenger,ATP Challenger Hersonissos - R1
Michael Geerts,Tiago Pereira,1.637,2.32,4.19,22.0,1.926,1.909,Challenger,ATP Challenger Hersonissos - R1
Philip Henning,Buvaysar Gadamauri,2.06,1.775,4.88,22.0,1.98,1.84,Challenger,ATP Challenger Hersonissos - R1
Javier Barranco Cosano,Dimitar Kuzmanov,2.25,1.658,4.76,21.5,1.855,1.971,Challenger,ATP Challenger Hersonissos - R1
Kimmer Coppejans,Ioannis Xilas,1.441,2.87,4.24,21.0,1.885,1.952,Challenger,ATP Challenger Hersonissos - R1
Lorenzo Giustino,Pietro Fellin,1.441,2.83,4.73,21.5,1.909,1.909,Challenger,ATP Challenger Hersonissos - R1
Lui Maxted,Harry Wendelken,1.813,2.01,4.91,21.5,1.877,1.943,Challenger,ATP Challenger Hersonissos - R1
Abedallah Shelbayh,Pavlos Tsitsipas,1.034,15.36,3.22,17.5,2.01,1.82,Challenger,ATP Challenger Hersonissos - R1
Robin Bertrand,Adria Soriano Barrera,2.7,1.476,4.79,21.5,1.917,1.901,Challenger,ATP Challenger Hersonissos - R1
Maximus Jones,Tom Gentzsch,2.5,1.552,4.43,22.0,1.99,1.855,Challenger,ATP Challenger Hersonissos - R1
Ronit Karki,Vladyslav Orlov,2.68,1.463,5.67,21.0,1.901,1.885,Challenger,ATP Challenger Fujairah - Qualifiers
Yanki Erel,Marek Gengel,2.11,1.719,5.57,21.5,1.84,1.952,Challenger,ATP Challenger Fujairah - Qualifiers
Tung-Lin Wu,Imanol Lopez Morillo,1.203,4.44,5.65,20.0,1.813,1.98,Challenger,ATP Challenger Fujairah - Qualifiers
Mert Alkaya,Takuya Kumasaka,1.356,3.13,5.7,20.5,1.84,1.943,Challenger,ATP Challenger Fujairah - Qualifiers
Hayato Matsuoka,Daniil Ostapenkov,1.405,2.9,5.66,21.5,1.917,1.87,Challenger,ATP Challenger Fujairah - Qualifiers
Vit Kopriva,Rei Sakamoto,2.09,1.787,3.81,22.0,1.99,1.855,ATP,ATP Indian Wells - Qualifiers
Vitaliy Sachko,Mackenzie McDonald,3.96,1.272,3.87,21.0,1.909,1.926,ATP,ATP Indian Wells - Qualifiers
Mitchell Krueger,Dalibor Svrcina,2.99,1.42,3.87,21.0,1.877,1.962,ATP,ATP Indian Wells - Qualifiers
Luca Nardi,Trevor Svajda,1.368,3.25,3.87,20.5,1.926,1.909,ATP,ATP Indian Wells - Qualifiers
Luca Van Assche,Alexis Galarneau,1.29,3.8,3.84,21.5,1.962,1.877,ATP,ATP Indian Wells - Qualifiers
Roman Andres Burruchaga,Moez Echargui,1.461,2.83,3.78,22.0,1.98,1.855,ATP,ATP Indian Wells - Qualifiers
Jagger Leach,Tomas Barrios Vera,6.09,1.146,3.68,20.0,1.885,1.952,ATP,ATP Indian Wells - Qualifiers
Roberto Carballes Baena,Sandro Kopp,1.174,5.53,3.26,20.0,1.893,1.962,Challenger,ATP Challenger Kigali - R1
Sean Cuenin,Zdenek Kolar,2.45,1.595,3.51,22.0,1.99,1.87,Challenger,ATP Challenger Kigali - R1
Eliakim Coulibaly,Cesar Bouchelaghem,1.556,2.56,3.33,21.5,1.935,1.917,Challenger,ATP Challenger Kigali - R1
