player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,league,league_name
Pierre-Hugues Herbert,Otto Virtanen,2.87,1.448,3.9,22.5,1.847,2.0,Challenger,ATP Challenger Thionville - R16
Sebastian Ofner,Murphy Cassone,1.592,2.44,3.8,23.0,1.952,1.885,Challenger,ATP Challenger Thionville - R16
Jurij Rodionov,Martin Krumich,1.493,2.72,3.74,22.0,1.855,1.98,Challenger,ATP Challenger Thionville - R16
Ugo Blanchet,Clement Chidekh,2.47,1.578,3.86,22.0,1.862,1.971,Challenger,ATP Challenger Thionville - R16
Michael Geerts,Stefanos Sakellaridis,2.26,1.654,4.71,22.5,1.901,1.917,Challenger,ATP Challenger Hersonissos - R16
Ioannis Xilas,Maxim Mrva,2.31,1.629,4.68,21.5,1.935,1.885,Challenger,ATP Challenger Hersonissos - R16
Robin Bertrand,Dimitar Kuzmanov,2.56,1.524,4.68,21.5,1.935,1.885,Challenger,ATP Challenger Hersonissos - R16
Lorenzo Giustino,Buvaysar Gadamauri,1.847,1.971,4.88,22.5,1.98,1.847,Challenger,ATP Challenger Hersonissos - R16
Miguel Damas,Thiago Monteiro,3.14,1.388,3.89,22.0,1.885,1.952,Challenger,ATP Challenger Brasilia - R16
Marco Cecchinato,Jerome Kym,3.26,1.376,3.35,22.5,1.943,1.909,Challenger,ATP Challenger Kigali - QF
Marco Trungelliti,Joel Josef Schwaerzler,1.568,2.53,3.3,22.5,1.909,1.943,Challenger,ATP Challenger Kigali - QF
Luka Pavlovic,Stefano Napolitano,1.621,2.4,3.36,22.5,1.893,1.952,Challenger,ATP Challenger Kigali - QF
Calvin Hemery,Arthur Gea,3.2,1.388,3.3,,,,Challenger,ATP Challenger Kigali - QF
Valentin Royer,Benjamin Bonzi,2.05,1.826,3.55,23.0,1.935,1.917,ATP,ATP Indian Wells - R1
Alexander Shevchenko,Sho Shimabukuro,2.25,1.699,3.3,23.0,1.943,1.909,ATP,ATP Indian Wells - R1
Stefanos Tsitsipas,Denis Shapovalov,1.806,2.11,2.76,23.0,1.909,1.962,ATP,ATP Indian Wells - R1
Hubert Hurkacz,Aleksandar Kovacevic,1.415,3.1,2.93,23.5,1.952,1.917,ATP,ATP Indian Wells - R1
Zachary Svajda,Marin Cilic,2.15,1.775,2.85,23.0,1.935,1.935,ATP,ATP Indian Wells - R1
Alejandro Tabilo,Rafael Jodar,2.14,1.781,2.88,22.0,1.885,1.98,ATP,ATP Indian Wells - R1
Michael Zheng,Arthur Cazaux,1.704,2.26,2.93,22.0,1.855,2.02,ATP,ATP Indian Wells - R1
Terence Atmane,Grigor Dimitrov,2.24,1.714,2.99,22.5,1.893,1.98,ATP,ATP Indian Wells - R1
Sebastian Korda,Francisco Comesana,1.191,5.29,2.87,21.0,1.926,1.943,ATP,ATP Indian Wells - R1
Fabian Marozsan,Roberto Bautista Agut,1.309,3.77,2.92,21.0,1.893,1.98,ATP,ATP Indian Wells - R1
Matteo Arnaldi,Mackenzie McDonald,2.1,1.794,3.36,22.5,1.926,1.926,ATP,ATP Indian Wells - R1
Jacob Fearnley,Damir Dzumhur,1.806,2.1,2.99,22.0,1.952,1.917,ATP,ATP Indian Wells - R1
Daniel Merida Aguilar,Alex Michelsen,3.54,1.331,3.38,21.5,1.909,1.943,ATP,ATP Indian Wells - R1
Nuno Borges,Emilio Nava,1.61,2.45,2.93,23.0,1.885,1.99,ATP,ATP Indian Wells - R1
Joao Fonseca,Raphael Collignon,1.787,2.13,2.91,23.0,1.99,1.885,ATP,ATP Indian Wells - R1
Juan Manuel Cerundolo,Botic Van de Zandschulp,3.06,1.424,2.9,22.0,1.99,1.877,ATP,ATP Indian Wells - R1
Gael Monfils,Alexis Galarneau,1.617,2.44,2.83,22.0,1.99,1.877,ATP,ATP Indian Wells - R1
Kamil Majchrzak,Giovanni Mpetshi Perricard,1.741,2.2,2.89,25.0,1.917,1.952,ATP,ATP Indian Wells - R1
Chun Hsin Tseng,Sebastian Baez,3.53,1.332,3.4,21.5,1.971,1.885,ATP,ATP Indian Wells - R1
Dino Prizmic,Tristan Schoolkate,1.316,3.71,2.94,22.0,1.943,1.926,ATP,ATP Indian Wells - R1
Jenson Brooksby,Alexei Popyrin,1.752,2.19,2.74,22.5,1.877,2.0,ATP,ATP Indian Wells - R1
Francesco Maestrelli,Rinky Hijikata,2.25,1.699,3.3,22.5,1.893,1.962,ATP,ATP Indian Wells - R1
