player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,spread_line,spread_odds1,spread_odds2,league,league_name
Daniil Medvedev,Sebastian Baez,1.164,6.07,2.39,20.0,1.926,1.962,5.0,1.909,1.98,ATP,ATP Indian Wells - R3
Carlos Alcaraz,Arthur Rinderknech,1.032,21.95,1.46,18.5,1.877,2.01,6.0,2.04,1.855,ATP,ATP Indian Wells - R3
Luca Van Assche,Peter Bertran,1.024,20.14,2.62,17.5,2.01,1.813,7.0,1.962,1.862,Challenger,ATP Challenger Cap Cana - Qualifiers
Rei Sakamoto,Liam Draxl,1.488,2.69,4.38,22.0,1.926,1.893,3.0,1.893,1.926,Challenger,ATP Challenger Cap Cana - Qualifiers
Antoine Ghibaudo,Gilles Arnaud Bailly,1.87,1.99,3.73,22.0,1.926,1.909,0.5,1.909,1.926,Challenger,ATP Challenger Cherbourg - R1
Pavel Kotov,Clement Chidekh,2.19,1.719,3.84,22.5,1.952,1.885,1.5,1.935,1.901,Challenger,ATP Challenger Cherbourg - R1
Daniil Glinka,Dan Added,1.469,2.79,3.92,23.0,1.952,1.877,2.5,1.862,1.971,Challenger,ATP Challenger Cherbourg - R1
Jurij Rodionov,Maxime Janvier,1.217,4.61,3.86,21.5,1.87,1.971,4.0,1.833,2.01,Challenger,ATP Challenger Cherbourg - R1
Alex Knaff,Niels Visker,2.18,1.725,3.84,23.0,1.962,1.87,1.5,1.901,1.935,Challenger,ATP Challenger Cherbourg - R1
Eliakim Coulibaly,Corentin Denolly,1.725,2.19,3.63,21.5,1.909,1.926,2.0,1.926,1.909,Challenger,ATP Challenger Kigali - R1
Florent Bax,Maximilian Neuchrist,1.588,2.45,3.79,22.5,1.909,1.926,2.5,1.926,1.909,Challenger,ATP Challenger Kigali - R1
Joel Josef Schwaerzler,Stefano Napolitano,1.752,2.14,3.81,22.5,1.893,1.943,1.5,1.909,1.926,Challenger,ATP Challenger Kigali - R1
Roberto Carballes Baena,Eero Vasa,1.189,5.08,3.79,20.5,1.962,1.877,4.5,1.847,1.99,Challenger,ATP Challenger Kigali - R1
Maik Steiner,Jay Clarke,5.99,1.149,3.73,20.0,1.926,1.909,5.0,1.962,1.877,Challenger,ATP Challenger Kigali - R1
Alexander Donski,Garrett Johns,1.971,1.885,3.79,23.5,1.98,1.862,0.0,1.926,1.909,Challenger,ATP Challenger Kigali - R1
Marco Cecchinato,Guy Iradukunda,1.078,9.48,3.31,18.5,1.909,1.926,6.0,1.926,1.909,Challenger,ATP Challenger Kigali - R1
Gabriele Pennaforti,Sean Cuenin,2.65,1.513,3.83,21.5,1.952,1.885,3.5,1.885,1.952,Challenger,ATP Challenger Kigali - R1
Cesar Bouchelaghem,Arthur Gea,11.33,1.061,3.08,18.5,1.901,1.935,6.5,1.847,1.99,Challenger,ATP Challenger Kigali - R1
Ryan Nijboer,Filip Cristian Jianu,3.95,1.273,3.87,21.0,1.952,1.877,4.5,1.847,1.99,Challenger,ATP Challenger Kigali - R1
Robin Bertrand,Christian Langmo,1.781,2.06,4.69,21.5,1.877,1.943,1.5,1.926,1.877,Challenger,ATP Challenger Hersonissos - R1
Peter Makk,Philip Henning,1.99,1.833,4.81,21.5,1.901,1.917,1.0,1.877,1.926,Challenger,ATP Challenger Hersonissos - R1
Gabriele Piraino,Kimmer Coppejans,2.94,1.413,4.79,20.5,1.917,1.901,4.0,1.893,1.909,Challenger,ATP Challenger Hersonissos - R1
Daniel Rincon,Buvaysar Gadamauri,1.654,2.26,4.71,22.0,1.952,1.87,2.0,1.885,1.917,Challenger,ATP Challenger Hersonissos - R1
Menelaos Efstathiou,Toby Samuel,12.15,1.048,3.65,17.0,1.813,2.01,7.0,1.99,1.82,Challenger,ATP Challenger Hersonissos - R1
Tom Gentzsch,Jacopo Berrettini,1.617,2.33,4.76,22.0,1.971,1.847,2.5,1.855,1.943,Challenger,ATP Challenger Hersonissos - R1
Giles Hussey,Harry Wendelken,2.31,1.629,4.68,21.0,1.877,1.943,2.5,1.917,1.885,Challenger,ATP Challenger Hersonissos - R1
Ioannis Xilas,Alex Rybakov,1.592,2.38,4.83,21.0,1.862,1.952,2.5,1.877,1.926,Challenger,ATP Challenger Hersonissos - R1
Maxim Mrva,Dimitar Kuzmanov,2.25,1.658,4.76,21.0,1.893,1.926,2.5,1.935,1.87,Challenger,ATP Challenger Hersonissos - R1
Petr Nesterov,Maximus Jones,1.556,2.47,4.75,21.5,1.952,1.87,3.0,1.901,1.901,Challenger,ATP Challenger Hersonissos - R1
Javier Barranco Cosano,Abedallah Shelbayh,2.35,1.61,4.66,21.5,1.926,1.893,2.5,1.926,1.877,Challenger,ATP Challenger Hersonissos - R1
Lorenzo Carboni,Federico Iannaccone,1.813,2.02,4.66,21.0,1.917,1.901,1.0,1.893,1.909,Challenger,ATP Challenger Hersonissos - R1
Joao Fonseca,Jannik Sinner,10.89,1.073,2.38,19.5,1.862,2.01,5.5,1.833,2.04,ATP,ATP Indian Wells - R16
Frances Tiafoe,Alexander Zverev,3.51,1.342,3.01,22.5,1.952,1.917,3.5,1.893,1.98,ATP,ATP Indian Wells - R16
Learner Tien,Alejandro Davidovich Fokina,1.806,2.1,2.99,22.5,1.893,1.98,1.0,1.926,1.943,ATP,ATP Indian Wells - R16
Arthur Fils,Felix Auger-Aliassime,2.33,1.667,2.91,23.0,1.943,1.926,1.5,2.0,1.877,ATP,ATP Indian Wells - R16
Genaro Alberto Olivieri,Gustavo Heide,4.02,1.266,3.86,20.5,1.943,1.893,4.5,1.971,1.87,Challenger,ATP Challenger Santiago - R1
Diego Dedura,Daniel Elahi Galan,2.0,1.855,3.91,22.0,1.943,1.893,0.5,1.935,1.901,Challenger,ATP Challenger Santiago - R1
Gianluca Cadenasso,Thiago Monteiro,2.61,1.526,3.84,21.5,1.847,1.99,3.0,1.917,1.917,Challenger,ATP Challenger Santiago - R1
