player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,spread_line,spread_odds1,spread_odds2,league,league_name
Raphael Perot,Filippo Romano,1.546,2.55,3.9,22.0,1.952,1.885,-2.5,1.87,1.971,Challenger,ATP Challenger Cherbourg - R1
Pavel Kotov,Clement Chidekh,2.4,1.621,3.36,22.5,1.98,1.87,2.5,1.877,1.971,Challenger,ATP Challenger Cherbourg - R1
Patrick Brady,Pierre-Hugues Herbert,4.79,1.206,3.8,21.0,1.943,1.893,4.5,1.87,1.962,Challenger,ATP Challenger Cherbourg - R1
Antoine Ghibaudo,Gilles Arnaud Bailly,1.926,1.943,3.39,22.0,1.926,1.926,-0.5,1.952,1.901,Challenger,ATP Challenger Cherbourg - R1
Tom Paris,Lucas Poullain,1.917,1.935,3.84,22.5,1.935,1.901,-0.5,1.952,1.885,Challenger,ATP Challenger Cherbourg - R1
Jurij Rodionov,Maxime Janvier,1.217,4.71,3.4,21.5,1.847,2.01,-4.0,1.833,2.03,Challenger,ATP Challenger Cherbourg - R1
Arthur Fils,Felix Auger-Aliassime,2.36,1.667,2.36,23.0,1.952,1.935,1.5,2.01,1.877,ATP,ATP Indian Wells - R16
Frances Tiafoe,Alexander Zverev,3.33,1.382,2.39,22.5,1.943,1.943,3.5,1.855,2.04,ATP,ATP Indian Wells - R16
Rinky Hijikata,Cameron Norrie,3.48,1.347,2.97,22.0,1.877,1.99,3.5,2.01,1.87,ATP,ATP Indian Wells - R16
Carlos Alcaraz,Casper Ruud,1.101,8.48,2.62,20.0,2.03,1.847,-5.0,1.855,2.02,ATP,ATP Indian Wells - R16
Daniil Medvedev,Alex Michelsen,1.292,3.92,2.91,22.0,1.962,1.909,-4.0,2.08,1.813,ATP,ATP Indian Wells - R16
Joao Fonseca,Jannik Sinner,10.95,1.077,1.98,19.5,1.862,2.03,5.5,1.833,2.07,ATP,ATP Indian Wells - R16
Learner Tien,Alejandro Davidovich Fokina,1.806,2.12,2.54,22.5,1.901,1.99,-1.0,1.926,1.962,ATP,ATP Indian Wells - R16
Novak Djokovic,Jack Draper,1.82,2.08,3.02,23.0,1.943,1.926,-1.0,1.926,1.943,ATP,ATP Indian Wells - R16
Cesar Bouchelaghem,Arthur Gea,11.77,1.062,2.66,18.5,1.926,1.926,6.5,1.87,1.99,Challenger,ATP Challenger Kigali - R1
Florent Bax,Maximilian Neuchrist,1.649,2.34,3.38,22.5,1.885,1.971,-2.0,1.917,1.935,Challenger,ATP Challenger Kigali - R1
Gabriele Pennaforti,Sean Cuenin,2.72,1.503,3.3,21.5,1.962,1.893,3.5,1.909,1.943,Challenger,ATP Challenger Kigali - R1
Luca Van Assche,Peter Bertran,1.024,20.14,2.62,17.5,2.01,1.813,-7.0,1.962,1.862,Challenger,ATP Challenger Cap Cana - Qualifiers
Nicolas Mejia,Arthur Fery,3.07,1.383,4.88,22.0,1.926,1.877,3.5,1.962,1.84,Challenger,ATP Challenger Cap Cana - Qualifiers
Felipe Meligeni Rodrigues Alves,Benjamin Torrealba,1.192,5.02,3.81,20.0,1.885,1.952,-5.0,1.909,1.926,Challenger,ATP Challenger Santiago - R1
Franco Agamenone,Guido Ivan Justo,2.5,1.578,3.37,21.5,1.952,1.901,3.0,1.909,1.943,Challenger,ATP Challenger Santiago - R1
Adolfo Daniel Vallejo,Gonzalo Villanueva,1.138,6.33,3.67,19.0,1.98,1.862,-6.0,1.98,1.855,Challenger,ATP Challenger Santiago - R1
Gianluca Cadenasso,Thiago Monteiro,2.66,1.51,3.82,21.5,1.847,1.99,3.0,1.935,1.901,Challenger,ATP Challenger Santiago - R1
Nicolas Moreno De Alboran,Matias Soto,1.376,3.21,3.83,21.5,1.87,1.962,-3.5,1.826,2.02,Challenger,ATP Challenger Santiago - R1
Diego Dedura,Daniel Elahi Galan,2.04,1.826,3.78,22.0,1.943,1.893,1.0,1.893,1.943,Challenger,ATP Challenger Santiago - R1
Nikolas Sanchez Izquierdo,Cannon Kingsley,1.559,2.52,3.83,22.0,1.98,1.855,-2.5,1.862,1.971,Challenger,ATP Challenger Santiago - R1
Pedro Sakamoto,Henrique Rocha,5.22,1.182,3.76,20.0,1.943,1.893,5.0,1.99,1.847,Challenger,ATP Challenger Santiago - R1
Genaro Alberto Olivieri,Gustavo Heide,4.06,1.27,3.37,20.5,1.952,1.901,4.5,1.98,1.877,Challenger,ATP Challenger Santiago - R1
Jaime Faria,Igor Marcondes,1.493,2.75,3.34,22.0,1.962,1.893,-3.0,1.893,1.962,Challenger,ATP Challenger Santiago - R1
