player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,spread_line,spread_odds1,spread_odds2,league,league_name
Learner Tien,Jannik Sinner,9.36,1.089,2.51,20.0,1.877,2.0,5.0,1.971,1.893,ATP,ATP Indian Wells - QF
Arthur Fils,Alexander Zverev,2.62,1.546,2.85,23.0,1.952,1.917,2.5,1.901,1.971,ATP,ATP Indian Wells - QF
Marco Cecchinato,Sandro Kopp,1.485,2.78,3.31,22.5,2.0,1.855,-3.0,1.917,1.935,Challenger,ATP Challenger Kigali - R16
Dan Added,Murphy Cassone,2.63,1.532,3.3,22.5,2.01,1.847,3.0,1.847,2.02,Challenger,ATP Challenger Cherbourg - R16
Clement Tabur,Antoine Ghibaudo,1.433,2.93,3.91,22.0,1.962,1.877,-3.5,1.935,1.901,Challenger,ATP Challenger Cherbourg - R16
Matteo Martineau,Pavel Kotov,3.0,1.418,3.86,22.5,1.862,1.98,3.0,1.943,1.893,Challenger,ATP Challenger Cherbourg - R16
Geoffrey Blancaneaux,Borna Gojo,4.29,1.242,3.83,22.0,1.901,1.935,4.0,1.877,1.962,Challenger,ATP Challenger Cherbourg - R16
Joao Reis Da Silva,Pedro Boscardin Dias,1.775,2.1,3.96,22.0,1.962,1.87,-1.5,1.917,1.917,Challenger,ATP Challenger Santiago - R16
Igor Marcondes,Nicolas Moreno De Alboran,2.33,1.641,3.86,22.0,1.943,1.893,2.0,1.943,1.893,Challenger,ATP Challenger Santiago - R16
Gonzalo Bueno,Franco Agamenone,1.503,2.68,3.85,21.5,1.926,1.909,-3.5,1.943,1.893,Challenger,ATP Challenger Santiago - R16
Daniil Medvedev,Alex Michelsen,1.333,3.64,2.49,22.0,1.935,1.952,-3.5,1.806,2.1,ATP,ATP Indian Wells - R16
Carlos Alcaraz,Casper Ruud,1.095,9.3,2.08,19.5,1.885,2.01,-5.5,1.943,1.943,ATP,ATP Indian Wells - R16
Novak Djokovic,Jack Draper,1.741,2.22,2.48,23.0,1.962,1.926,-1.5,1.935,1.952,ATP,ATP Indian Wells - R16
Rinky Hijikata,Cameron Norrie,3.46,1.36,2.43,22.0,1.901,1.99,3.5,2.01,1.877,ATP,ATP Indian Wells - R16
August Holmgren,Thomas Faurel,1.694,2.23,3.87,22.5,1.99,1.847,-2.0,1.926,1.909,Challenger,ATP Challenger Cherbourg - R1
Nicolai Budkov Kjaer,Remy Bertola,1.392,3.12,3.89,22.0,1.99,1.847,-3.5,1.87,1.971,Challenger,ATP Challenger Cherbourg - R1
Abedallah Shelbayh,Kimmer Coppejans,1.926,1.909,4.3,21.5,1.877,1.962,0.0,1.909,1.909,Challenger,ATP Challenger Hersonissos - R16
