player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,spread_line,spread_odds1,spread_odds2,league,league_name
Billy Harris,Adrian Mannarino,3.08,1.41,3.39,22.0,1.862,1.99,3.5,1.917,1.935,Challenger,ATP Challenger Phoenix - QF
Ethan Quinn,Benjamin Bonzi,1.8,2.09,3.4,22.5,1.877,1.971,-1.0,1.926,1.926,Challenger,ATP Challenger Phoenix - QF
Alexander Zverev,Jannik Sinner,5.53,1.18,2.83,21.5,1.855,2.02,4.0,2.11,1.781,ATP,ATP Indian Wells - SF
Carlos Alcaraz,Daniil Medvedev,1.225,4.7,2.91,21.5,1.99,1.885,-4.5,2.03,1.847,ATP,ATP Indian Wells - SF
Miomir Kecmanovic,Adam Walton,1.429,2.99,3.42,22.5,1.962,1.893,-3.5,2.01,1.847,Challenger,ATP Challenger Cap Cana - QF
Alexander Blockx,Chak Lam Coleman Wong,1.699,2.25,3.3,22.5,1.893,1.962,-1.5,1.885,1.962,Challenger,ATP Challenger Cap Cana - QF
Mattia Bellucci,Raphael Collignon,2.08,1.813,3.23,22.5,1.98,1.87,1.0,1.935,1.917,Challenger,ATP Challenger Cap Cana - QF
Mariano Navone,Valentin Royer,2.25,1.694,3.48,22.0,1.893,1.962,2.0,1.926,1.926,Challenger,ATP Challenger Cap Cana - QF
Clement Tabur,Filippo Romano,1.187,5.24,3.33,21.0,1.952,1.901,-4.5,1.926,1.926,Challenger,ATP Challenger Cherbourg - QF
Remy Bertola,Borna Gojo,3.13,1.4,3.38,23.0,1.935,1.917,3.0,1.926,1.926,Challenger,ATP Challenger Cherbourg - QF
Murphy Cassone,Pavel Kotov,2.0,1.893,2.83,23.0,1.962,1.909,0.0,1.962,1.909,Challenger,ATP Challenger Cherbourg - QF
Jurij Rodionov,Gauthier Onclin,1.546,2.59,3.29,21.5,1.862,1.99,-3.0,1.943,1.909,Challenger,ATP Challenger Cherbourg - QF
Nikolas Sanchez Izquierdo,Henrique Rocha,3.31,1.366,3.42,21.0,1.909,1.943,4.0,1.952,1.901,Challenger,ATP Challenger Santiago - QF
Nicolas Moreno De Alboran,Genaro Alberto Olivieri,1.412,3.07,3.39,21.5,1.877,1.971,-3.5,1.87,1.99,Challenger,ATP Challenger Santiago - QF
Pedro Boscardin Dias,Gonzalo Bueno,2.42,1.625,2.86,21.5,1.909,1.962,2.5,1.962,1.901,Challenger,ATP Challenger Santiago - QF
Adolfo Daniel Vallejo,Thiago Monteiro,1.571,2.52,3.34,22.0,1.909,1.943,-3.0,1.99,1.87,Challenger,ATP Challenger Santiago - QF
