player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,league,league_name
Abedallah Shelbayh,Menelaos Efstathiou,1.166,5.28,4.7,19.5,1.962,1.862,Challenger,ATP Challenger Hersonissos - R16
Toby Samuel,Daniel Rincon,1.391,3.04,4.79,21.0,1.926,1.893,Challenger,ATP Challenger Hersonissos - R16
Lukas Neumayer,Alex Rybakov,1.282,3.73,4.81,21.0,1.926,1.893,Challenger,ATP Challenger Hersonissos - R16
Harry Wendelken,Stefan Dostanic,2.31,1.629,4.68,21.5,1.847,1.98,Challenger,ATP Challenger Hersonissos - R16
Terence Atmane,Grigor Dimitrov,2.23,1.704,3.53,22.5,1.877,1.971,ATP,ATP Indian Wells - R1
Fabian Marozsan,Roberto Bautista Agut,1.33,3.54,3.44,21.5,1.971,1.885,ATP,ATP Indian Wells - R1
Michael Zheng,Arthur Cazaux,1.781,2.12,3.32,22.0,1.847,2.01,ATP,ATP Indian Wells - R1
Mariano Navone,Marcos Giron,3.06,1.415,3.35,21.5,1.917,1.935,ATP,ATP Indian Wells - R1
Sebastian Korda,Francisco Comesana,1.189,5.21,3.3,21.0,1.909,1.943,ATP,ATP Indian Wells - R1
Mattia Bellucci,Gabriel Diallo,2.09,1.8,3.4,23.0,1.935,1.917,ATP,ATP Indian Wells - R1
Kamil Majchrzak,Giovanni Mpetshi Perricard,1.826,2.06,3.31,25.0,1.901,1.952,ATP,ATP Indian Wells - R1
Jenson Brooksby,Alexei Popyrin,1.735,2.18,3.51,22.5,1.877,1.98,ATP,ATP Indian Wells - R1
Reilly Opelka,Ethan Quinn,2.01,1.87,3.23,25.0,1.926,1.926,ATP,ATP Indian Wells - R1
Camilo Ugo Carabelli,Martin Damm,2.53,1.565,3.42,22.5,1.862,1.99,ATP,ATP Indian Wells - R1
Stefanos Tsitsipas,Denis Shapovalov,1.787,2.11,3.35,23.0,1.893,1.962,ATP,ATP Indian Wells - R1
Joao Fonseca,Raphael Collignon,1.704,2.24,3.33,22.5,1.917,1.935,ATP,ATP Indian Wells - R1
Daniel Altmaier,Miomir Kecmanovic,4.57,1.227,3.38,21.5,1.909,1.943,ATP,ATP Indian Wells - R1
Nuno Borges,Emilio Nava,1.562,2.54,3.39,23.0,1.877,1.98,ATP,ATP Indian Wells - R1
Zachary Svajda,Marin Cilic,2.07,1.813,3.47,23.0,1.926,1.926,ATP,ATP Indian Wells - R1
Matteo Berrettini,Adrian Mannarino,1.405,3.1,3.43,22.5,1.971,1.885,ATP,ATP Indian Wells - R1
Alejandro Tabilo,Rafael Jodar,2.14,1.763,3.45,22.0,1.877,1.971,ATP,ATP Indian Wells - R1
Jacob Fearnley,Damir Dzumhur,1.694,2.26,3.28,22.0,1.952,1.901,ATP,ATP Indian Wells - R1
Quentin Halys,Adam Walton,1.552,2.57,3.34,23.0,1.909,1.943,ATP,ATP Indian Wells - R1
Zizou Bergs,Jan-Lennard Struff,1.855,2.02,3.41,23.0,1.901,1.952,ATP,ATP Indian Wells - R1
Juan Manuel Cerundolo,Botic Van de Zandschulp,2.94,1.441,3.41,22.0,1.971,1.877,ATP,ATP Indian Wells - R1
Hubert Hurkacz,Aleksandar Kovacevic,1.357,3.37,3.37,23.5,1.98,1.877,ATP,ATP Indian Wells - R1
Luis Miguel,Juan Pablo Ficovich,2.61,1.538,3.33,22.0,1.952,1.901,Challenger,ATP Challenger Brasilia - R1
Filip Cristian Jianu,Arthur Gea,2.66,1.51,3.82,22.0,1.971,1.862,Challenger,ATP Challenger Kigali - R16
Marco Trungelliti,Florent Bax,1.249,4.21,3.82,21.0,1.885,1.952,Challenger,ATP Challenger Kigali - R16
Joel Josef Schwaerzler,Zdenek Kolar,1.654,2.3,3.94,22.5,1.935,1.901,Challenger,ATP Challenger Kigali - R16
Michiel De Krom,Jerome Kym,6.3,1.139,3.67,19.5,1.847,1.99,Challenger,ATP Challenger Kigali - R16
Sandro Kopp,Marco Cecchinato,2.58,1.535,3.91,22.0,1.855,1.99,Challenger,ATP Challenger Kigali - R16
Stefano Napolitano,Luka Mikrut,2.51,1.562,3.86,22.0,1.909,1.926,Challenger,ATP Challenger Kigali - R16
Pierre-Hugues Herbert,Gilles Arnaud Bailly,1.455,2.85,3.82,21.5,1.901,1.935,Challenger,ATP Challenger Thionville - R1
August Holmgren,Keegan Smith,2.18,1.725,3.84,23.0,1.917,1.917,Challenger,ATP Challenger Thionville - R1
Sebastian Ofner,George Loffhagen,1.478,2.76,3.89,22.5,1.885,1.952,Challenger,ATP Challenger Thionville - R1
Murphy Cassone,Charles Broom,1.704,2.21,3.93,22.5,1.901,1.935,Challenger,ATP Challenger Thionville - R1
Alexis Galarneau,Tomas Barrios Vera,1.813,2.06,3.7,22.5,1.893,1.943,ATP,ATP Indian Wells - Qualifiers
Vit Kopriva,Dalibor Svrcina,1.763,2.12,3.89,21.5,1.935,1.901,ATP,ATP Indian Wells - Qualifiers
Roman Andres Burruchaga,Chun Hsin Tseng,1.746,2.15,3.79,22.0,1.962,1.877,ATP,ATP Indian Wells - Qualifiers
Ignacio Buse,Rinky Hijikata,1.741,2.15,3.95,22.0,1.862,1.971,ATP,ATP Indian Wells - Qualifiers
Trevor Svajda,Mackenzie McDonald,3.22,1.373,3.89,21.0,1.909,1.926,ATP,ATP Indian Wells - Qualifiers
Tristan Schoolkate,Elias Ymer,1.633,2.35,3.79,23.0,1.87,1.962,ATP,ATP Indian Wells - Qualifiers
