league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
serie-a,2025-2026,13/09/2025,Juventus,Inter,4,3,12,18,4,4,5,9,14,10,2,1,0,0,H,2,1,H,2.75,3,2.75,2.7,3,2.75,2.2,1.67,1.93,1.93,2.7,2.88,2.8,2.75,3,2.8,2.3,1.62,1.9,1.95
serie-a,2025-2026,13/09/2025,Fiorentina,Napoli,1,3,19,14,3,9,8,5,14,14,0,0,0,0,A,0,2,A,3.5,3.1,2.25,3.4,3.1,2.25,2.38,1.57,1.93,1.93,4.33,3.2,1.95,3.9,3.2,2.05,2.2,1.67,1.88,1.98
serie-a,2025-2026,14/09/2025,Roma,Torino,0,1,22,8,5,4,7,4,11,17,2,3,0,0,A,0,0,D,1.5,4.1,7,1.52,4.1,6.5,2.05,1.8,1.88,1.98,1.53,4.1,6.5,1.51,4.1,6.75,2.1,1.73,1.93,1.93
serie-a,2025-2026,14/09/2025,Atalanta,Lecce,4,1,19,12,8,3,8,2,12,7,0,0,0,0,H,1,0,H,1.4,4.5,8.5,1.41,4.75,7.75,1.8,2,1.9,1.95,1.4,4.5,8.5,1.38,4.75,8.5,1.8,2,1.88,1.98
serie-a,2025-2026,14/09/2025,Pisa,Udinese,0,1,12,13,2,3,8,6,13,15,1,2,0,0,A,0,1,A,2.75,3.1,2.75,2.8,3.1,2.6,2.3,1.62,1.93,1.93,2.88,3,2.7,2.85,2.95,2.7,2.5,1.53,2,1.85
serie-a,2025-2026,14/09/2025,Sassuolo,Lazio,1,0,10,13,3,3,3,7,15,11,6,3,0,0,H,0,0,D,3.5,3.6,2.05,3.5,3.5,2.05,1.9,1.95,1.8,2.05,4.2,3.4,1.9,4,3.5,1.93,2.03,1.83,1.93,1.93
serie-a,2025-2026,14/09/2025,Milan,Bologna,1,0,14,5,3,0,7,4,17,16,3,2,0,0,H,0,0,D,1.91,3.4,4.2,1.93,3.5,3.9,2,1.85,1.93,1.93,1.75,3.6,4.8,1.78,3.5,4.6,2.1,1.73,2.03,1.83
serie-a,2025-2026,15/09/2025,Verona,Cremonese,0,0,20,6,9,2,10,1,18,3,2,1,0,0,D,0,0,D,2.38,3.1,3.2,2.3,3.2,3.25,2.3,1.62,2.05,1.8,2.6,3,3,2.65,2.95,2.9,2.3,1.62,1.8,2.05
serie-a,2025-2026,15/09/2025,Como,Genoa,1,1,13,13,4,6,0,8,13,17,2,2,1,0,D,1,0,H,1.62,3.75,6,1.65,3.7,5.75,2.1,1.73,1.83,2.03,1.7,3.5,5.5,1.71,3.6,5.25,2.2,1.67,1.93,1.93
serie-a,2025-2026,19/09/2025,Lecce,Cagliari,1,2,11,15,5,6,4,7,10,19,2,3,0,0,A,1,1,D,2.88,2.9,2.75,2.8,2.9,2.8,2.5,1.53,1.98,1.88,2.8,2.88,2.8,2.87,2.9,2.7,2.63,1.5,1.93,1.93
serie-a,2025-2026,20/09/2025,Bologna,Genoa,2,1,14,7,6,4,8,2,12,15,1,5,0,0,H,0,0,D,1.83,3.2,5.25,1.82,3.3,4.8,2.5,1.53,1.85,2,2.15,2.88,4.1,2.1,2.95,4.1,2.75,1.44,2.1,1.7
serie-a,2025-2026,20/09/2025,Verona,Juventus,1,1,14,10,4,4,5,3,18,10,3,3,0,0,D,1,1,D,6.5,3.9,1.55,6.5,3.9,1.57,2.2,1.67,1.88,1.98,7,3.9,1.53,6.5,3.9,1.55,2,1.85,1.93,1.93
serie-a,2025-2026,20/09/2025,Udinese,Milan,0,3,10,13,4,6,1,4,9,7,2,0,0,0,A,0,1,A,4.33,3.6,1.83,4.33,3.6,1.82,2.1,1.73,2.03,1.83,5.25,4.1,1.65,5.25,3.9,1.65,1.73,2.1,2.05,1.8
serie-a,2025-2026,21/09/2025,Lazio,Roma,0,1,10,13,2,6,3,6,14,22,1,1,2,0,A,0,1,A,2.8,3.1,2.63,2.8,3.2,2.6,2.3,1.62,2,1.85,2.75,2.9,2.88,2.8,2.9,2.75,2.3,1.62,1.88,1.98
serie-a,2025-2026,21/09/2025,Cremonese,Parma,0,0,3,15,1,3,3,3,16,8,1,0,0,0,D,0,0,D,2.55,3.2,2.88,2.55,3.1,2.87,2.2,1.67,1.83,2.03,3,3.3,2.38,2.95,3.1,2.5,2.03,1.83,2.08,1.73
serie-a,2025-2026,21/09/2025,Torino,Atalanta,0,3,11,9,5,5,1,0,11,9,0,0,0,0,A,0,3,A,3.25,3.4,2.2,3.5,3.3,2.15,2.2,1.67,1.95,1.9,4.2,3.2,2,3.7,3.25,2.05,2.03,1.83,1.85,2
serie-a,2025-2026,21/09/2025,Fiorentina,Como,1,2,8,19,1,7,2,6,16,19,4,3,0,0,A,1,0,H,2.6,3.2,2.8,2.6,3.25,2.7,2.1,1.73,1.85,2,2.63,3.25,2.7,2.6,3.2,2.75,1.98,1.88,1.93,1.93
serie-a,2025-2026,21/09/2025,Inter,Sassuolo,2,1,20,9,6,5,7,3,15,8,2,1,0,0,H,1,0,H,1.29,5.5,12,1.28,5.75,10.5,1.57,2.38,2.03,1.83,1.29,5.5,10,1.3,5.5,9.5,1.53,2.5,1.88,1.98
