league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
la-liga,2026-2027,28/08/2026,Alaves,Villarreal,1,0,9,19,2,6,5,9,15,8,3,1,0,0,H,1,0,H,3.2,3.5,2.2,3.1,3.5,2.25,1.8,2,1.93,1.93,3.1,3.5,2.25,3,3.4,2.3,1.8,2,1.85,2
la-liga,2026-2027,29/08/2026,Levante,Betis,5,2,19,20,10,6,5,8,9,7,1,1,0,0,H,2,2,D,3.4,3.3,2.2,3.25,3.4,2.2,1.98,1.88,1.98,1.88,3.2,3.3,2.3,3,3.4,2.3,1.9,1.95,1.85,2
la-liga,2026-2027,29/08/2026,Sociedad,Espanol,2,1,17,11,10,3,7,3,19,14,2,4,0,0,H,1,1,D,1.91,3.6,4,1.9,3.6,3.9,1.88,1.98,1.9,1.95,1.9,3.7,4,1.85,3.75,4,1.73,2.1,1.88,1.98
la-liga,2026-2027,29/08/2026,Sevilla,Ath Madrid,1,3,20,12,5,5,4,2,20,16,2,2,0,0,A,0,3,A,3.6,3.3,2.1,3.6,3.4,2.05,1.98,1.88,2.03,1.83,4.1,3.5,1.91,4,3.4,1.95,2.1,1.73,1.93,1.93
la-liga,2026-2027,30/08/2026,Real Madrid,Malaga,4,0,19,14,8,1,9,6,6,9,0,2,0,0,H,3,0,H,1.11,9,21,1.14,9,17,1.33,3.4,1.95,1.9,1.09,11,21,1.12,10.5,18,1.22,4.33,1.88,1.98
la-liga,2026-2027,30/08/2026,La Coruna,Valencia,3,1,11,12,4,4,5,5,14,5,2,1,1,0,H,2,1,H,2.55,3,3.1,2.55,3.1,2.9,2.38,1.57,2.1,1.7,2.75,2.9,2.88,2.65,3,2.87,2.5,1.53,1.7,2.1
la-liga,2026-2027,30/08/2026,Celta,Ath Bilbao,0,2,8,17,2,7,4,7,8,17,0,3,0,0,A,0,2,A,2.38,3.2,3.1,2.37,3.3,3,2.1,1.73,2.05,1.8,2.88,3,2.7,2.75,3.1,2.7,2.38,1.57,2.03,1.83
la-liga,2026-2027,31/08/2026,Osasuna,Getafe,1,0,10,11,2,1,1,3,17,14,5,4,0,0,H,1,0,H,2.2,3,3.75,2.2,3,3.6,3,1.4,1.88,1.98,2.15,2.9,4.1,2.15,2.85,4,3.2,1.36,1.8,2.05
la-liga,2026-2027,31/08/2026,Barcelona,Vallecano,5,2,26,11,9,5,9,5,4,11,0,1,0,0,H,2,1,H,1.17,8,13,1.2,7.25,13,1.36,3.2,2,1.85,1.1,10,19,1.13,10,16.5,1.2,4.5,1.93,1.93
la-liga,2026-2027,03/09/2026,Sociedad,Celta,0,0,16,7,5,2,11,3,15,11,2,3,0,0,D,0,0,D,1.95,3.6,3.8,2,3.5,3.6,1.93,1.93,1.95,1.9,1.75,3.7,4.75,,,,1.8,2,1.75,2.05
la-liga,2026-2027,04/09/2026,Betis,Real Madrid,1,0,10,20,5,8,6,10,11,13,3,5,0,0,H,0,0,D,7,5.25,1.38,5.5,5,1.47,1.36,3.2,1.95,1.9,6.25,5,1.44,5.25,5,1.51,1.4,3,1.83,2.03
la-liga,2026-2027,05/09/2026,Ath Bilbao,Ath Madrid,3,0,11,15,4,5,3,8,8,6,0,1,0,0,H,0,0,D,3.1,3.3,2.3,2.9,3.4,2.35,1.91,1.91,1.85,2,2.7,3.25,2.63,,,,1.93,1.93,1.95,1.9
la-liga,2026-2027,05/09/2026,Vallecano,Santander,3,2,16,9,10,4,9,6,15,12,3,2,2,0,H,2,2,D,2.25,3.25,3.3,2.3,3.4,3,1.83,2.03,1.98,1.88,1.95,3.6,3.7,,,,1.67,2.2,1.98,1.88
la-liga,2026-2027,05/09/2026,Villarreal,La Coruna,2,3,17,8,5,3,7,1,14,14,2,2,0,0,A,1,1,D,1.5,4.2,6.5,1.5,4.4,6.25,1.73,2.1,1.75,2.05,1.44,4.75,7,1.46,4.8,6.25,1.67,2.2,1.98,1.88
la-liga,2026-2027,06/09/2026,Valencia,Barcelona,0,5,3,25,2,10,1,4,7,6,1,3,0,0,A,0,2,A,10,5.75,1.29,8.75,5.75,1.31,1.36,3.2,1.88,1.98,10,6.5,1.25,9,6.75,1.27,1.36,3.2,2.03,1.78
la-liga,2026-2027,06/09/2026,Alaves,Osasuna,5,2,12,7,7,5,4,1,14,13,1,2,0,0,H,2,0,H,2.25,3.1,3.5,2.25,3.1,3.4,2.5,1.53,1.93,1.93,2.2,3.1,3.6,2.2,3.1,3.5,2.38,1.57,1.9,1.95
la-liga,2026-2027,06/09/2026,Malaga,Levante,0,0,10,11,3,3,6,4,15,11,4,2,0,0,D,0,0,D,2.38,3.25,3,2.45,3.25,2.9,1.98,1.88,2.05,1.8,2.35,3.3,3,2.4,3.3,2.95,1.93,1.93,2.05,1.8
la-liga,2026-2027,06/09/2026,Espanol,Sevilla,1,1,12,6,3,3,0,4,17,13,2,3,0,1,D,0,0,D,2.3,3.1,3.4,2.25,3.25,3.25,2.38,1.57,1.95,1.9,2.3,3.2,3.25,2.3,3.2,3.2,2.2,1.67,2,1.85
la-liga,2026-2027,07/09/2026,Getafe,Celta,1,1,10,16,2,3,3,5,8,9,4,2,1,0,D,1,0,H,2.4,2.9,3.4,2.45,2.85,3.3,3,1.4,2.03,1.83,2.75,2.75,3,,,,3.5,1.3,1.83,2.03
la-liga,2026-2027,07/09/2026,Elche,Sociedad,2,3,20,13,10,6,6,7,9,8,4,1,0,1,A,0,2,A,3.1,3.25,2.38,2.85,3.5,2.37,1.8,2,1.8,2.05,3,3.4,2.3,,,,1.73,2.1,1.85,2
