league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2026-2027,04/09/2026,Ipswich,Liverpool,0,2,14,10,5,7,4,3,6,13,1,3,0,0,A,0,2,A,D England,5.25,4.75,1.5,5,4.8,1.53,1.4,3,1.8,2.05,4.75,4.33,1.62,4.6,4.2,1.66,1.5,2.63,1.83,2.03
epl,2026-2027,05/09/2026,Newcastle,Bournemouth,2,2,8,17,2,5,4,3,19,17,2,3,0,0,D,1,2,A,R Jones,2.1,3.6,3.3,2.1,3.75,3.1,1.57,2.38,1.83,2.03,2.15,3.5,3.25,,,,1.62,2.3,1.85,2
epl,2026-2027,05/09/2026,Brentford,Sunderland,1,1,12,14,2,5,4,3,19,9,3,2,0,0,D,0,0,D,T Bramall,1.62,3.9,5.5,1.61,4,5.25,1.8,2,1.83,2.03,1.7,3.8,4.75,1.68,3.8,5,1.83,2.03,1.88,1.98
epl,2026-2027,05/09/2026,Brighton,Leeds,1,1,20,10,5,5,7,6,13,16,3,3,0,0,D,0,1,A,S Attwell,1.95,3.5,3.9,1.95,3.6,3.7,1.91,1.91,1.98,1.88,1.91,3.7,3.75,1.95,3.6,3.75,1.8,2,1.95,1.9
epl,2026-2027,05/09/2026,Fulham,Crystal Palace,2,3,25,10,6,5,7,1,6,7,0,0,0,0,A,2,1,H,S Barrott,2.3,3.25,3.25,2.25,3.4,3.1,1.91,1.91,1.98,1.88,2.2,3.4,3.4,2.15,3.4,3.4,1.88,1.98,1.88,1.98
epl,2026-2027,05/09/2026,Man City,Coventry,1,0,15,12,4,3,4,5,7,17,1,2,0,0,H,1,0,H,P Tierney,1.18,8,12,1.2,7.5,12.5,1.36,3.2,2.03,1.78,1.18,7.5,13,,,,1.4,3,1.98,1.88
epl,2026-2027,05/09/2026,Nott'm Forest,Tottenham,0,0,12,11,2,0,2,10,22,14,2,2,0,0,D,0,0,D,C Pawson,2.4,3.4,2.9,2.45,3.25,2.87,1.91,1.91,2.05,1.8,2.7,3.3,2.63,,,,1.85,2,1.98,1.88
epl,2026-2027,05/09/2026,Hull,Aston Villa,0,0,11,13,4,1,3,4,10,5,2,0,0,0,D,0,0,D,M Oliver,4.2,3.6,1.85,4.1,3.6,1.85,1.88,1.98,1.98,1.88,4,3.6,1.91,,,,1.8,2,1.93,1.93
epl,2026-2027,06/09/2026,Everton,Man United,2,2,18,14,6,3,4,3,7,11,3,3,0,0,D,0,0,D,J Brooks,3.3,3.5,2.1,3.1,3.6,2.2,1.73,2.1,2,1.85,3.75,3.8,1.9,3.6,3.75,1.93,1.57,2.38,1.95,1.9
epl,2026-2027,06/09/2026,Arsenal,Chelsea,2,1,16,13,9,5,5,3,13,16,2,4,0,0,H,1,1,D,C Kavanagh,1.67,3.75,5.25,1.66,3.9,5,1.73,2.1,1.88,1.98,1.7,3.9,4.75,1.7,4,4.6,1.73,2.1,1.93,1.93
