league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2025-2026,13/09/2025,Heidenheim,Dortmund,0,2,6,17,1,8,5,4,5,9,2,3,1,0,A,0,2,A,5.5,4.5,1.55,5,4.4,1.58,1.5,2.63,1.98,1.88,5,4.5,1.57,4.8,4.5,1.6,1.44,2.75,1.93,1.93
bundesliga,2025-2026,13/09/2025,Mainz,RB Leipzig,0,1,13,19,2,3,3,5,12,11,1,0,0,0,A,0,1,A,2.55,3.6,2.63,2.6,3.6,2.5,1.67,2.2,1.9,1.95,2.35,3.8,2.8,2.35,3.7,2.8,1.53,2.5,2.05,1.8
bundesliga,2025-2026,13/09/2025,Union Berlin,Hoffenheim,2,4,20,9,7,8,9,2,13,12,1,1,1,0,A,0,2,A,2.6,3.4,2.7,2.55,3.4,2.65,1.88,1.98,1.93,1.93,2.88,3.4,2.45,2.7,3.4,2.55,1.83,2.03,2.1,1.78
bundesliga,2025-2026,13/09/2025,Wolfsburg,FC Koln,3,3,14,14,6,8,7,4,15,11,2,3,0,0,D,1,1,D,1.95,3.5,3.9,2,3.5,3.7,1.8,2,2,1.85,1.91,3.6,3.75,1.93,3.7,3.7,1.73,2.1,1.95,1.9
bundesliga,2025-2026,13/09/2025,Bayern Munich,Hamburg,5,0,22,9,12,2,5,3,11,14,2,2,0,0,H,4,0,H,1.06,12,26,1.08,13.5,26,1.22,4.33,1.98,1.88,1.06,12,23,1.08,13.5,26,1.14,5.5,1.85,2
bundesliga,2025-2026,14/09/2025,St Pauli,Augsburg,2,1,13,10,7,5,3,1,10,12,1,4,0,0,H,1,1,D,2.2,3.4,3.3,2.2,3.3,3.3,2.1,1.73,1.88,1.98,2.1,3.5,3.3,2.1,3.4,3.5,1.9,1.95,1.8,2.05
bundesliga,2025-2026,14/09/2025,M'gladbach,Werder Bremen,0,4,19,12,3,7,9,4,12,9,1,0,0,0,A,0,2,A,1.95,3.9,3.4,1.95,3.8,3.5,1.5,2.63,1.98,1.88,2.1,3.9,3,2.1,3.8,3.1,1.44,2.75,1.85,2
bundesliga,2025-2026,19/09/2025,Stuttgart,St Pauli,2,0,17,9,8,2,8,4,13,15,0,2,0,0,H,1,0,H,1.75,4.1,4.2,1.78,3.8,4.2,1.73,2.1,2,1.85,1.8,3.9,4,1.87,3.8,3.8,1.62,2.3,1.78,2.03
bundesliga,2025-2026,20/09/2025,Augsburg,Mainz,1,4,18,12,5,4,6,6,13,10,1,2,0,1,A,0,2,A,2.7,3.4,2.6,2.65,3.3,2.6,1.93,1.93,1.98,1.88,2.63,3.5,2.63,2.65,3.4,2.6,1.67,2.2,1.95,1.9
bundesliga,2025-2026,20/09/2025,Hamburg,Heidenheim,2,1,22,20,9,8,1,12,15,10,5,1,0,0,H,1,0,H,2.05,3.6,3.5,2.05,3.5,3.6,1.8,2,2.05,1.8,1.75,3.9,4.5,1.77,3.9,4.2,1.67,2.2,1.98,1.88
bundesliga,2025-2026,20/09/2025,Hoffenheim,Bayern Munich,1,4,12,18,4,10,5,5,17,9,1,2,0,0,A,0,1,A,7,6,1.33,7.5,5.75,1.35,1.29,3.75,2,1.85,7.5,5.25,1.36,7,5.5,1.37,1.33,3.4,1.88,1.98
bundesliga,2025-2026,20/09/2025,Werder Bremen,Freiburg,0,3,12,10,5,5,2,0,13,7,5,2,0,0,A,0,1,A,2.38,3.6,2.8,2.4,3.5,2.75,1.62,2.3,2.05,1.8,2.35,3.6,2.88,2.4,3.5,2.75,1.73,2.1,2.05,1.8
bundesliga,2025-2026,20/09/2025,RB Leipzig,FC Koln,3,1,18,13,8,2,9,5,10,8,1,1,0,0,H,3,1,H,1.65,4.33,4.5,1.68,4.1,4.6,1.53,2.5,1.83,2.03,1.9,4,3.75,1.9,4,3.6,1.4,3,1.88,1.98
bundesliga,2025-2026,21/09/2025,Ein Frankfurt,Union Berlin,3,4,19,11,10,5,5,1,10,11,3,2,0,0,A,1,2,A,1.57,4.33,5.5,1.58,4.33,5.25,1.57,2.38,1.93,1.93,1.62,4.2,4.75,1.61,4.2,5,1.62,2.3,2.05,1.8
bundesliga,2025-2026,21/09/2025,Leverkusen,M'gladbach,1,1,13,13,9,7,3,4,12,15,5,5,0,0,D,0,0,D,1.57,5,4.5,1.58,4.4,5,1.44,2.75,1.93,1.93,1.5,4.5,6.25,1.52,4.4,5.75,1.57,2.38,1.83,2.03
