league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2025-2026,30/08/2025,Toulouse,Paris SG,3,6,14,13,6,8,5,7,7,11,1,0,0,0,A,1,4,A,8.5,5.25,1.33,8.75,5.25,1.34,1.57,2.38,1.88,1.98,8.5,5.25,1.33,8.5,5.25,1.34,1.53,2.5,1.93,1.93
ligue-1,2025-2026,31/08/2025,Angers,Rennes,1,1,10,15,7,7,1,7,9,11,2,2,0,0,D,0,1,A,3.4,3.5,2.1,3.25,3.4,2.15,2.05,1.8,2.03,1.83,4.75,3.5,1.77,4.2,3.6,1.83,1.93,1.93,1.8,2.05
ligue-1,2025-2026,31/08/2025,Le Havre,Nice,3,1,12,7,8,3,0,5,13,16,1,4,0,0,H,1,0,H,3.6,3.5,2.05,3.5,3.4,2.1,1.88,1.98,1.8,2.05,3.1,3.3,2.3,3.25,3.4,2.2,1.95,1.9,1.88,1.98
ligue-1,2025-2026,31/08/2025,Monaco,Strasbourg,3,2,12,12,4,4,6,5,13,12,2,1,0,1,H,1,0,H,1.55,4.33,5.5,1.55,4.33,5.5,1.62,2.3,1.9,1.95,1.42,5.25,6.25,1.42,4.8,7,1.44,2.75,1.9,1.95
ligue-1,2025-2026,31/08/2025,Paris FC,Metz,3,2,24,14,9,2,14,6,4,8,1,1,0,1,H,1,1,D,1.8,3.7,4.33,1.85,3.6,4.2,1.98,1.88,1.8,2.05,1.73,4,4.5,1.77,3.7,4.5,1.85,2,1.98,1.88
ligue-1,2025-2026,31/08/2025,Lyon,Marseille,1,0,17,5,5,2,9,4,16,11,2,2,0,1,H,0,0,D,2.63,3.6,2.5,2.7,3.7,2.4,1.53,2.4,2.03,1.83,2.8,3.4,2.45,2.87,3.5,2.35,1.75,2.05,1.73,2.08
ligue-1,2025-2026,12/09/2025,Marseille,Lorient,4,0,15,4,8,1,10,0,18,5,3,2,0,1,H,3,0,H,1.38,5,7.5,1.36,5.25,7.5,1.5,2.63,2.03,1.83,1.36,5,8.5,1.36,5.25,8.25,1.67,2.2,2.03,1.83
ligue-1,2025-2026,13/09/2025,Nice,Nantes,1,0,19,14,8,3,7,4,16,13,2,0,0,0,H,0,0,D,1.67,3.7,5.25,1.68,3.9,4.8,1.9,1.95,1.9,1.95,1.53,4.2,6.25,1.57,4.2,5.5,1.73,2.1,1.88,1.98
ligue-1,2025-2026,13/09/2025,Auxerre,Monaco,1,2,9,13,2,3,5,8,12,19,3,6,1,0,A,0,1,A,5,4.33,1.6,4.8,4.33,1.62,1.53,2.5,1.85,2,5,4.5,1.57,5,4.5,1.57,1.44,2.75,1.93,1.93
ligue-1,2025-2026,14/09/2025,Lille,Toulouse,2,1,20,9,5,4,7,6,12,10,2,3,0,1,H,0,0,D,1.75,3.8,4.5,1.8,3.8,4.1,1.8,2,2,1.85,1.85,3.7,4.2,1.87,3.6,4,1.98,1.88,1.83,2.03
ligue-1,2025-2026,14/09/2025,Brest,Paris FC,1,2,23,7,8,4,6,1,11,10,0,2,0,1,A,0,2,A,2.25,3.5,3.1,2.25,3.5,3,1.73,2.1,1.98,1.88,2.63,3.4,2.6,2.65,3.4,2.55,1.8,2,1.95,1.9
ligue-1,2025-2026,14/09/2025,Metz,Angers,1,1,9,11,5,4,4,3,10,7,0,1,0,0,D,1,0,H,2.25,3.4,3.2,2.25,3.4,3.1,2.1,1.73,2,1.85,2.25,3.4,3.2,2.25,3.3,3.2,2.1,1.73,1.98,1.88
ligue-1,2025-2026,14/09/2025,Paris SG,Lens,2,0,14,11,6,3,4,3,10,8,1,2,0,0,H,1,0,H,1.33,5.75,7.5,1.32,6,8,1.36,3.2,2.05,1.75,1.36,5.5,7,1.35,5.75,7.25,1.4,3,1.98,1.88
ligue-1,2025-2026,14/09/2025,Strasbourg,Le Havre,1,0,9,10,7,1,4,3,8,16,2,2,1,0,H,0,0,D,1.62,4,5.5,1.62,4.1,5,1.8,2,2.05,1.75,1.83,3.7,4.2,1.82,3.7,4.2,2.03,1.83,1.83,2.03
ligue-1,2025-2026,14/09/2025,Rennes,Lyon,3,1,23,8,5,5,5,4,18,13,2,2,0,1,H,0,1,A,2.63,3.6,2.55,2.7,3.5,2.5,1.73,2.1,1.95,1.9,2.55,3.3,2.8,2.5,3.4,2.75,1.9,1.95,1.8,2.05
ligue-1,2025-2026,19/09/2025,Lyon,Angers,1,0,16,10,5,2,7,4,16,10,2,2,0,0,H,0,0,D,1.44,4.33,7,1.46,4.5,6.5,1.8,2,2.05,1.8,1.48,4.5,6.5,1.46,4.6,6.75,1.8,2.05,2.05,1.75
ligue-1,2025-2026,20/09/2025,Nantes,Rennes,2,2,16,8,4,4,4,4,14,18,3,1,0,0,D,0,2,A,3.5,3.4,2.1,3.4,3.4,2.15,2.05,1.8,2.05,1.8,4.1,3.5,1.91,3.75,3.4,2,2.03,1.83,1.93,1.93
ligue-1,2025-2026,20/09/2025,Brest,Nice,4,1,11,21,5,4,2,7,17,11,1,3,0,0,H,2,1,H,2.63,3.5,2.6,2.6,3.6,2.5,1.73,2.1,1.98,1.88,3,3.6,2.3,2.9,3.5,2.35,1.67,2.2,1.85,2
ligue-1,2025-2026,20/09/2025,Lens,Lille,3,0,15,17,6,3,4,10,17,11,1,3,0,0,H,2,0,H,2.38,3.5,2.9,2.37,3.5,2.8,1.8,2,1.7,2.1,2.2,3.5,3.2,2.25,3.4,3.1,1.8,2,1.93,1.93
ligue-1,2025-2026,21/09/2025,Paris FC,Strasbourg,2,3,18,8,6,4,4,2,11,10,1,5,0,0,A,0,1,A,2.35,3.5,2.9,2.37,3.5,2.8,1.73,2.1,2.05,1.8,2.35,3.4,3,2.35,3.4,2.9,1.8,2,2.05,1.8
ligue-1,2025-2026,21/09/2025,Auxerre,Toulouse,1,0,6,13,1,3,3,4,12,20,1,6,1,0,H,1,0,H,2.75,3.2,2.7,2.65,3.3,2.6,2.05,1.8,1.98,1.88,3.4,3.3,2.2,3.25,3.2,2.25,2,1.8,1.93,1.93
ligue-1,2025-2026,21/09/2025,Le Havre,Lorient,1,1,13,8,2,4,6,2,20,15,3,6,0,0,D,0,1,A,2.25,3.5,3.1,2.25,3.4,3.1,1.95,1.9,1.98,1.88,2,3.4,3.8,2.1,3.25,3.6,2.2,1.67,1.75,2.05
ligue-1,2025-2026,21/09/2025,Monaco,Metz,5,2,16,8,6,3,4,5,15,6,1,0,0,0,H,1,1,D,1.27,6,10,1.27,6,9.75,1.36,3.2,1.93,1.93,1.3,5.75,8.5,1.32,5.5,8.75,1.44,2.75,1.83,2.03
