kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-04-27T18:45:00Z,serie-a,Lazio Rome,Udinese Calcio,Udinese Calcio,away,10.5,over,0.5326,1.878,2.0,Bet365,0.0652,2026-04-23T23:13:33Z,10.42,10.63,0.0203,aligned,0.0,False
2026-04-26T14:15:00Z,la-liga,Real Oviedo,Elche CF,Elche CF,away,11.5,over,0.5311,1.883,2.0,Bet365,0.0622,2026-04-23T23:13:34Z,9.87,10.19,0.0321,aligned,0.0,False
2026-04-25T18:45:00Z,serie-a,Hellas Verona,US Lecce,Hellas Verona,home,11.5,over,0.6137,1.629,1.727,Bet365,0.0599,2026-04-23T23:13:33Z,12.12,11.76,0.0295,aligned,0.0,False
2026-04-26T12:00:00Z,la-liga,Rayo Vallecano,Real Sociedad San Sebastian,Rayo Vallecano,home,14.5,over,0.5534,1.807,1.909,Bet365,0.0564,2026-04-23T23:13:34Z,17.89,18.25,0.0201,aligned,0.0,False
2026-04-26T16:00:00Z,serie-a,Torino FC,Inter Milano,Inter Milano,away,15.5,under,0.5479,1.825,1.909,Bet365,0.0459,2026-04-23T23:13:33Z,16.86,15.53,0.0785,aligned,0.0,False
2026-04-26T16:00:00Z,serie-a,Torino FC,Inter Milano,Torino FC,home,9.5,over,0.6043,1.655,1.727,Bet365,0.0436,2026-04-23T23:13:33Z,9.72,9.45,0.0277,aligned,0.0,False
2026-04-26T12:00:00Z,la-liga,Rayo Vallecano,Real Sociedad San Sebastian,Real Sociedad San Sebastian,away,10.5,over,0.5962,1.677,1.727,Bet365,0.0296,2026-04-23T23:13:34Z,11.92,10.3,0.136,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,FC Augsburg,Eintracht Frankfurt,FC Augsburg,home,14.5,under,0.5598,1.786,1.833,Bet365,0.0261,2026-04-23T23:13:36Z,12.6,13.25,0.0514,aligned,0.0,False
2026-04-25T11:30:00Z,epl,Fulham FC,Aston Villa,Fulham FC,home,13.5,over,0.5597,1.787,1.833,Bet365,0.0259,2026-04-23T23:13:31Z,14.86,16.51,0.1106,aligned,0.0,False
2026-04-26T18:45:00Z,serie-a,AC Milan,Juventus Turin,Juventus Turin,away,12.5,over,0.5936,1.685,1.727,Bet365,0.0251,2026-04-23T23:13:33Z,12.76,13.21,0.035,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,1. FC Heidenheim,FC St. Pauli,1. FC Heidenheim,home,12.5,under,0.558,1.792,1.833,Bet365,0.0228,2026-04-23T23:13:36Z,11.03,9.96,0.0973,aligned,0.0,False
2026-04-26T16:30:00Z,la-liga,CA Osasuna,Sevilla FC,CA Osasuna,home,12.5,under,0.5903,1.694,1.727,Bet365,0.0194,2026-04-23T23:13:34Z,11.9,13.23,0.1113,aligned,0.0,False
2026-04-24T18:45:00Z,serie-a,SSC Napoli,US Cremonese,SSC Napoli,home,16.5,under,0.5333,1.875,1.909,Bet365,0.0181,2026-04-23T23:13:33Z,17.04,16.68,0.0213,aligned,0.0,False
2026-04-25T16:30:00Z,bundesliga,Hamburger SV,TSG Hoffenheim,TSG Hoffenheim,away,15.5,under,0.5642,1.772,1.8,Bet365,0.0156,2026-04-23T23:13:36Z,13.88,14.69,0.0587,aligned,0.0,False
2026-04-26T14:15:00Z,la-liga,Real Oviedo,Elche CF,Real Oviedo,home,12.5,over,0.5873,1.703,1.727,Bet365,0.0143,2026-04-23T23:13:34Z,13.29,13.42,0.0101,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,FSV Mainz,Bayern Munich,Bayern Munich,away,17.5,under,0.582,1.718,1.727,Bet365,0.0051,2026-04-23T23:13:36Z,17.9,16.18,0.0963,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,1. FC Cologne,Bayer Leverkusen,1. FC Cologne,home,12.5,over,0.5471,1.828,1.833,Bet365,0.0028,2026-04-23T23:13:36Z,12.99,13.22,0.0175,aligned,0.0,False
2026-04-27T19:00:00Z,epl,Manchester United,Brentford FC,Manchester United,home,16.5,under,0.5543,1.804,1.8,Bet365,-0.0023,2026-04-23T23:13:31Z,18.22,18.16,0.0036,aligned,0.0,False
2026-04-25T16:30:00Z,la-liga,Valencia CF,Girona FC,Girona FC,away,9.5,under,0.4977,2.009,2.0,Bet365,-0.0046,2026-04-23T23:13:34Z,8.66,9.65,0.1141,aligned,0.0,False
2026-04-26T10:30:00Z,serie-a,ACF Fiorentina,Sassuolo Calcio,ACF Fiorentina,home,15.5,under,0.5204,1.922,1.909,Bet365,-0.0066,2026-04-23T23:13:33Z,19.09,17.36,0.0902,aligned,0.0,False
2026-04-26T19:00:00Z,la-liga,Villarreal CF,RC Celta de Vigo,RC Celta de Vigo,away,10.5,over,0.4947,2.021,2.0,Bet365,-0.0106,2026-04-23T23:13:34Z,9.61,9.73,0.013,aligned,0.0,False
2026-04-27T16:30:00Z,serie-a,Cagliari Calcio,Atalanta BC,Cagliari Calcio,home,10.5,over,0.5728,1.746,1.727,Bet365,-0.0108,2026-04-23T23:13:33Z,9.89,10.91,0.1032,aligned,0.0,False
2026-04-26T16:30:00Z,la-liga,CA Osasuna,Sevilla FC,Sevilla FC,away,11.5,under,0.5701,1.754,1.727,Bet365,-0.0154,2026-04-23T23:13:34Z,11.13,11.91,0.0701,aligned,0.0,False
2026-04-25T19:00:00Z,la-liga,Atletico Madrid,Athletic Bilbao,Atletico Madrid,home,11.5,under,0.4879,2.05,2.0,Bet365,-0.0242,2026-04-23T23:13:34Z,12.54,12.03,0.041,aligned,0.0,False
2026-04-25T16:30:00Z,epl,Arsenal FC,Newcastle United,Newcastle United,away,9.5,under,0.5305,1.885,1.833,Bet365,-0.0276,2026-04-23T23:13:31Z,7.64,7.36,0.0363,aligned,0.0,False
2026-04-24T18:30:00Z,bundesliga,RB Leipzig,Union Berlin,Union Berlin,away,9.5,over,0.5302,1.886,1.833,Bet365,-0.0281,2026-04-23T23:13:36Z,9.87,8.05,0.1842,divergent,0.0,False
2026-04-25T18:45:00Z,serie-a,Hellas Verona,US Lecce,US Lecce,away,10.5,under,0.5347,1.87,1.8,Bet365,-0.0375,2026-04-23T23:13:33Z,9.11,9.73,0.0679,aligned,0.0,False
2026-04-25T13:00:00Z,serie-a,Parma Calcio,Pisa SC,Pisa SC,away,10.5,under,0.5031,1.988,1.909,Bet365,-0.0396,2026-04-23T23:13:33Z,10.45,9.25,0.1149,aligned,0.0,False
2026-04-24T18:45:00Z,serie-a,SSC Napoli,US Cremonese,US Cremonese,away,8.5,under,0.5555,1.8,1.727,Bet365,-0.0407,2026-04-23T23:13:33Z,5.92,5.55,0.063,aligned,0.0,False
2026-04-25T12:00:00Z,la-liga,Deportivo Alaves,RCD Mallorca,RCD Mallorca,away,10.5,under,0.4795,2.086,2.0,Bet365,-0.041,2026-04-23T23:13:34Z,9.11,7.78,0.1464,aligned,0.0,False
2026-04-24T19:00:00Z,epl,Sunderland AFC,Nottingham Forest,Sunderland AFC,home,11.5,under,0.5229,1.912,1.833,Bet365,-0.0415,2026-04-23T23:13:31Z,11.13,12.5,0.1236,aligned,0.0,False
2026-04-25T12:00:00Z,la-liga,Deportivo Alaves,RCD Mallorca,Deportivo Alaves,home,14.5,over,0.555,1.802,1.727,Bet365,-0.0415,2026-04-23T23:13:34Z,16.61,18.79,0.1311,aligned,0.0,False
2026-04-26T10:30:00Z,serie-a,ACF Fiorentina,Sassuolo Calcio,Sassuolo Calcio,away,10.5,over,0.5199,1.923,1.833,Bet365,-0.047,2026-04-23T23:13:33Z,11.78,13.95,0.1844,divergent,0.0,False
2026-04-24T19:00:00Z,la-liga,Real Betis Seville,Real Madrid,Real Betis Seville,home,12.5,over,0.474,2.11,2.0,Bet365,-0.052,2026-04-23T23:13:34Z,12.87,12.23,0.0499,aligned,0.0,False
2026-04-25T16:00:00Z,serie-a,Bologna FC,AS Roma,Bologna FC,home,11.5,over,0.5485,1.823,1.727,Bet365,-0.0527,2026-04-23T23:13:33Z,12.58,11.93,0.0517,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,FC Augsburg,Eintracht Frankfurt,Eintracht Frankfurt,away,11.5,over,0.5134,1.948,1.833,Bet365,-0.0589,2026-04-23T23:13:36Z,10.81,9.23,0.1466,aligned,0.0,False
2026-04-27T19:00:00Z,epl,Manchester United,Brentford FC,Brentford FC,away,9.5,over,0.5438,1.839,1.727,Bet365,-0.0609,2026-04-23T23:13:31Z,8.47,8.77,0.0351,aligned,0.0,False
2026-04-25T14:00:00Z,epl,West Ham United,Everton FC,West Ham United,home,12.5,over,0.5194,1.925,1.8,Bet365,-0.0651,2026-04-23T23:13:31Z,12.57,13.6,0.082,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,1. FC Cologne,Bayer Leverkusen,Bayer Leverkusen,away,13.5,under,0.4885,2.047,1.909,Bet365,-0.0675,2026-04-23T23:13:36Z,12.33,13.29,0.0779,aligned,0.0,False
2026-04-24T19:00:00Z,la-liga,Real Betis Seville,Real Madrid,Real Madrid,away,14.5,under,0.5086,1.966,1.833,Bet365,-0.0677,2026-04-23T23:13:34Z,15.87,13.39,0.1562,divergent,0.0,False
2026-04-26T18:45:00Z,serie-a,AC Milan,Juventus Turin,AC Milan,home,13.5,under,0.5374,1.861,1.727,Bet365,-0.0719,2026-04-23T23:13:33Z,14.41,13.91,0.0347,aligned,0.0,False
2026-04-25T14:00:00Z,epl,Wolverhampton Wanderers,Tottenham Hotspur,Tottenham Hotspur,away,13.5,under,0.4854,2.06,1.909,Bet365,-0.0734,2026-04-23T23:13:31Z,12.68,15.25,0.2023,divergent,0.0,False
2026-04-25T14:00:00Z,epl,Wolverhampton Wanderers,Tottenham Hotspur,Tottenham Hotspur,away,13.5,over,0.5146,1.943,1.8,Bet365,-0.0737,2026-04-23T23:13:31Z,12.68,15.25,0.2023,divergent,0.0,False
