scope,league,lambda_source,alpha,edge_threshold,n,wins,losses,pushes,pnl,staked,roi_pct,avg_prob,avg_edge,avg_odds,overs,unders
league,la-liga,lambda_shots,0.06,0.10,10,7,3,0,2.756,10.0,27.56,0.70268,0.27441,1.8192,5,5
league,serie-a,lambda_shots,0.06,0.10,7,4,3,0,0.56,7.0,8.0,0.66711,0.26526,1.9003,2,5
league,bundesliga,lambda_shots,0.06,0.15,2,1,1,0,-0.091,2.0,-4.55,0.71644,0.32351,1.8545,0,2
league,epl,lambda_shots,0.06,0.15,4,1,3,0,-2.091,4.0,-52.275,0.65265,0.18473,1.8173,1,3
league,la-liga,lambda_shots,0.06,0.15,7,5,2,0,1.923,7.0,27.4714,0.74439,0.34152,1.8046,4,3
league,serie-a,lambda_shots,0.06,0.15,6,4,2,0,1.56,6.0,26.0,0.67939,0.28733,1.8988,1,5
league,bundesliga,lambda_shots,0.06,0.20,1,0,1,0,-1.0,1.0,-100.0,0.81043,0.45877,1.8,0,1
league,la-liga,lambda_shots,0.06,0.20,7,5,2,0,1.923,7.0,27.4714,0.74439,0.34152,1.8046,4,3
league,serie-a,lambda_shots,0.06,0.20,5,3,2,0,0.651,5.0,13.02,0.69325,0.31185,1.8968,1,4
league,bundesliga,lambda_shots,0.06,0.25,1,0,1,0,-1.0,1.0,-100.0,0.81043,0.45877,1.8,0,1
league,la-liga,lambda_shots,0.06,0.25,6,4,2,0,1.09,6.0,18.1667,0.75897,0.36442,1.7998,3,3
league,serie-a,lambda_shots,0.06,0.25,4,3,1,0,1.651,4.0,41.275,0.71551,0.33771,1.871,1,3
league,bundesliga,lambda_shots,0.10,0.00,7,3,4,0,-1.455,7.0,-20.7857,0.61482,0.14362,1.8649,2,5
league,epl,lambda_shots,0.10,0.00,7,2,5,0,-3.291,7.0,-47.0143,0.6051,0.10959,1.8384,3,4
league,la-liga,lambda_shots,0.10,0.00,12,8,4,0,2.589,12.0,21.575,0.66296,0.20511,1.8215,5,7
league,serie-a,lambda_shots,0.10,0.00,7,4,3,0,0.56,7.0,8.0,0.65347,0.23977,1.9003,2,5
league,bundesliga,lambda_shots,0.10,0.05,6,3,3,0,-0.455,6.0,-7.5833,0.62126,0.16136,1.8757,2,4
league,epl,lambda_shots,0.10,0.05,5,2,3,0,-1.291,5.0,-25.82,0.634,0.14956,1.8138,2,3
league,la-liga,lambda_shots,0.10,0.05,11,7,4,0,1.756,11.0,15.9636,0.67271,0.22207,1.8205,5,6
league,serie-a,lambda_shots,0.10,0.05,7,4,3,0,0.56,7.0,8.0,0.65347,0.23977,1.9003,2,5
league,bundesliga,lambda_shots,0.10,0.10,3,1,2,0,-1.091,3.0,-36.3667,0.66549,0.24169,1.8727,0,3
league,epl,lambda_shots,0.10,0.10,4,1,3,0,-2.091,4.0,-52.275,0.6411,0.16443,1.8173,1,3
league,la-liga,lambda_shots,0.10,0.10,9,7,2,0,3.756,9.0,41.7333,0.68886,0.25643,1.8294,4,5
league,serie-a,lambda_shots,0.10,0.10,6,4,2,0,1.56,6.0,26.0,0.66767,0.26557,1.8988,1,5
league,bundesliga,lambda_shots,0.10,0.15,2,1,1,0,-0.091,2.0,-4.55,0.70526,0.30325,1.8545,0,2
league,epl,lambda_shots,0.10,0.15,3,1,2,0,-1.091,3.0,-36.3667,0.63828,0.17865,1.8473,0,3
league,la-liga,lambda_shots,0.10,0.15,6,4,2,0,1.09,6.0,18.1667,0.73316,0.31892,1.7998,3,3
league,serie-a,lambda_shots,0.10,0.15,6,4,2,0,1.56,6.0,26.0,0.66767,0.26557,1.8988,1,5
league,bundesliga,lambda_shots,0.10,0.20,1,0,1,0,-1.0,1.0,-100.0,0.79052,0.42293,1.8,0,1
league,la-liga,lambda_shots,0.10,0.20,6,4,2,0,1.09,6.0,18.1667,0.73316,0.31892,1.7998,3,3
league,serie-a,lambda_shots,0.10,0.20,5,3,2,0,0.651,5.0,13.02,0.67915,0.2857,1.8968,1,4
league,bundesliga,lambda_shots,0.10,0.25,1,0,1,0,-1.0,1.0,-100.0,0.79052,0.42293,1.8,0,1
league,la-liga,lambda_shots,0.10,0.25,5,3,2,0,0.363,5.0,7.26,0.73655,0.33531,1.8144,2,3
league,serie-a,lambda_shots,0.10,0.25,4,3,1,0,1.651,4.0,41.275,0.69789,0.30502,1.871,1,3
league,bundesliga,lambda_shots,0.15,0.00,7,3,4,0,-1.455,7.0,-20.7857,0.60768,0.12991,1.8649,2,5
league,epl,lambda_shots,0.15,0.00,8,3,5,0,-2.291,8.0,-28.6375,0.5923,0.08424,1.8336,2,6
league,la-liga,lambda_shots,0.15,0.00,12,8,4,0,2.589,12.0,21.575,0.64765,0.17827,1.8215,5,7
league,serie-a,lambda_shots,0.15,0.00,7,4,3,0,0.56,7.0,8.0,0.64206,0.21849,1.9003,2,5
league,bundesliga,lambda_shots,0.15,0.05,6,3,3,0,-0.455,6.0,-7.5833,0.61215,0.14396,1.8757,2,4
league,epl,lambda_shots,0.15,0.05,4,1,3,0,-2.091,4.0,-52.275,0.63173,0.14808,1.8173,1,3
league,la-liga,lambda_shots,0.15,0.05,10,7,3,0,2.756,10.0,27.56,0.66231,0.20956,1.8298,4,6
