league,kickoff_iso,home_team,away_team,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence,note,home_p_over_8.5,home_fair_over_8.5,home_fair_under_8.5,away_p_over_8.5,away_fair_over_8.5,away_fair_under_8.5,home_p_over_9.5,home_fair_over_9.5,home_fair_under_9.5,away_p_over_9.5,away_fair_over_9.5,away_fair_under_9.5,home_p_over_10.5,home_fair_over_10.5,home_fair_under_10.5,away_p_over_10.5,away_fair_over_10.5,away_fair_under_10.5,home_p_over_11.5,home_fair_over_11.5,home_fair_under_11.5,away_p_over_11.5,away_fair_over_11.5,away_fair_under_11.5,home_p_over_12.5,home_fair_over_12.5,home_fair_under_12.5,away_p_over_12.5,away_fair_over_12.5,away_fair_under_12.5,home_p_over_13.5,home_fair_over_13.5,home_fair_under_13.5,away_p_over_13.5,away_fair_over_13.5,away_fair_under_13.5,home_p_over_14.5,home_fair_over_14.5,home_fair_under_14.5,away_p_over_14.5,away_fair_over_14.5,away_fair_under_14.5,home_p_over_15.5,home_fair_over_15.5,home_fair_under_15.5,away_p_over_15.5,away_fair_over_15.5,away_fair_under_15.5,home_p_over_16.5,home_fair_over_16.5,home_fair_under_16.5,away_p_over_16.5,away_fair_over_16.5,away_fair_under_16.5,home_p_over_17.5,home_fair_over_17.5,home_fair_under_17.5,away_p_over_17.5,away_fair_over_17.5,away_fair_under_17.5,home_p_over_19.5,home_fair_over_19.5,home_fair_under_19.5,away_p_over_19.5,away_fair_over_19.5,away_fair_under_19.5,home_p_over_20.5,home_fair_over_20.5,home_fair_under_20.5,away_p_over_20.5,away_fair_over_20.5,away_fair_under_20.5
la-liga,2026-05-23T19:00:00Z,Valencia CF,FC Barcelona,8.92,14.1,9.19,16.03,8.85,13.11,aligned,divergent,0.0367,0.1823,,0.6486,1.542,2.846,0.8802,1.136,8.347,0.5401,1.851,2.174,0.8353,1.197,6.07,0.463,2.16,1.862,0.7641,1.309,4.239,0.3759,2.66,1.602,0.7132,1.402,3.487,0.3087,3.24,1.447,0.6642,1.505,2.978,0.2425,4.123,1.32,0.5955,1.679,2.472,0.1797,5.564,1.219,0.5012,1.995,2.005,0.118,8.472,1.134,0.4216,2.372,1.729,0.0778,12.853,1.084,0.3605,2.774,1.564,0.0508,19.67,1.054,0.2846,3.514,1.398,0.0178,56.266,1.018,0.1822,5.488,1.223,0.0076,130.8,1.008,0.1318,7.589,1.152
la-liga,2026-05-23T19:00:00Z,Girona FC,Elche CF,16.25,10.9,14.78,9.71,16.69,10.56,aligned,aligned,0.1294,0.0871,,0.8491,1.178,6.628,0.6722,1.488,3.051,0.794,1.259,4.854,0.5693,1.757,2.322,0.7185,1.392,3.553,0.4915,2.035,1.966,0.6612,1.512,2.952,0.4072,2.456,1.687,0.6087,1.643,2.556,0.3409,2.933,1.517,0.5387,1.856,2.168,0.273,3.662,1.376,0.4469,2.238,1.808,0.2057,4.861,1.259,0.3668,2.726,1.579,0.1397,7.16,1.162,0.3061,3.267,1.441,0.0953,10.49,1.105,0.2367,4.225,1.31,0.0637,15.706,1.068,0.1421,7.039,1.166,0.0239,41.848,1.024,0.0968,10.333,1.107,0.0109,91.719,1.011
serie-a,2026-05-24T13:00:00Z,Parma Calcio,Sassuolo Calcio,11.54,12.66,14.91,13.38,15.85,12.77,aligned,aligned,0.0633,0.0454,,0.8525,1.173,6.78,0.8085,1.237,5.221,0.7985,1.252,4.962,0.7411,1.349,3.863,0.7233,1.382,3.615,0.6628,1.509,2.966,0.6667,1.5,3.0,0.5983,1.671,2.49,0.6146,1.627,2.594,0.542,1.845,2.184,0.5446,1.836,2.196,0.4713,2.122,1.891,0.4525,2.21,1.826,0.3838,2.606,1.623,0.3724,2.685,1.593,0.3043,3.286,1.437,0.3116,3.209,1.453,0.245,4.082,1.324,0.2416,4.14,1.318,0.184,5.434,1.226,0.146,6.847,1.171,0.1006,9.936,1.112,0.1001,9.986,1.111,0.0631,15.854,1.067
epl,2026-05-24T15:00:00Z,Burnley FC,Wolverhampton Wanderers,,,,,,,,,,,no_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epl,2026-05-24T15:00:00Z,Fulham FC,Newcastle United,15.43,13.53,15.43,12.95,17.2,12.73,aligned,aligned,0.1147,0.0168,,0.866,1.155,7.462,0.7948,1.258,4.872,0.8163,1.225,5.443,0.7235,1.382,3.617,0.7428,1.346,3.889,0.6448,1.551,2.815,0.6889,1.452,3.215,0.578,1.73,2.37,0.6382,1.567,2.764,0.5206,1.921,2.086,0.5687,1.758,2.319,0.4497,2.224,1.817,0.4755,2.103,1.906,0.3638,2.748,1.572,0.3955,2.528,1.654,0.2849,3.51,1.398,0.3346,2.989,1.503,0.2263,4.419,1.292,0.2617,3.822,1.354,0.1682,5.945,1.202,0.1628,6.144,1.194,0.089,11.241,1.098,0.1146,8.729,1.129,0.0541,18.472,1.057
epl,2026-05-24T15:00:00Z,Manchester City,Aston Villa,19.31,9.85,17.73,9.35,18.2,9.12,aligned,aligned,0.0266,0.0241,,0.915,1.093,11.759,0.6558,1.525,2.905,0.8824,1.133,8.503,0.549,1.822,2.217,0.8196,1.22,5.544,0.4716,2.12,1.893,0.7777,1.286,4.499,0.3854,2.595,1.627,0.7341,1.362,3.761,0.3184,3.141,1.467,0.6687,1.496,3.018,0.2516,3.974,1.336,0.5731,1.745,2.343,0.1874,5.335,1.231,0.4954,2.018,1.982,0.1244,8.041,1.142,0.4347,2.3,1.769,0.0829,12.068,1.09,0.3511,2.848,1.541,0.0545,18.347,1.058,0.2405,4.158,1.317,0.0195,51.359,1.02,0.1855,5.392,1.228,0.0085,117.267,1.009
epl,2026-05-24T15:00:00Z,Sunderland AFC,Chelsea FC,10.0,14.08,10.3,13.25,11.14,11.34,aligned,aligned,0.0821,0.1439,,0.6973,1.434,3.304,0.8043,1.243,5.11,0.6005,1.665,2.503,0.7358,1.359,3.785,0.5221,1.915,2.093,0.6573,1.521,2.918,0.441,2.267,1.789,0.5921,1.689,2.452,0.3762,2.658,1.603,0.5355,1.867,2.153,0.307,3.257,1.443,0.4647,2.152,1.868,0.2352,4.252,1.308,0.3777,2.648,1.607,0.1651,6.056,1.198,0.2983,3.352,1.425,0.1168,8.564,1.132,0.2392,4.181,1.314,0.0798,12.527,1.087,0.1791,5.582,1.218,0.0323,30.973,1.033,0.097,10.31,1.107,0.0157,63.813,1.016,0.0603,16.596,1.064
epl,2026-05-24T15:00:00Z,Brighton & Hove Albion,Manchester United,13.51,11.97,13.56,11.08,13.09,8.82,aligned,divergent,0.035,0.2043,,0.8142,1.228,5.382,0.7288,1.372,3.687,0.7485,1.336,3.976,0.6399,1.563,2.777,0.6705,1.491,3.035,0.5609,1.783,2.277,0.6069,1.648,2.544,0.4842,2.065,1.939,0.5512,1.814,2.228,0.4215,2.373,1.729,0.4804,2.081,1.925,0.3513,2.847,1.541,0.3923,2.549,1.645,0.2744,3.645,1.378,0.3126,3.199,1.455,0.2003,4.992,1.25,0.253,3.952,1.339,0.1476,6.773,1.173,0.1909,5.238,1.236,0.1039,9.628,1.116,0.1059,9.447,1.118,0.046,21.732,1.048,0.0672,14.892,1.072,0.0241,41.506,1.025
epl,2026-05-24T15:00:00Z,Tottenham Hotspur,Everton FC,14.46,11.1,14.28,10.7,15.03,11.83,aligned,aligned,0.0528,0.1059,,0.8353,1.197,6.071,0.7136,1.401,3.492,0.7759,1.289,4.462,0.6209,1.611,2.638,0.6992,1.43,3.324,0.5422,1.844,2.184,0.6393,1.564,2.772,0.4633,2.158,1.863,0.5855,1.708,2.412,0.3995,2.503,1.665,0.515,1.942,2.062,0.3297,3.033,1.492,0.4246,2.355,1.738,0.2552,3.918,1.343,0.3446,2.902,1.526,0.1829,5.466,1.224,0.2842,3.518,1.397,0.1322,7.562,1.152,0.2177,4.593,1.278,0.0918,10.898,1.101,0.1268,7.889,1.145,0.0389,25.691,1.041,0.084,11.907,1.092,0.0197,50.875,1.02
epl,2026-05-24T15:00:00Z,West Ham United,Leeds United,12.24,13.39,11.6,12.87,11.63,12.66,aligned,aligned,0.0025,0.0167,,0.7483,1.336,3.973,0.7923,1.262,4.816,0.6645,1.505,2.98,0.7204,1.388,3.577,0.5853,1.709,2.411,0.6416,1.559,2.79,0.5114,1.955,2.047,0.5745,1.741,2.35,0.4502,2.221,1.819,0.5169,1.935,2.07,0.3796,2.634,1.612,0.446,2.242,1.805,0.2998,3.335,1.428,0.3604,2.775,1.563,0.2238,4.467,1.288,0.2815,3.552,1.392,0.169,5.918,1.203,0.2231,4.483,1.287,0.1209,8.269,1.138,0.1655,6.041,1.198,0.0566,17.672,1.06,0.087,11.492,1.095,0.031,32.238,1.032,0.0527,18.984,1.056
epl,2026-05-24T15:00:00Z,Crystal Palace,Arsenal FC,9.06,13.77,9.69,13.17,10.56,11.07,aligned,divergent,0.0895,0.1591,,0.6714,1.489,3.043,0.802,1.247,5.049,0.5683,1.76,2.316,0.7327,1.365,3.742,0.4905,2.039,1.963,0.6542,1.529,2.892,0.4061,2.462,1.684,0.5886,1.699,2.431,0.3398,2.943,1.515,0.5318,1.88,2.136,0.272,3.677,1.374,0.461,2.169,1.855,0.2048,4.883,1.258,0.3742,2.672,1.598,0.1389,7.2,1.161,0.295,3.39,1.418,0.0947,10.563,1.105,0.236,4.238,1.309,0.0632,15.827,1.067,0.1764,5.669,1.214,0.0237,42.272,1.024,0.095,10.53,1.105,0.0108,92.836,1.011,0.0587,17.036,1.062
epl,2026-05-24T15:00:00Z,Liverpool FC,Brentford FC,17.04,11.15,17.71,9.92,15.49,8.48,aligned,aligned,0.1253,0.1446,,0.9146,1.093,11.71,0.6812,1.468,3.136,0.8819,1.134,8.467,0.5804,1.723,2.383,0.819,1.221,5.526,0.5024,1.99,2.01,0.777,1.287,4.485,0.4192,2.385,1.722,0.7333,1.364,3.75,0.3534,2.83,1.547,0.6678,1.497,3.011,0.285,3.509,1.399,0.5723,1.747,2.338,0.2161,4.628,1.276,0.4946,2.022,1.978,0.1485,6.734,1.174,0.4338,2.305,1.766,0.1027,9.741,1.114,0.3503,2.855,1.539,0.0691,14.463,1.074,0.2398,4.171,1.315,0.0267,37.515,1.027,0.1848,5.412,1.227,0.0124,80.417,1.013
epl,2026-05-24T15:00:00Z,Nottingham Forest,AFC Bournemouth,13.21,15.75,14.76,15.56,17.49,14.05,divergent,aligned,0.1846,0.0972,,0.8486,1.178,6.607,0.8691,1.151,7.642,0.7934,1.26,4.84,0.8205,1.219,5.571,0.7178,1.393,3.544,0.7475,1.338,3.96,0.6605,1.514,2.945,0.6942,1.44,3.271,0.6079,1.645,2.551,0.6439,1.553,2.808,0.5378,1.859,2.164,0.5746,1.74,2.351,0.4461,2.242,1.805,0.481,2.079,1.927,0.366,2.732,1.577,0.4012,2.493,1.67,0.3053,3.275,1.44,0.3402,2.94,1.516,0.236,4.237,1.309,0.2666,3.751,1.364,0.1415,7.066,1.165,0.1669,5.991,1.2,0.0963,10.383,1.107,0.1182,8.461,1.134
serie-a,2026-05-24T16:00:00Z,SSC Napoli,Udinese Calcio,15.3,8.4,15.21,8.24,16.49,8.02,aligned,aligned,0.0843,0.0265,,0.8603,1.162,7.156,0.6013,1.663,2.508,0.8087,1.237,5.227,0.4821,2.074,1.931,0.7345,1.361,3.766,0.4066,2.46,1.685,0.6794,1.472,3.119,0.3153,3.171,1.461,0.6281,1.592,2.689,0.2475,4.04,1.329,0.5584,1.791,2.264,0.1863,5.368,1.229,0.4656,2.148,1.871,0.1334,7.498,1.154,0.3856,2.594,1.627,0.0816,12.253,1.089,0.3247,3.08,1.481,0.05,19.989,1.053,0.253,3.953,1.339,0.0313,31.942,1.032,0.1555,6.432,1.184,0.0095,105.43,1.01,0.1082,9.239,1.121,0.0036,276.274,1.004
la-liga,2026-05-24T19:00:00Z,Villarreal CF,Atletico Madrid,13.03,13.13,14.91,11.83,15.63,12.0,aligned,aligned,0.0487,0.0148,,0.8525,1.173,6.779,0.7564,1.322,4.105,0.7984,1.252,4.961,0.6747,1.482,3.074,0.7233,1.383,3.614,0.5955,1.679,2.472,0.6667,1.5,3.0,0.5229,1.913,2.096,0.6145,1.627,2.594,0.4623,2.163,1.86,0.5446,1.836,2.196,0.3916,2.554,1.644,0.4524,2.21,1.826,0.3107,3.219,1.451,0.3724,2.685,1.593,0.234,4.273,1.305,0.3116,3.209,1.453,0.1783,5.607,1.217,0.2415,4.14,1.318,0.1285,7.781,1.147,0.146,6.848,1.171,0.0615,16.262,1.066,0.1001,9.987,1.111,0.0343,29.115,1.036
