season,status,train_teams,validation_teams,first_validation_date,count_mae,count_bias,pooled_alpha,poisson_brier,fixed_alpha_025_brier,league_mle_brier,hierarchical_mle_brier,poisson_log_loss,fixed_alpha_025_log_loss,league_mle_log_loss,hierarchical_mle_log_loss
2024-2025,OK,34854,3456,2024-08-15,3.6320702611039715,0.6291406490183546,0.04213413642970471,0.19326270088144465,0.19365738936001692,0.189609715193193,0.18969621474015752,0.5748739499156407,0.5715183530575981,0.5597920880453904,0.5603083668654247
2025-2026,OK,38310,3468,2025-08-15,3.63112318601914,0.33007280484369056,0.043283437896073036,0.19679935622456596,0.19909299823285292,0.1937622146589002,0.193684761175255,0.5792862342759585,0.5840303503956045,0.5688525995409824,0.5685679967248904
